#Up in (eV) 33.613531094641615
#t0(degree) tr(degree) t diff (degree) Ek_r/Up E_re/Up
1.0 333.9524245535796 332.95242455357953 0.4169118075211916
2.0 323.473143550863 321.4731435508631 0.7940495316245743
3.0 315.49473081700495 312.49473081700495 1.1349543570399858
4.0 308.79138289570903 304.79138289570903 1.4422427914406097
5.0 302.8918564993603 297.8918564993603 1.718112228234206
6.0 297.5561008033618 291.55610080336186 1.964505904179226
7.0 292.6424149011602 285.6424149011602 2.183192438319991
8.0 288.05902654418344 280.05902654418344 2.3758109338091025
9.0 283.74255681922693 274.74255681922693 2.5438990808484205
10.0 279.6471153772946 269.64711537729465 2.68891178045375
11.0 275.73824414684026 264.7382441468403 2.812234026521101
12.0 271.9893115578036 259.98931155780355 2.915190095582767
13.0 268.37924568128113 255.3792456812811 2.9990502528275034
14.0 264.89104525731244 250.89104525731247 3.0650357284165963
15.0 261.51076571250974 246.51076571250977 3.1143224562585616
16.0 258.22680740924926 242.22680740924923 3.148043908556482
17.0 255.0294029914341 238.02940299143407 3.1672932589533307
18.0 251.91023983368584 233.91023983368584 3.1731250412090457
