

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.06000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -1.27176015E-01      0.00000000E+00
       1      1.52855699E+00      1.52959267E+00
       2      7.13131607E-01      7.13325052E-01
       3      3.37511710E-01      3.37578594E-01
       4      1.62532376E-01      1.62560672E-01
       5      7.98247347E-02      7.98377358E-02
       6      3.98572528E-02      3.98634937E-02
       7      2.01590122E-02      2.01620881E-02
       8      1.02997287E-02      1.03012712E-02
       9      5.30563033E-03      5.30641354E-03
      10      2.75171188E-03      2.75211333E-03
      11      1.43539401E-03      1.43560135E-03
      12      7.52451359E-04      7.52559139E-04
      13      3.96112794E-04      3.96169123E-04
      14      2.09279406E-04      2.09308982E-04
      15      1.10909012E-04      1.10924603E-04
      16      5.89294718E-05      5.89377192E-05
      17      3.13791289E-05      3.13835041E-05
      18      1.67390889E-05      1.67414156E-05
      19      8.94265148E-06      8.94389132E-06
      20      4.78326560E-06      4.78392739E-06
      21      2.56096608E-06      2.56131981E-06
      22      1.37219926E-06      1.37238855E-06
      23      7.35683505E-07      7.35784882E-07
      24      3.94605924E-07      3.94660257E-07
      25      2.11730435E-07      2.11759570E-07
      26      1.13633785E-07      1.13649418E-07
      27      6.09959269E-08      6.10043147E-08
      28      3.27441193E-08      3.27486215E-08
      29      1.75784907E-08      1.75809042E-08
      30      9.43686976E-09      9.43817213E-09
      31      5.06588135E-09      5.06657753E-09
      32      2.71920994E-09      2.71958245E-09
      33      1.45941905E-09      1.45962204E-09
      34      7.83210637E-10      7.83322249E-10
      35      4.20265261E-10      4.20324366E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.82387E-16  0.000E+00  1.555E-08  1.186E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.82387E-16  2.432E-10  1.555E-08  1.186E-08  6.282E-19  3.469E-18  1.00E-07
  1.250E-04 3.82387E-16  3.040E-10  1.555E-08  1.186E-08  7.852E-19  4.336E-18  1.00E-07
  1.500E-04 3.82387E-16  3.648E-10  1.555E-08  1.186E-08  9.423E-19  5.203E-18  1.00E-07
  1.750E-04 3.82387E-16  4.256E-10  1.555E-08  1.186E-08  1.099E-18  6.071E-18  1.00E-07
  2.000E-04 3.82387E-16  4.864E-10  1.555E-08  1.186E-08  1.256E-18  6.938E-18  1.00E-07
  2.250E-04 3.82387E-16  5.472E-10  1.555E-08  1.186E-08  1.413E-18  7.805E-18  1.00E-07
  2.500E-04 3.82387E-16  6.080E-10  1.555E-08  1.186E-08  1.570E-18  8.672E-18  1.00E-07
  2.750E-04 3.82387E-16  6.688E-10  1.555E-08  1.186E-08  1.727E-18  9.540E-18  1.00E-07
  3.000E-04 3.82387E-16  7.296E-10  1.555E-08  1.186E-08  1.885E-18  1.041E-17  1.00E-07
  3.250E-04 3.82387E-16  7.904E-10  1.555E-08  1.186E-08  2.042E-18  1.127E-17  1.00E-07
  3.500E-04 3.82387E-16  8.512E-10  1.555E-08  1.186E-08  2.199E-18  1.214E-17  1.00E-07
  3.750E-04 3.82387E-16  9.120E-10  1.555E-08  1.186E-08  2.356E-18  1.301E-17  1.00E-07
  4.000E-04 3.82387E-16  9.728E-10  1.555E-08  1.186E-08  2.513E-18  1.388E-17  1.00E-07
  4.250E-04 3.82387E-16  1.034E-09  1.555E-08  1.186E-08  2.670E-18  1.474E-17  1.00E-07
  4.500E-04 3.82387E-16  1.094E-09  1.555E-08  1.186E-08  2.827E-18  1.561E-17  1.00E-07
  4.750E-04 3.82387E-16  1.155E-09  1.555E-08  1.186E-08  2.984E-18  1.648E-17  1.00E-07
  5.000E-04 3.82387E-16  1.216E-09  1.555E-08  1.186E-08  3.141E-18  1.734E-17  1.00E-07
  5.250E-04 3.82387E-16  1.277E-09  1.555E-08  1.186E-08  3.298E-18  1.821E-17  1.00E-07
  5.500E-04 3.82387E-16  1.338E-09  1.555E-08  1.186E-08  3.455E-18  1.908E-17  1.00E-07
  5.750E-04 3.82387E-16  1.398E-09  1.555E-08  1.186E-08  3.612E-18  1.995E-17  1.00E-07
  6.000E-04 3.82387E-16  1.459E-09  1.555E-08  1.186E-08  3.769E-18  2.081E-17  1.00E-07
  6.250E-04 3.82387E-16  1.520E-09  1.555E-08  1.186E-08  3.926E-18  2.168E-17  1.00E-07
  6.500E-04 3.82387E-16  1.581E-09  1.555E-08  1.186E-08  4.083E-18  2.255E-17  1.00E-07
  6.750E-04 3.82387E-16  1.642E-09  1.555E-08  1.186E-08  4.240E-18  2.342E-17  1.00E-07
  7.000E-04 3.82387E-16  1.702E-09  1.555E-08  1.186E-08  4.397E-18  2.428E-17  1.00E-07
  7.250E-04 3.82387E-16  1.763E-09  1.555E-08  1.186E-08  4.554E-18  2.515E-17  1.00E-07
  7.500E-04 3.82387E-16  1.824E-09  1.555E-08  1.186E-08  4.711E-18  2.602E-17  1.00E-07
  7.750E-04 3.82387E-16  1.885E-09  1.555E-08  1.186E-08  4.868E-18  2.688E-17  1.00E-07
  8.000E-04 3.82387E-16  1.946E-09  1.555E-08  1.186E-08  5.025E-18  2.775E-17  1.00E-07
