 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.24000E+02 eV = 8.23185E+00 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.72277E-16 cm**2 = 6.15212E+00 a0**2
 # 1st transport cross section = 4.21064E-17 cm**2 = 1.50365E+00 a0**2
 # 2nd transport cross section = 6.61484E-17 cm**2 = 2.36220E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.36782E-16  1.55978E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.36782E-16  1.55978E+01  2.15720E-10  1.0E-07
  1.250E-04  1.18994E-12  4.36782E-16  1.55978E+01  2.69650E-10  1.0E-07
  1.500E-04  1.71346E-12  4.36782E-16  1.55978E+01  3.23580E-10  1.0E-07
  1.750E-04  2.33225E-12  4.36782E-16  1.55978E+01  3.77511E-10  1.0E-07
  2.000E-04  3.04617E-12  4.36782E-16  1.55978E+01  4.31441E-10  1.0E-07
  2.250E-04  3.85530E-12  4.36782E-16  1.55978E+01  4.85371E-10  1.0E-07
  2.500E-04  4.75964E-12  4.36782E-16  1.55978E+01  5.39301E-10  1.0E-07
  2.750E-04  5.75917E-12  4.36782E-16  1.55978E+01  5.93231E-10  1.0E-07
  3.000E-04  6.85391E-12  4.36782E-16  1.55978E+01  6.47161E-10  1.0E-07
  3.250E-04  8.04379E-12  4.36782E-16  1.55978E+01  7.01091E-10  1.0E-07
  3.500E-04  9.32893E-12  4.36782E-16  1.55978E+01  7.55021E-10  1.0E-07
  3.750E-04  1.07092E-11  4.36782E-16  1.55978E+01  8.08951E-10  1.0E-07
  4.000E-04  1.21847E-11  4.36782E-16  1.55978E+01  8.62881E-10  1.0E-07
  4.250E-04  1.37554E-11  4.36782E-16  1.55978E+01  9.16811E-10  1.0E-07
  4.500E-04  1.54213E-11  4.36782E-16  1.55978E+01  9.70741E-10  1.0E-07
  4.750E-04  1.71823E-11  4.36782E-16  1.55978E+01  1.02467E-09  1.0E-07
  5.000E-04  1.90386E-11  4.36782E-16  1.55978E+01  1.07860E-09  1.0E-07
  5.250E-04  2.09900E-11  4.36782E-16  1.55978E+01  1.13253E-09  1.0E-07
  5.500E-04  2.30367E-11  4.36782E-16  1.55978E+01  1.18646E-09  1.0E-07
  5.750E-04  2.51785E-11  4.36782E-16  1.55978E+01  1.24039E-09  1.0E-07
  6.000E-04  2.74156E-11  4.36782E-16  1.55978E+01  1.29432E-09  1.0E-07
  6.250E-04  2.97478E-11  4.36782E-16  1.55978E+01  1.34825E-09  1.0E-07
  6.500E-04  3.21752E-11  4.36782E-16  1.55978E+01  1.40218E-09  1.0E-07
  6.750E-04  3.46979E-11  4.36782E-16  1.55978E+01  1.45611E-09  1.0E-07
  7.000E-04  3.73157E-11  4.36782E-16  1.55978E+01  1.51004E-09  1.0E-07
  7.250E-04  4.00286E-11  4.36782E-16  1.55978E+01  1.56397E-09  1.0E-07
  7.500E-04  4.28368E-11  4.36782E-16  1.55978E+01  1.61790E-09  1.0E-07
  7.750E-04  4.57402E-11  4.36782E-16  1.55978E+01  1.67183E-09  1.0E-07
  8.000E-04  4.87388E-11  4.36782E-16  1.55978E+01  1.72576E-09  1.0E-07
  8.250E-04  5.18325E-11  4.36782E-16  1.55978E+01  1.77969E-09  1.0E-07
  8.500E-04  5.50215E-11  4.36782E-16  1.55978E+01  1.83362E-09  1.0E-07
  8.750E-04  5.83057E-11  4.36782E-16  1.55978E+01  1.88755E-09  1.0E-07
  9.000E-04  6.16850E-11  4.36782E-16  1.55978E+01  1.94148E-09  1.0E-07
  9.250E-04  6.51595E-11  4.36782E-16  1.55978E+01  1.99541E-09  1.0E-07
  9.500E-04  6.87293E-11  4.36782E-16  1.55978E+01  2.04934E-09  1.0E-07
  9.750E-04  7.23943E-11  4.36782E-16  1.55978E+01  2.10327E-09  1.0E-07
  1.000E-03  7.61544E-11  4.36782E-16  1.55978E+01  2.15720E-09  1.0E-07
  1.250E-03  1.18991E-10  4.36782E-16  1.55978E+01  2.69650E-09  1.0E-07
  1.500E-03  1.71347E-10  4.36782E-16  1.55978E+01  3.23580E-09  1.0E-07
  1.750E-03  2.33223E-10  4.36782E-16  1.55978E+01  3.77511E-09  1.0E-07
  2.000E-03  3.04617E-10  4.36782E-16  1.55978E+01  4.31441E-09  1.0E-07
  2.250E-03  3.85531E-10  4.36782E-16  1.55978E+01  4.85371E-09  1.0E-07
  2.500E-03  4.75965E-10  4.36782E-16  1.55978E+01  5.39301E-09  1.0E-07
  2.750E-03  5.75917E-10  4.36782E-16  1.55978E+01  5.93231E-09  1.0E-07
  3.000E-03  6.85389E-10  4.36782E-16  1.55978E+01  6.47161E-09  1.0E-07
  3.250E-03  8.04380E-10  4.36782E-16  1.55978E+01  7.01091E-09  1.0E-07
  3.500E-03  9.32891E-10  4.36782E-16  1.55978E+01  7.55021E-09  1.0E-07
  3.750E-03  1.07092E-09  4.36782E-16  1.55978E+01  8.08951E-09  1.0E-07
