 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.76000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.87762E-08  1.01013E-08  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.87762E-08  1.01013E-08  8.42217E-18  6.98785E-18
  1.250E-04  1.18994E-12  1.87762E-08  1.01013E-08  1.05277E-17  8.73481E-18
  1.500E-04  1.71346E-12  1.87762E-08  1.01013E-08  1.26332E-17  1.04818E-17
  1.750E-04  2.33225E-12  1.87762E-08  1.01013E-08  1.47388E-17  1.22287E-17
  2.000E-04  3.04617E-12  1.87762E-08  1.01013E-08  1.68443E-17  1.39757E-17
  2.250E-04  3.85530E-12  1.87762E-08  1.01013E-08  1.89499E-17  1.57227E-17
  2.500E-04  4.75964E-12  1.87762E-08  1.01013E-08  2.10554E-17  1.74696E-17
  2.750E-04  5.75917E-12  1.87762E-08  1.01013E-08  2.31610E-17  1.92166E-17
  3.000E-04  6.85391E-12  1.87762E-08  1.01013E-08  2.52665E-17  2.09635E-17
  3.250E-04  8.04379E-12  1.87762E-08  1.01013E-08  2.73720E-17  2.27105E-17
  3.500E-04  9.32893E-12  1.87762E-08  1.01013E-08  2.94776E-17  2.44575E-17
  3.750E-04  1.07092E-11  1.87762E-08  1.01013E-08  3.15831E-17  2.62044E-17
  4.000E-04  1.21847E-11  1.87762E-08  1.01013E-08  3.36887E-17  2.79514E-17
  4.250E-04  1.37554E-11  1.87762E-08  1.01013E-08  3.57942E-17  2.96984E-17
  4.500E-04  1.54213E-11  1.87762E-08  1.01013E-08  3.78997E-17  3.14453E-17
  4.750E-04  1.71823E-11  1.87762E-08  1.01013E-08  4.00053E-17  3.31923E-17
  5.000E-04  1.90386E-11  1.87762E-08  1.01013E-08  4.21108E-17  3.49392E-17
  5.250E-04  2.09900E-11  1.87762E-08  1.01013E-08  4.42164E-17  3.66862E-17
  5.500E-04  2.30367E-11  1.87762E-08  1.01013E-08  4.63219E-17  3.84332E-17
  5.750E-04  2.51785E-11  1.87762E-08  1.01013E-08  4.84275E-17  4.01801E-17
  6.000E-04  2.74156E-11  1.87762E-08  1.01013E-08  5.05330E-17  4.19271E-17
  6.250E-04  2.97478E-11  1.87762E-08  1.01013E-08  5.26385E-17  4.36741E-17
  6.500E-04  3.21752E-11  1.87762E-08  1.01013E-08  5.47441E-17  4.54210E-17
  6.750E-04  3.46979E-11  1.87762E-08  1.01013E-08  5.68496E-17  4.71680E-17
  7.000E-04  3.73157E-11  1.87762E-08  1.01013E-08  5.89552E-17  4.89149E-17
  7.250E-04  4.00286E-11  1.87762E-08  1.01013E-08  6.10607E-17  5.06619E-17
  7.500E-04  4.28368E-11  1.87762E-08  1.01013E-08  6.31662E-17  5.24089E-17
  7.750E-04  4.57402E-11  1.87762E-08  1.01013E-08  6.52718E-17  5.41558E-17
  8.000E-04  4.87388E-11  1.87762E-08  1.01013E-08  6.73773E-17  5.59028E-17
  8.250E-04  5.18325E-11  1.87762E-08  1.01013E-08  6.94829E-17  5.76498E-17
  8.500E-04  5.50215E-11  1.87762E-08  1.01013E-08  7.15884E-17  5.93967E-17
  8.750E-04  5.83057E-11  1.87762E-08  1.01013E-08  7.36940E-17  6.11437E-17
  9.000E-04  6.16850E-11  1.87762E-08  1.01013E-08  7.57995E-17  6.28906E-17
  9.250E-04  6.51595E-11  1.87762E-08  1.01013E-08  7.79050E-17  6.46376E-17
  9.500E-04  6.87293E-11  1.87762E-08  1.01013E-08  8.00106E-17  6.63846E-17
  9.750E-04  7.23943E-11  1.87762E-08  1.01013E-08  8.21161E-17  6.81315E-17
  1.000E-03  7.61544E-11  1.87762E-08  1.01013E-08  8.42217E-17  6.98785E-17
  1.250E-03  1.18991E-10  1.87762E-08  1.01013E-08  1.05277E-16  8.73481E-17
  1.500E-03  1.71347E-10  1.87762E-08  1.01013E-08  1.26332E-16  1.04818E-16
  1.750E-03  2.33223E-10  1.87762E-08  1.01013E-08  1.47388E-16  1.22287E-16
  2.000E-03  3.04617E-10  1.87762E-08  1.01013E-08  1.68443E-16  1.39757E-16
  2.250E-03  3.85531E-10  1.87762E-08  1.01013E-08  1.89499E-16  1.57227E-16
  2.500E-03  4.75965E-10  1.87762E-08  1.01013E-08  2.10554E-16  1.74696E-16
  2.750E-03  5.75917E-10  1.87762E-08  1.01013E-08  2.31610E-16  1.92166E-16
