 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.40572E-16 cm**2 = 5.01992E+00 a0**2
 # 1st transport cross section = 2.72648E-17 cm**2 = 9.73645E-01 a0**2
 # 2nd transport cross section = 4.63740E-17 cm**2 = 1.65605E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.61766E-16  1.64900E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.61766E-16  1.64900E+01  1.97539E-10  1.0E-07
  1.250E-04  1.18994E-12  4.61766E-16  1.64900E+01  2.46924E-10  1.0E-07
  1.500E-04  1.71346E-12  4.61766E-16  1.64900E+01  2.96309E-10  1.0E-07
  1.750E-04  2.33225E-12  4.61766E-16  1.64900E+01  3.45694E-10  1.0E-07
  2.000E-04  3.04617E-12  4.61766E-16  1.64900E+01  3.95079E-10  1.0E-07
  2.250E-04  3.85530E-12  4.61766E-16  1.64900E+01  4.44464E-10  1.0E-07
  2.500E-04  4.75964E-12  4.61766E-16  1.64900E+01  4.93848E-10  1.0E-07
  2.750E-04  5.75917E-12  4.61766E-16  1.64900E+01  5.43233E-10  1.0E-07
  3.000E-04  6.85391E-12  4.61766E-16  1.64900E+01  5.92618E-10  1.0E-07
  3.250E-04  8.04379E-12  4.61766E-16  1.64900E+01  6.42003E-10  1.0E-07
  3.500E-04  9.32893E-12  4.61766E-16  1.64900E+01  6.91388E-10  1.0E-07
  3.750E-04  1.07092E-11  4.61766E-16  1.64900E+01  7.40773E-10  1.0E-07
  4.000E-04  1.21847E-11  4.61766E-16  1.64900E+01  7.90157E-10  1.0E-07
  4.250E-04  1.37554E-11  4.61766E-16  1.64900E+01  8.39542E-10  1.0E-07
  4.500E-04  1.54213E-11  4.61766E-16  1.64900E+01  8.88927E-10  1.0E-07
  4.750E-04  1.71823E-11  4.61766E-16  1.64900E+01  9.38312E-10  1.0E-07
  5.000E-04  1.90386E-11  4.61766E-16  1.64900E+01  9.87697E-10  1.0E-07
  5.250E-04  2.09900E-11  4.61766E-16  1.64900E+01  1.03708E-09  1.0E-07
  5.500E-04  2.30367E-11  4.61766E-16  1.64900E+01  1.08647E-09  1.0E-07
  5.750E-04  2.51785E-11  4.61766E-16  1.64900E+01  1.13585E-09  1.0E-07
  6.000E-04  2.74156E-11  4.61766E-16  1.64900E+01  1.18524E-09  1.0E-07
  6.250E-04  2.97478E-11  4.61766E-16  1.64900E+01  1.23462E-09  1.0E-07
  6.500E-04  3.21752E-11  4.61766E-16  1.64900E+01  1.28401E-09  1.0E-07
  6.750E-04  3.46979E-11  4.61766E-16  1.64900E+01  1.33339E-09  1.0E-07
  7.000E-04  3.73157E-11  4.61766E-16  1.64900E+01  1.38278E-09  1.0E-07
  7.250E-04  4.00286E-11  4.61766E-16  1.64900E+01  1.43216E-09  1.0E-07
  7.500E-04  4.28368E-11  4.61766E-16  1.64900E+01  1.48155E-09  1.0E-07
  7.750E-04  4.57402E-11  4.61766E-16  1.64900E+01  1.53093E-09  1.0E-07
  8.000E-04  4.87388E-11  4.61766E-16  1.64900E+01  1.58031E-09  1.0E-07
  8.250E-04  5.18325E-11  4.61766E-16  1.64900E+01  1.62970E-09  1.0E-07
  8.500E-04  5.50215E-11  4.61766E-16  1.64900E+01  1.67908E-09  1.0E-07
  8.750E-04  5.83057E-11  4.61766E-16  1.64900E+01  1.72847E-09  1.0E-07
  9.000E-04  6.16850E-11  4.61766E-16  1.64900E+01  1.77785E-09  1.0E-07
  9.250E-04  6.51595E-11  4.61766E-16  1.64900E+01  1.82724E-09  1.0E-07
  9.500E-04  6.87293E-11  4.61766E-16  1.64900E+01  1.87662E-09  1.0E-07
  9.750E-04  7.23943E-11  4.61766E-16  1.64900E+01  1.92601E-09  1.0E-07
  1.000E-03  7.61544E-11  4.61766E-16  1.64900E+01  1.97539E-09  1.0E-07
  1.250E-03  1.18991E-10  4.61766E-16  1.64900E+01  2.46924E-09  1.0E-07
  1.500E-03  1.71347E-10  4.61766E-16  1.64900E+01  2.96309E-09  1.0E-07
  1.750E-03  2.33223E-10  4.61766E-16  1.64900E+01  3.45694E-09  1.0E-07
  2.000E-03  3.04617E-10  4.61766E-16  1.64900E+01  3.95079E-09  1.0E-07
  2.250E-03  3.85531E-10  4.61766E-16  1.64900E+01  4.44464E-09  1.0E-07
  2.500E-03  4.75965E-10  4.61766E-16  1.64900E+01  4.93848E-09  1.0E-07
  2.750E-03  5.75917E-10  4.61766E-16  1.64900E+01  5.43233E-09  1.0E-07
  3.000E-03  6.85389E-10  4.61766E-16  1.64899E+01  5.92618E-09  1.0E-07
  3.250E-03  8.04380E-10  4.61766E-16  1.64899E+01  6.42003E-09  1.0E-07
  3.500E-03  9.32891E-10  4.61766E-16  1.64899E+01  6.91388E-09  1.0E-07
  3.750E-03  1.07092E-09  4.61766E-16  1.64899E+01  7.40773E-09  1.0E-07
  4.000E-03  1.21847E-09  4.61766E-16  1.64899E+01  7.90157E-09  1.0E-07
  4.250E-03  1.37554E-09  4.61766E-16  1.64899E+01  8.39542E-09  1.0E-07
  4.500E-03  1.54213E-09  4.61766E-16  1.64899E+01  8.88927E-09  1.0E-07
  4.750E-03  1.71823E-09  4.61766E-16  1.64899E+01  9.38312E-09  1.0E-07
  5.000E-03  1.90386E-09  4.61766E-16  1.64899E+01  9.87697E-09  1.0E-07
  5.250E-03  2.09900E-09  4.61766E-16  1.64899E+01  1.03708E-08  1.0E-07
  5.500E-03  2.30367E-09  4.61766E-16  1.64899E+01  1.08647E-08  1.0E-07
  5.750E-03  2.51785E-09  4.61766E-16  1.64899E+01  1.13585E-08  1.0E-07
  6.000E-03  2.74156E-09  4.61766E-16  1.64899E+01  1.18524E-08  1.0E-07
  6.250E-03  2.97478E-09  4.61766E-16  1.64899E+01  1.23462E-08  1.0E-07
  6.500E-03  3.21752E-09  4.61766E-16  1.64899E+01  1.28401E-08  1.0E-07
  6.750E-03  3.46978E-09  4.61766E-16  1.64899E+01  1.33339E-08  1.0E-07
  7.000E-03  3.73156E-09  4.61766E-16  1.64899E+01  1.38278E-08  1.0E-07
  7.250E-03  4.00286E-09  4.61766E-16  1.64899E+01  1.43216E-08  1.0E-07
  7.500E-03  4.28368E-09  4.61765E-16  1.64899E+01  1.48155E-08  1.0E-07
  7.750E-03  4.57402E-09  4.61765E-16  1.64899E+01  1.53093E-08  1.0E-07
  8.000E-03  4.87388E-09  4.61765E-16  1.64899E+01  1.58031E-08  1.0E-07
  8.250E-03  5.18326E-09  4.61765E-16  1.64899E+01  1.62970E-08  1.0E-07
  8.500E-03  5.50215E-09  4.61765E-16  1.64899E+01  1.67908E-08  1.0E-07
  8.750E-03  5.83057E-09  4.61765E-16  1.64899E+01  1.72847E-08  1.0E-07
  9.000E-03  6.16850E-09  4.61765E-16  1.64899E+01  1.77785E-08  1.0E-07
  9.250E-03  6.51596E-09  4.61765E-16  1.64899E+01  1.82724E-08  1.0E-07
  9.500E-03  6.87293E-09  4.61765E-16  1.64899E+01  1.87662E-08  1.0E-07
  9.750E-03  7.23942E-09  4.61765E-16  1.64899E+01  1.92601E-08  1.0E-07
  1.000E-02  7.61544E-09  4.61765E-16  1.64899E+01  1.97539E-08  1.0E-07
  1.250E-02  1.18991E-08  4.61765E-16  1.64899E+01  2.46924E-08  1.0E-07
  1.500E-02  1.71347E-08  4.61765E-16  1.64899E+01  2.96309E-08  1.0E-07
