

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      3.74516895E-01      0.00000000E+00
       1     -1.43185859E+00     -1.43087707E+00
       2      5.81756452E-01      5.81873005E-01
       3      1.95125640E-01      1.95152286E-01
       4      6.99194016E-02      6.99277222E-02
       5      2.61225881E-02      2.61255158E-02
       6      1.00064097E-02      1.00074954E-02
       7      3.89710104E-03      3.89751503E-03
       8      1.53628845E-03      1.53644912E-03
       9      6.11346540E-04      6.11409691E-04
      10      2.45101512E-04      2.45126581E-04
      11      9.88530661E-05      9.88630965E-05
      12      4.00570825E-05      4.00611213E-05
      13      1.62916176E-05      1.62932521E-05
      14      6.64466837E-06      6.64533250E-06
      15      2.71583235E-06      2.71610302E-06
      16      1.11175248E-06      1.11186305E-06
      17      4.55610282E-07      4.55655525E-07
      18      1.86855346E-07      1.86873888E-07
      19      7.66697863E-08      7.66773878E-08
      20      3.14670833E-08      3.14702021E-08
      21      1.29161148E-08      1.29173970E-08
      22      5.30150283E-09      5.30203380E-09
      23      2.17578207E-09      2.17599701E-09
      24      8.92749274E-10      8.92839024E-10
      25      3.66190929E-10      3.66229110E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.51793E-16  0.000E+00  1.299E-08  1.353E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.51793E-16  2.248E-10  1.299E-08  1.353E-08 -2.338E-18  6.079E-19  1.00E-07
  1.250E-04 3.51793E-16  2.810E-10  1.299E-08  1.353E-08 -2.923E-18  7.599E-19  1.00E-07
  1.500E-04 3.51793E-16  3.372E-10  1.299E-08  1.353E-08 -3.508E-18  9.119E-19  1.00E-07
  1.750E-04 3.51793E-16  3.934E-10  1.299E-08  1.353E-08 -4.092E-18  1.064E-18  1.00E-07
  2.000E-04 3.51793E-16  4.496E-10  1.299E-08  1.353E-08 -4.677E-18  1.216E-18  1.00E-07
  2.250E-04 3.51793E-16  5.058E-10  1.299E-08  1.353E-08 -5.261E-18  1.368E-18  1.00E-07
  2.500E-04 3.51793E-16  5.620E-10  1.299E-08  1.353E-08 -5.846E-18  1.520E-18  1.00E-07
  2.750E-04 3.51793E-16  6.182E-10  1.299E-08  1.353E-08 -6.431E-18  1.672E-18  1.00E-07
  3.000E-04 3.51793E-16  6.744E-10  1.299E-08  1.353E-08 -7.015E-18  1.824E-18  1.00E-07
  3.250E-04 3.51793E-16  7.306E-10  1.299E-08  1.353E-08 -7.600E-18  1.976E-18  1.00E-07
