

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.20000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      3.48196954E-01      0.00000000E+00
       1     -1.44141215E+00     -1.44042919E+00
       2      5.90801389E-01      5.90921611E-01
       3      2.02267908E-01      2.02296083E-01
       4      7.37140218E-02      7.37229664E-02
       5      2.79829986E-02      2.79861939E-02
       6      1.08888524E-02      1.08900556E-02
       7      4.30763382E-03      4.30809968E-03
       8      1.72483096E-03      1.72501457E-03
       9      6.97157548E-04      6.97230842E-04
      10      2.83898288E-04      2.83927837E-04
      11      1.16303869E-04      1.16315877E-04
      12      4.78732444E-05      4.78781551E-05
      13      1.97794957E-05      1.97815144E-05
      14      8.19582493E-06      8.19665809E-06
      15      3.40347305E-06      3.40381801E-06
      16      1.41565780E-06      1.41580097E-06
      17      5.89526626E-07      5.89586150E-07
      18      2.45697966E-07      2.45722747E-07
      19      1.02454326E-07      1.02464654E-07
      20      4.27360143E-08      4.27403212E-08
      21      1.78286611E-08      1.78304538E-08
      22      7.43789978E-09      7.43865037E-09
      23      3.10275219E-09      3.10306335E-09
      24      1.29410035E-09      1.29423284E-09
      25      5.39588765E-10      5.39642887E-10
      26      2.24918707E-10      2.24942672E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.52914E-16  0.000E+00  1.314E-08  1.342E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.52914E-16  2.268E-10  1.314E-08  1.342E-08 -2.221E-18  7.762E-19  1.00E-07
  1.250E-04 3.52914E-16  2.834E-10  1.314E-08  1.342E-08 -2.776E-18  9.702E-19  1.00E-07
  1.500E-04 3.52914E-16  3.401E-10  1.314E-08  1.342E-08 -3.331E-18  1.164E-18  1.00E-07
  1.750E-04 3.52914E-16  3.968E-10  1.314E-08  1.342E-08 -3.886E-18  1.358E-18  1.00E-07
  2.000E-04 3.52914E-16  4.535E-10  1.314E-08  1.342E-08 -4.441E-18  1.552E-18  1.00E-07
  2.250E-04 3.52914E-16  5.102E-10  1.314E-08  1.342E-08 -4.997E-18  1.746E-18  1.00E-07
  2.500E-04 3.52914E-16  5.669E-10  1.314E-08  1.342E-08 -5.552E-18  1.940E-18  1.00E-07
  2.750E-04 3.52914E-16  6.236E-10  1.314E-08  1.342E-08 -6.107E-18  2.135E-18  1.00E-07
  3.000E-04 3.52914E-16  6.803E-10  1.314E-08  1.342E-08 -6.662E-18  2.329E-18  1.00E-07
  3.250E-04 3.52914E-16  7.370E-10  1.314E-08  1.342E-08 -7.217E-18  2.523E-18  1.00E-07
  3.500E-04 3.52914E-16  7.936E-10  1.314E-08  1.342E-08 -7.773E-18  2.717E-18  1.00E-07
