

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.80000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      2.74997810E-01      0.00000000E+00
       1     -1.46790760E+00     -1.46691986E+00
       2      6.14795677E-01      6.14926308E-01
       3      2.22578938E-01      2.22611697E-01
       4      8.49542301E-02      8.49651171E-02
       5      3.36787442E-02      3.36827977E-02
       6      1.36750886E-02      1.36766790E-02
       7      5.64355862E-03      5.64420054E-03
       8      2.35702815E-03      2.35729192E-03
       9      9.93623046E-04      9.93732830E-04
      10      4.22011775E-04      4.22057923E-04
      11      1.80324516E-04      1.80344069E-04
      12      7.74291396E-05      7.74374782E-05
      13      3.33770012E-05      3.33805761E-05
      14      1.44319534E-05      1.44334925E-05
      15      6.25516833E-06      6.25583317E-06
      16      2.71607952E-06      2.71636747E-06
      17      1.18095855E-06      1.18108352E-06
      18      5.13988613E-07      5.14042929E-07
      19      2.23856474E-07      2.23880107E-07
      20      9.75396340E-08      9.75499274E-08
      21      4.25116077E-08      4.25160917E-08
      22      1.85304125E-08      1.85323664E-08
      23      8.07733002E-09      8.07818175E-09
      24      3.52062850E-09      3.52099834E-09
      25      1.53429283E-09      1.53445623E-09
      26      6.68469818E-10      6.68538968E-10
      27      2.91173902E-10      2.91205991E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.56215E-16  0.000E+00  1.355E-08  1.314E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.56215E-16  2.319E-10  1.355E-08  1.314E-08 -1.876E-18  1.229E-18  1.00E-07
  1.250E-04 3.56215E-16  2.899E-10  1.355E-08  1.314E-08 -2.345E-18  1.537E-18  1.00E-07
  1.500E-04 3.56215E-16  3.479E-10  1.355E-08  1.314E-08 -2.814E-18  1.844E-18  1.00E-07
  1.750E-04 3.56215E-16  4.058E-10  1.355E-08  1.314E-08 -3.283E-18  2.152E-18  1.00E-07
  2.000E-04 3.56215E-16  4.638E-10  1.355E-08  1.314E-08 -3.751E-18  2.459E-18  1.00E-07
  2.250E-04 3.56215E-16  5.218E-10  1.355E-08  1.314E-08 -4.220E-18  2.766E-18  1.00E-07
  2.500E-04 3.56215E-16  5.798E-10  1.355E-08  1.314E-08 -4.689E-18  3.074E-18  1.00E-07
  2.750E-04 3.56215E-16  6.377E-10  1.355E-08  1.314E-08 -5.158E-18  3.381E-18  1.00E-07
  3.000E-04 3.56215E-16  6.957E-10  1.355E-08  1.314E-08 -5.627E-18  3.688E-18  1.00E-07
  3.250E-04 3.56215E-16  7.537E-10  1.355E-08  1.314E-08 -6.096E-18  3.996E-18  1.00E-07
  3.500E-04 3.56215E-16  8.117E-10  1.355E-08  1.314E-08 -6.565E-18  4.303E-18  1.00E-07
