

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 6.40000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      2.09110474E-01      0.00000000E+00
       1     -1.49168872E+00     -1.49069568E+00
       2      6.34858737E-01      6.34998991E-01
       3      2.41299821E-01      2.41337134E-01
       4      9.59190182E-02      9.59319357E-02
       5      3.94905486E-02      3.94955361E-02
       6      1.66380389E-02      1.66400670E-02
       7      7.12218217E-03      7.12303068E-03
       8      3.08486372E-03      3.08522516E-03
       9      1.34852949E-03      1.34868544E-03
      10      5.93902881E-04      5.93970837E-04
      11      2.63153307E-04      2.63183157E-04
      12      1.17180630E-04      1.17193827E-04
      13      5.23899194E-05      5.23957854E-05
      14      2.34983720E-05      2.35009909E-05
      15      1.05665497E-05      1.05677229E-05
      16      4.76090143E-06      4.76142855E-06
      17      2.14834120E-06      2.14857853E-06
      18      9.70531713E-07      9.70638761E-07
      19      4.38807812E-07      4.38856155E-07
      20      1.98513103E-07      1.98534953E-07
      21      8.98397369E-08      8.98496186E-08
      22      4.06672333E-08      4.06717076E-08
      23      1.84103971E-08      1.84124242E-08
      24      8.33453939E-09      8.33545460E-09
      25      3.77287688E-09      3.77328984E-09
      26      1.70769658E-09      1.70788579E-09
      27      7.72784927E-10      7.72873208E-10
      28      3.49590152E-10      3.49630557E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.59475E-16  0.000E+00  1.390E-08  1.290E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.59475E-16  2.359E-10  1.390E-08  1.290E-08 -1.541E-18  1.621E-18  1.00E-07
  1.250E-04 3.59475E-16  2.949E-10  1.390E-08  1.290E-08 -1.926E-18  2.027E-18  1.00E-07
  1.500E-04 3.59475E-16  3.539E-10  1.390E-08  1.290E-08 -2.312E-18  2.432E-18  1.00E-07
  1.750E-04 3.59475E-16  4.129E-10  1.390E-08  1.290E-08 -2.697E-18  2.837E-18  1.00E-07
  2.000E-04 3.59475E-16  4.719E-10  1.390E-08  1.290E-08 -3.082E-18  3.242E-18  1.00E-07
  2.250E-04 3.59475E-16  5.308E-10  1.390E-08  1.290E-08 -3.467E-18  3.648E-18  1.00E-07
  2.500E-04 3.59475E-16  5.898E-10  1.390E-08  1.290E-08 -3.853E-18  4.053E-18  1.00E-07
  2.750E-04 3.59475E-16  6.488E-10  1.390E-08  1.290E-08 -4.238E-18  4.458E-18  1.00E-07
  3.000E-04 3.59475E-16  7.078E-10  1.390E-08  1.290E-08 -4.623E-18  4.864E-18  1.00E-07
  3.250E-04 3.59475E-16  7.668E-10  1.390E-08  1.290E-08 -5.008E-18  5.269E-18  1.00E-07
  3.500E-04 3.59475E-16  8.258E-10  1.390E-08  1.290E-08 -5.394E-18  5.674E-18  1.00E-07
