 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.80000E+01 eV = 2.49895E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 3.79488E-16 cm**2 = 1.35518E+01 a0**2
 # 1st transport cross section = 2.06867E-16 cm**2 = 7.38736E+00 a0**2
 # 2nd transport cross section = 1.98333E-16 cm**2 = 7.08258E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.61646E-16  1.29146E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.61646E-16  1.29146E+01  2.38036E-10  1.0E-07
  1.250E-04  1.18994E-12  3.61646E-16  1.29146E+01  2.97545E-10  1.0E-07
  1.500E-04  1.71346E-12  3.61646E-16  1.29146E+01  3.57054E-10  1.0E-07
  1.750E-04  2.33225E-12  3.61646E-16  1.29146E+01  4.16563E-10  1.0E-07
  2.000E-04  3.04617E-12  3.61646E-16  1.29146E+01  4.76072E-10  1.0E-07
  2.250E-04  3.85530E-12  3.61646E-16  1.29146E+01  5.35581E-10  1.0E-07
  2.500E-04  4.75964E-12  3.61646E-16  1.29146E+01  5.95090E-10  1.0E-07
  2.750E-04  5.75917E-12  3.61646E-16  1.29146E+01  6.54599E-10  1.0E-07
  3.000E-04  6.85391E-12  3.61646E-16  1.29146E+01  7.14108E-10  1.0E-07
  3.250E-04  8.04379E-12  3.61646E-16  1.29146E+01  7.73617E-10  1.0E-07
  3.500E-04  9.32893E-12  3.61646E-16  1.29146E+01  8.33126E-10  1.0E-07
  3.750E-04  1.07092E-11  3.61646E-16  1.29146E+01  8.92635E-10  1.0E-07
  4.000E-04  1.21847E-11  3.61646E-16  1.29146E+01  9.52144E-10  1.0E-07
  4.250E-04  1.37554E-11  3.61646E-16  1.29146E+01  1.01165E-09  1.0E-07
  4.500E-04  1.54213E-11  3.61646E-16  1.29146E+01  1.07116E-09  1.0E-07
  4.750E-04  1.71823E-11  3.61646E-16  1.29146E+01  1.13067E-09  1.0E-07
  5.000E-04  1.90386E-11  3.61646E-16  1.29146E+01  1.19018E-09  1.0E-07
  5.250E-04  2.09900E-11  3.61646E-16  1.29146E+01  1.24969E-09  1.0E-07
  5.500E-04  2.30367E-11  3.61646E-16  1.29146E+01  1.30920E-09  1.0E-07
  5.750E-04  2.51785E-11  3.61646E-16  1.29146E+01  1.36871E-09  1.0E-07
  6.000E-04  2.74156E-11  3.61646E-16  1.29146E+01  1.42822E-09  1.0E-07
  6.250E-04  2.97478E-11  3.61646E-16  1.29146E+01  1.48773E-09  1.0E-07
  6.500E-04  3.21752E-11  3.61646E-16  1.29146E+01  1.54723E-09  1.0E-07
  6.750E-04  3.46979E-11  3.61646E-16  1.29146E+01  1.60674E-09  1.0E-07
  7.000E-04  3.73157E-11  3.61646E-16  1.29146E+01  1.66625E-09  1.0E-07
  7.250E-04  4.00286E-11  3.61646E-16  1.29146E+01  1.72576E-09  1.0E-07
  7.500E-04  4.28368E-11  3.61646E-16  1.29146E+01  1.78527E-09  1.0E-07
  7.750E-04  4.57402E-11  3.61646E-16  1.29146E+01  1.84478E-09  1.0E-07
  8.000E-04  4.87388E-11  3.61646E-16  1.29146E+01  1.90429E-09  1.0E-07
  8.250E-04  5.18325E-11  3.61646E-16  1.29146E+01  1.96380E-09  1.0E-07
  8.500E-04  5.50215E-11  3.61646E-16  1.29146E+01  2.02331E-09  1.0E-07
  8.750E-04  5.83057E-11  3.61646E-16  1.29146E+01  2.08282E-09  1.0E-07
  9.000E-04  6.16850E-11  3.61646E-16  1.29146E+01  2.14232E-09  1.0E-07
  9.250E-04  6.51595E-11  3.61646E-16  1.29146E+01  2.20183E-09  1.0E-07
  9.500E-04  6.87293E-11  3.61646E-16  1.29146E+01  2.26134E-09  1.0E-07
