

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 7.40000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      1.12102899E-01      0.00000000E+00
       1     -1.52664502E+00     -1.52564242E+00
       2      6.61624105E-01      6.61778971E-01
       3      2.69290121E-01      2.69334882E-01
       4      1.13447625E-01      1.13464071E-01
       5      4.92815516E-02      4.92882409E-02
       6      2.18729824E-02      2.18758436E-02
       7      9.85712096E-03      9.85837993E-03
       8      4.49317774E-03      4.49374179E-03
       9      2.06665582E-03      2.06691179E-03
      10      9.57561186E-04      9.57678487E-04
      11      4.46371218E-04      4.46425402E-04
      12      2.09125606E-04      2.09150800E-04
      13      9.83827801E-05      9.83945582E-05
      14      4.64414082E-05      4.64469395E-05
      15      2.19829532E-05      2.19855605E-05
      16      1.04285141E-05      1.04297468E-05
      17      4.95579295E-06      4.95637723E-06
      18      2.35825013E-06      2.35852759E-06
      19      1.12334509E-06      1.12347705E-06
      20      5.35511508E-07      5.35574349E-07
      21      2.55425134E-07      2.55455084E-07
      22      1.21877120E-07      1.21891402E-07
      23      5.81680243E-08      5.81748379E-08
      24      2.77652969E-08      2.77685518E-08
      25      1.32536993E-08      1.32552514E-08
      26      6.32638865E-09      6.32712738E-09
      27      3.01952170E-09      3.01987607E-09
      28      1.44102558E-09      1.44119667E-09
      29      6.87575583E-10      6.87651643E-10
      30      3.27991632E-10      3.28034096E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.64911E-16  0.000E+00  1.438E-08  1.257E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.64911E-16  2.404E-10  1.438E-08  1.257E-08 -1.001E-18  2.175E-18  1.00E-07
  1.250E-04 3.64911E-16  3.006E-10  1.438E-08  1.257E-08 -1.251E-18  2.719E-18  1.00E-07
  1.500E-04 3.64911E-16  3.607E-10  1.438E-08  1.257E-08 -1.502E-18  3.263E-18  1.00E-07
  1.750E-04 3.64911E-16  4.208E-10  1.438E-08  1.257E-08 -1.752E-18  3.806E-18  1.00E-07
  2.000E-04 3.64911E-16  4.809E-10  1.438E-08  1.257E-08 -2.002E-18  4.350E-18  1.00E-07
  2.250E-04 3.64911E-16  5.410E-10  1.438E-08  1.257E-08 -2.252E-18  4.894E-18  1.00E-07
  2.500E-04 3.64911E-16  6.011E-10  1.438E-08  1.257E-08 -2.503E-18  5.438E-18  1.00E-07
  2.750E-04 3.64911E-16  6.612E-10  1.438E-08  1.257E-08 -2.753E-18  5.981E-18  1.00E-07
  3.000E-04 3.64911E-16  7.213E-10  1.438E-08  1.257E-08 -3.003E-18  6.525E-18  1.00E-07
  3.250E-04 3.64911E-16  7.814E-10  1.438E-08  1.257E-08 -3.253E-18  7.069E-18  1.00E-07
  3.500E-04 3.64911E-16  8.415E-10  1.438E-08  1.257E-08 -3.504E-18  7.613E-18  1.00E-07
  3.750E-04 3.64911E-16  9.017E-10  1.438E-08  1.257E-08 -3.754E-18  8.156E-18  1.00E-07
