

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 7.80000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.69748172E-02      0.00000000E+00
       1     -1.53930019E+00     -1.53829359E+00
       2      6.70482642E-01      6.70642936E-01
       3      2.79466361E-01      2.79514037E-01
       4      1.20174012E-01      1.20191907E-01
       5      5.31973239E-02      5.32047380E-02
       6      2.40448977E-02      2.40481256E-02
       7      1.10319458E-02      1.10333913E-02
       8      5.11890407E-03      5.11956318E-03
       9      2.39647228E-03      2.39677667E-03
      10      1.13012876E-03      1.13027072E-03
      11      5.36173582E-04      5.36240312E-04
      12      2.55662925E-04      2.55694499E-04
      13      1.22417948E-04      1.22432970E-04
      14      5.88192063E-05      5.88263855E-05
      15      2.83410207E-05      2.83444648E-05
      16      1.36866994E-05      1.36883568E-05
      17      6.62168977E-06      6.62248941E-06
      18      3.20817000E-06      3.20855657E-06
      19      1.55605114E-06      1.55623832E-06
      20      7.55356749E-07      7.55447497E-07
      21      3.66899309E-07      3.66943350E-07
      22      1.78291468E-07      1.78312856E-07
      23      8.66642594E-08      8.66746489E-08
      24      4.21332768E-08      4.21383273E-08
      25      2.04854835E-08      2.04879375E-08
      26      9.96024116E-09      9.96143890E-09
      27      4.84247291E-09      4.84305538E-09
      28      2.35409289E-09      2.35437611E-09
      29      1.14426980E-09      1.14441095E-09
      30      5.56086665E-10      5.56154199E-10
      31      2.70176949E-10      2.70208420E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.67095E-16  0.000E+00  1.456E-08  1.246E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.67095E-16  2.416E-10  1.456E-08  1.246E-08 -7.902E-19  2.370E-18  1.00E-07
  1.250E-04 3.67095E-16  3.020E-10  1.456E-08  1.246E-08 -9.877E-19  2.963E-18  1.00E-07
  1.500E-04 3.67095E-16  3.624E-10  1.456E-08  1.246E-08 -1.185E-18  3.555E-18  1.00E-07
  1.750E-04 3.67095E-16  4.228E-10  1.456E-08  1.246E-08 -1.383E-18  4.148E-18  1.00E-07
  2.000E-04 3.67095E-16  4.832E-10  1.456E-08  1.246E-08 -1.580E-18  4.740E-18  1.00E-07
  2.250E-04 3.67095E-16  5.436E-10  1.456E-08  1.246E-08 -1.778E-18  5.333E-18  1.00E-07
  2.500E-04 3.67095E-16  6.040E-10  1.456E-08  1.246E-08 -1.975E-18  5.925E-18  1.00E-07
  2.750E-04 3.67095E-16  6.644E-10  1.456E-08  1.246E-08 -2.173E-18  6.518E-18  1.00E-07
  3.000E-04 3.67095E-16  7.248E-10  1.456E-08  1.246E-08 -2.371E-18  7.111E-18  1.00E-07
  3.250E-04 3.67095E-16  7.852E-10  1.456E-08  1.246E-08 -2.568E-18  7.703E-18  1.00E-07
  3.500E-04 3.67095E-16  8.456E-10  1.456E-08  1.246E-08 -2.766E-18  8.296E-18  1.00E-07
  3.750E-04 3.67095E-16  9.060E-10  1.456E-08  1.246E-08 -2.963E-18  8.888E-18  1.00E-07
  4.000E-04 3.67095E-16  9.664E-10  1.456E-08  1.246E-08 -3.161E-18  9.481E-18  1.00E-07
