

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 8.40000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      2.75668676E-02      0.00000000E+00
       1     -1.55710763E+00     -1.55609492E+00
       2      6.82185014E-01      6.82353071E-01
       3      2.93744694E-01      2.93796667E-01
       4      1.29946206E-01      1.29966301E-01
       5      5.90399892E-02      5.90485309E-02
       6      2.73629284E-02      2.73667393E-02
       7      1.28672406E-02      1.28689890E-02
       8      6.11788427E-03      6.11870090E-03
       9      2.93442997E-03      2.93481628E-03
      10      1.41764354E-03      1.41782807E-03
      11      6.88990716E-04      6.89079561E-04
      12      3.36545382E-04      3.36588437E-04
      13      1.65083347E-04      1.65104326E-04
      14      8.12617178E-05      8.12719877E-05
      15      4.01167742E-05      4.01218210E-05
      16      1.98515031E-05      1.98539911E-05
      17      9.84217077E-06      9.84340057E-06
      18      4.88709436E-06      4.88770354E-06
      19      2.42958167E-06      2.42988394E-06
      20      1.20896872E-06      1.20911892E-06
      21      6.02009621E-07      6.02084323E-07
      22      2.99927355E-07      2.99964545E-07
      23      1.49481362E-07      1.49499890E-07
      24      7.45182098E-08      7.45274444E-08
      25      3.71534440E-08      3.71580435E-08
      26      1.85252065E-08      1.85275015E-08
      27      9.23686352E-09      9.23800615E-09
      28      4.60529157E-09      4.60586498E-09
      29      2.29589990E-09      2.29618381E-09
      30      1.14445746E-09      1.14460067E-09
      31      5.70390518E-10      5.70460621E-10
      32      2.84184129E-10      2.84218907E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.70380E-16  0.000E+00  1.480E-08  1.230E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.70380E-16  2.428E-10  1.480E-08  1.230E-08 -4.784E-19  2.641E-18  1.00E-07
  1.250E-04 3.70380E-16  3.035E-10  1.480E-08  1.230E-08 -5.980E-19  3.301E-18  1.00E-07
  1.500E-04 3.70380E-16  3.642E-10  1.480E-08  1.230E-08 -7.176E-19  3.961E-18  1.00E-07
  1.750E-04 3.70380E-16  4.249E-10  1.480E-08  1.230E-08 -8.372E-19  4.621E-18  1.00E-07
  2.000E-04 3.70380E-16  4.856E-10  1.480E-08  1.230E-08 -9.568E-19  5.282E-18  1.00E-07
  2.250E-04 3.70380E-16  5.463E-10  1.480E-08  1.230E-08 -1.076E-18  5.942E-18  1.00E-07
  2.500E-04 3.70380E-16  6.070E-10  1.480E-08  1.230E-08 -1.196E-18  6.602E-18  1.00E-07
  2.750E-04 3.70380E-16  6.677E-10  1.480E-08  1.230E-08 -1.316E-18  7.262E-18  1.00E-07
  3.000E-04 3.70380E-16  7.284E-10  1.480E-08  1.230E-08 -1.435E-18  7.922E-18  1.00E-07
  3.250E-04 3.70380E-16  7.891E-10  1.480E-08  1.230E-08 -1.555E-18  8.582E-18  1.00E-07
  3.500E-04 3.70380E-16  8.498E-10  1.480E-08  1.230E-08 -1.674E-18  9.243E-18  1.00E-07
  3.750E-04 3.70380E-16  9.105E-10  1.480E-08  1.230E-08 -1.794E-18  9.903E-18  1.00E-07
  4.000E-04 3.70380E-16  9.712E-10  1.480E-08  1.230E-08 -1.914E-18  1.056E-17  1.00E-07
