

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 8.80000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.42208757E-03      0.00000000E+00
       1     -1.56828503E+00     -1.56726820E+00
       2      6.89072839E-01      6.89245845E-01
       3      3.02652740E-01      3.02707524E-01
       4      1.36247922E-01      1.36269497E-01
       5      6.29035572E-02      6.29128749E-02
       6      2.96058181E-02      2.96100383E-02
       7      1.41337233E-02      1.41356884E-02
       8      6.82116526E-03      6.82209675E-03
       9      3.32064940E-03      3.32109657E-03
      10      1.62809656E-03      1.62831333E-03
      11      8.03017610E-04      8.03123509E-04
      12      3.98061283E-04      3.98113358E-04
      13      1.98157211E-04      1.98182959E-04
      14      9.89934485E-05      9.90062384E-05
      15      4.95997664E-05      4.96061444E-05
      16      2.49117035E-05      2.49148944E-05
      17      1.25366873E-05      1.25382880E-05
      18      6.31903600E-06      6.31984078E-06
      19      3.18908414E-06      3.18948948E-06
      20      1.61105072E-06      1.61125516E-06
      21      8.14481374E-07      8.14584606E-07
      22      4.12002163E-07      4.12054330E-07
      23      2.08495469E-07      2.08521847E-07
      24      1.05539975E-07      1.05553323E-07
      25      5.34336790E-08      5.34404364E-08
      26      2.70554589E-08      2.70588786E-08
      27      1.36995968E-08      1.37013310E-08
      28      6.93660798E-09      6.93748692E-09
      29      3.51196827E-09      3.51241332E-09
      30      1.77792841E-09      1.77815024E-09
      31      8.99964242E-10      9.00080026E-10
      32      4.55469830E-10      4.55524346E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.72572E-16  0.000E+00  1.495E-08  1.221E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.72572E-16  2.433E-10  1.495E-08  1.221E-08 -2.733E-19  2.809E-18  1.00E-07
  1.250E-04 3.72572E-16  3.041E-10  1.495E-08  1.221E-08 -3.416E-19  3.511E-18  1.00E-07
  1.500E-04 3.72572E-16  3.649E-10  1.495E-08  1.221E-08 -4.099E-19  4.213E-18  1.00E-07
  1.750E-04 3.72572E-16  4.258E-10  1.495E-08  1.221E-08 -4.782E-19  4.915E-18  1.00E-07
  2.000E-04 3.72572E-16  4.866E-10  1.495E-08  1.221E-08 -5.465E-19  5.617E-18  1.00E-07
  2.250E-04 3.72572E-16  5.474E-10  1.495E-08  1.221E-08 -6.149E-19  6.319E-18  1.00E-07
  2.500E-04 3.72572E-16  6.082E-10  1.495E-08  1.221E-08 -6.832E-19  7.021E-18  1.00E-07
  2.750E-04 3.72572E-16  6.691E-10  1.495E-08  1.221E-08 -7.515E-19  7.724E-18  1.00E-07
  3.000E-04 3.72572E-16  7.299E-10  1.495E-08  1.221E-08 -8.198E-19  8.426E-18  1.00E-07
  3.250E-04 3.72572E-16  7.907E-10  1.495E-08  1.221E-08 -8.881E-19  9.128E-18  1.00E-07
  3.500E-04 3.72572E-16  8.515E-10  1.495E-08  1.221E-08 -9.564E-19  9.830E-18  1.00E-07
  3.750E-04 3.72572E-16  9.123E-10  1.495E-08  1.221E-08 -1.025E-18  1.053E-17  1.00E-07
  4.000E-04 3.72572E-16  9.732E-10  1.495E-08  1.221E-08 -1.093E-18  1.123E-17  1.00E-07
