

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 9.20000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.30139274E-02      0.00000000E+00
       1      1.56262552E+00      1.56364651E+00
       2      6.95325701E-01      6.95503494E-01
       3      3.11107046E-01      3.11164597E-01
       4      1.42379721E-01      1.42402784E-01
       5      6.67347619E-02      6.67448729E-02
       6      3.18668821E-02      3.18715270E-02
       7      1.54303105E-02      1.54325037E-02
       8      7.55197444E-03      7.55302854E-03
       9      3.72789502E-03      3.72840808E-03
      10      1.85323385E-03      1.85348599E-03
      11      9.26760699E-04      9.26885583E-04
      12      4.65777774E-04      4.65840030E-04
      13      2.35086717E-04      2.35117923E-04
      14      1.19076145E-04      1.19091860E-04
      15      6.04943155E-05      6.05022601E-05
      16      3.08088537E-05      3.08128835E-05
      17      1.57222647E-05      1.57243143E-05
      18      8.03651057E-06      8.03755546E-06
      19      4.11330937E-06      4.11384303E-06
      20      2.10749729E-06      2.10777025E-06
      21      1.08067234E-06      1.08081213E-06
      22      5.54483473E-07      5.54555119E-07
      23      2.84630475E-07      2.84667230E-07
      24      1.46155598E-07      1.46174460E-07
      25      7.50661009E-08      7.50757867E-08
      26      3.85592003E-08      3.85641720E-08
      27      1.98078759E-08      1.98104270E-08
      28      1.01753492E-08      1.01766592E-08
      29      5.22681927E-09      5.22749243E-09
      30      2.68462703E-09      2.68497303E-09
      31      1.37876209E-09      1.37893997E-09
      32      7.08016974E-10      7.08110103E-10
      33      3.63502671E-10      3.63553780E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.74764E-16  0.000E+00  1.509E-08  1.212E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.74764E-16  2.436E-10  1.509E-08  1.212E-08 -7.006E-20  2.968E-18  1.00E-07
  1.250E-04 3.74764E-16  3.045E-10  1.509E-08  1.212E-08 -8.757E-20  3.710E-18  1.00E-07
  1.500E-04 3.74764E-16  3.653E-10  1.509E-08  1.212E-08 -1.051E-19  4.451E-18  1.00E-07
  1.750E-04 3.74764E-16  4.262E-10  1.509E-08  1.212E-08 -1.226E-19  5.193E-18  1.00E-07
  2.000E-04 3.74764E-16  4.871E-10  1.509E-08  1.212E-08 -1.401E-19  5.935E-18  1.00E-07
  2.250E-04 3.74764E-16  5.480E-10  1.509E-08  1.212E-08 -1.576E-19  6.677E-18  1.00E-07
  2.500E-04 3.74764E-16  6.089E-10  1.509E-08  1.212E-08 -1.751E-19  7.419E-18  1.00E-07
  2.750E-04 3.74764E-16  6.698E-10  1.509E-08  1.212E-08 -1.927E-19  8.161E-18  1.00E-07
  3.000E-04 3.74764E-16  7.307E-10  1.509E-08  1.212E-08 -2.102E-19  8.903E-18  1.00E-07
  3.250E-04 3.74764E-16  7.916E-10  1.509E-08  1.212E-08 -2.277E-19  9.645E-18  1.00E-07
  3.500E-04 3.74764E-16  8.525E-10  1.509E-08  1.212E-08 -2.452E-19  1.039E-17  1.00E-07
  3.750E-04 3.74764E-16  9.134E-10  1.509E-08  1.212E-08 -2.627E-19  1.113E-17  1.00E-07
  4.000E-04 3.74764E-16  9.743E-10  1.509E-08  1.212E-08 -2.802E-19  1.187E-17  1.00E-07
