

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.02000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      6.28986633E-01      0.00000000E+00
       1      2.71321903E-01      2.71384392E-01
       2      1.28829032E-01      1.28851350E-01
       3      6.31919138E-02      6.32018952E-02
       4      3.14587452E-02      3.14635276E-02
       5      1.57745563E-02      1.57769137E-02
       6      7.93628679E-03      7.93746407E-03
       7      3.99761783E-03      3.99820926E-03
       8      2.01374470E-03      2.01404253E-03
       9      1.01381109E-03      1.01396117E-03
      10      5.09944950E-04      5.10020551E-04
      11      2.56237817E-04      2.56275870E-04
      12      1.28617246E-04      1.28636380E-04
      13      6.44906195E-05      6.45002305E-05
      14      3.23037073E-05      3.23085296E-05
      15      1.61655051E-05      1.61679221E-05
      16      8.08224285E-06      8.08345310E-06
      17      4.03742917E-06      4.03803459E-06
      18      2.01526499E-06      2.01556758E-06
      19      1.00516198E-06      1.00531309E-06
      20      5.00999674E-07      5.01075077E-07
      21      2.49548952E-07      2.49586550E-07
      22      1.24224914E-07      1.24243648E-07
      23      6.18033890E-08      6.18127178E-08
      24      3.07313489E-08      3.07359911E-08
      25      1.52732505E-08      1.52755567E-08
      26      7.58703197E-09      7.58818227E-09
      27      3.76713306E-09      3.76769739E-09
      28      1.86968098E-09      1.86996210E-09
      29      9.27580436E-10      9.27725103E-10
      30      4.60003367E-10      4.60072340E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.59364E-17  0.000E+00  5.847E-09  1.324E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.59364E-17 -1.432E-11  5.847E-09  1.324E-09  1.112E-18  2.078E-19  1.00E-07
  1.250E-04 3.59364E-17 -1.790E-11  5.847E-09  1.324E-09  1.390E-18  2.597E-19  1.00E-07
  1.500E-04 3.59364E-17 -2.148E-11  5.847E-09  1.324E-09  1.668E-18  3.116E-19  1.00E-07
  1.750E-04 3.59364E-17 -2.505E-11  5.847E-09  1.324E-09  1.946E-18  3.636E-19  1.00E-07
  2.000E-04 3.59364E-17 -2.863E-11  5.847E-09  1.324E-09  2.224E-18  4.155E-19  1.00E-07
  2.250E-04 3.59364E-17 -3.221E-11  5.847E-09  1.324E-09  2.502E-18  4.675E-19  1.00E-07
  2.500E-04 3.59364E-17 -3.579E-11  5.847E-09  1.324E-09  2.780E-18  5.194E-19  1.00E-07
  2.750E-04 3.59364E-17 -3.937E-11  5.847E-09  1.324E-09  3.058E-18  5.713E-19  1.00E-07
  3.000E-04 3.59364E-17 -4.295E-11  5.847E-09  1.324E-09  3.336E-18  6.233E-19  1.00E-07
  3.250E-04 3.59364E-17 -4.653E-11  5.847E-09  1.324E-09  3.614E-18  6.752E-19  1.00E-07
  3.500E-04 3.59364E-17 -5.011E-11  5.847E-09  1.324E-09  3.892E-18  7.272E-19  1.00E-07
  3.750E-04 3.59364E-17 -5.369E-11  5.847E-09  1.324E-09  4.170E-18  7.791E-19  1.00E-07
