

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.04000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      6.25422777E-01      0.00000000E+00
       1      2.71120579E-01      2.71183677E-01
       2      1.29486886E-01      1.29509547E-01
       3      6.38991230E-02      6.39093150E-02
       4      3.20059567E-02      3.20108683E-02
       5      1.61484521E-02      1.61508876E-02
       6      8.17528964E-03      8.17651328E-03
       7      4.14404957E-03      4.14466808E-03
       8      2.10081848E-03      2.10113191E-03
       9      1.06443829E-03      1.06459723E-03
      10      5.38866853E-04      5.38947430E-04
      11      2.72526367E-04      2.72567186E-04
      12      1.37683411E-04      1.37704069E-04
      13      6.94870922E-05      6.94975364E-05
      14      3.50341615E-05      3.50394361E-05
      15      1.76467955E-05      1.76494565E-05
      16      8.88076209E-06      8.88210323E-06
      17      4.46548738E-06      4.46616268E-06
      18      2.24359778E-06      2.24393752E-06
      19      1.12642073E-06      1.12659151E-06
      20      5.65140231E-07      5.65226011E-07
      21      2.83354976E-07      2.83398030E-07
      22      1.41984872E-07      1.42006464E-07
      23      7.11059153E-08      7.11167412E-08
      24      3.55906920E-08      3.55961082E-08
      25      1.78052730E-08      1.78079886E-08
      26      8.90336191E-09      8.90472078E-09
      27      4.44998725E-09      4.45067157E-09
      28      2.22319110E-09      2.22353012E-09
      29      1.11027086E-09      1.11043967E-09
      30      5.54260966E-10      5.54343920E-10
      31      2.76556305E-10      2.76599561E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.57879E-17  0.000E+00  5.838E-09  1.308E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.57879E-17 -1.424E-11  5.838E-09  1.308E-09  1.130E-18  2.095E-19  1.00E-07
  1.250E-04 3.57879E-17 -1.779E-11  5.838E-09  1.308E-09  1.413E-18  2.619E-19  1.00E-07
  1.500E-04 3.57879E-17 -2.135E-11  5.838E-09  1.308E-09  1.695E-18  3.143E-19  1.00E-07
  1.750E-04 3.57879E-17 -2.491E-11  5.838E-09  1.308E-09  1.978E-18  3.667E-19  1.00E-07
  2.000E-04 3.57879E-17 -2.847E-11  5.838E-09  1.308E-09  2.261E-18  4.191E-19  1.00E-07
  2.250E-04 3.57879E-17 -3.203E-11  5.838E-09  1.308E-09  2.543E-18  4.714E-19  1.00E-07
  2.500E-04 3.57879E-17 -3.559E-11  5.838E-09  1.308E-09  2.826E-18  5.238E-19  1.00E-07
  2.750E-04 3.57879E-17 -3.915E-11  5.838E-09  1.308E-09  3.108E-18  5.762E-19  1.00E-07
  3.000E-04 3.57879E-17 -4.271E-11  5.838E-09  1.308E-09  3.391E-18  6.286E-19  1.00E-07
  3.250E-04 3.57879E-17 -4.627E-11  5.838E-09  1.308E-09  3.673E-18  6.810E-19  1.00E-07
  3.500E-04 3.57879E-17 -4.982E-11  5.838E-09  1.308E-09  3.956E-18  7.334E-19  1.00E-07
  3.750E-04 3.57879E-17 -5.338E-11  5.838E-09  1.308E-09  4.239E-18  7.857E-19  1.00E-07
