

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.18000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      6.02733849E-01      0.00000000E+00
       1      2.69561223E-01      2.69628420E-01
       2      1.33542832E-01      1.33567812E-01
       3      6.84475950E-02      6.84592330E-02
       4      3.56282336E-02      3.56340494E-02
       5      1.86885043E-02      1.86914974E-02
       6      9.84009874E-03      9.84166077E-03
       7      5.18961159E-03      5.19043230E-03
       8      2.73812980E-03      2.73856236E-03
       9      1.44431412E-03      1.44454236E-03
      10      7.61372575E-04      7.61493021E-04
      11      4.01032284E-04      4.01095816E-04
      12      2.11043844E-04      2.11077330E-04
      13      1.10960528E-04      1.10978162E-04
      14      5.82871569E-05      5.82964347E-05
      15      3.05914280E-05      3.05963047E-05
      16      1.60423135E-05      1.60448745E-05
      17      8.40608897E-06      8.40743278E-06
      18      4.40149544E-06      4.40219998E-06
      19      2.30305766E-06      2.30342675E-06
      20      1.20427517E-06      1.20446839E-06
      21      6.29332300E-07      6.29433377E-07
      22      3.28687676E-07      3.28740516E-07
      23      1.71573688E-07      1.71601294E-07
      24      8.95149491E-08      8.95293691E-08
      25      4.66799119E-08      4.66874365E-08
      26      2.43313170E-08      2.43352406E-08
      27      1.26769470E-08      1.26789956E-08
      28      6.60216534E-09      6.60322844E-09
      29      3.43703560E-09      3.43759226E-09
      30      1.78860198E-09      1.78889218E-09
      31      9.30460074E-10      9.30614935E-10
      32      4.83883892E-10      4.83962653E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.48863E-17  0.000E+00  5.781E-09  1.209E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.48863E-17 -1.372E-11  5.781E-09  1.209E-09  1.258E-18  2.215E-19  1.00E-07
  1.250E-04 3.48863E-17 -1.715E-11  5.781E-09  1.209E-09  1.572E-18  2.769E-19  1.00E-07
  1.500E-04 3.48863E-17 -2.058E-11  5.781E-09  1.209E-09  1.887E-18  3.323E-19  1.00E-07
  1.750E-04 3.48863E-17 -2.400E-11  5.781E-09  1.209E-09  2.201E-18  3.877E-19  1.00E-07
  2.000E-04 3.48863E-17 -2.743E-11  5.781E-09  1.209E-09  2.515E-18  4.431E-19  1.00E-07
  2.250E-04 3.48863E-17 -3.086E-11  5.781E-09  1.209E-09  2.830E-18  4.985E-19  1.00E-07
  2.500E-04 3.48863E-17 -3.429E-11  5.781E-09  1.209E-09  3.144E-18  5.539E-19  1.00E-07
  2.750E-04 3.48863E-17 -3.772E-11  5.781E-09  1.209E-09  3.459E-18  6.092E-19  1.00E-07
  3.000E-04 3.48863E-17 -4.115E-11  5.781E-09  1.209E-09  3.773E-18  6.646E-19  1.00E-07
  3.250E-04 3.48863E-17 -4.458E-11  5.781E-09  1.209E-09  4.087E-18  7.200E-19  1.00E-07
  3.500E-04 3.48863E-17 -4.801E-11  5.781E-09  1.209E-09  4.402E-18  7.754E-19  1.00E-07
  3.750E-04 3.48863E-17 -5.144E-11  5.781E-09  1.209E-09  4.716E-18  8.308E-19  1.00E-07
  4.000E-04 3.48863E-17 -5.487E-11  5.781E-09  1.209E-09  5.031E-18  8.862E-19  1.00E-07
