

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.24000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.94048050E-01      0.00000000E+00
       1      2.68832719E-01      2.68901588E-01
       2      1.35026804E-01      1.35052737E-01
       3      7.02029739E-02      7.02152169E-02
       4      3.70751802E-02      3.70813823E-02
       5      1.97344210E-02      1.97376579E-02
       6      1.05456804E-02      1.05473940E-02
       7      5.64540796E-03      5.64632151E-03
       8      3.02380157E-03      3.02429023E-03
       9      1.61936765E-03      1.61962938E-03
      10      8.66769782E-04      8.66910002E-04
      11      4.63596337E-04      4.63671433E-04
      12      2.47749712E-04      2.47789903E-04
      13      1.32284763E-04      1.32306256E-04
      14      7.05719868E-05      7.05834707E-05
      15      3.76176595E-05      3.76237900E-05
      16      2.00356591E-05      2.00389290E-05
      17      1.06631484E-05      1.06648910E-05
      18      5.67094335E-06      5.67187127E-06
      19      3.01391504E-06      3.01440878E-06
      20      1.60077254E-06      1.60103508E-06
      21      8.49703414E-07      8.49842917E-07
      22      4.50774547E-07      4.50848628E-07
      23      2.39011997E-07      2.39051315E-07
      24      1.26666438E-07      1.26687293E-07
      25      6.70960973E-08      6.71071518E-08
      26      3.55252589E-08      3.55311179E-08
      27      1.88014822E-08      1.88045871E-08
      28      9.94657221E-09      9.94821569E-09
      29      5.26003494E-09      5.26090691E-09
      30      2.78060759E-09      2.78106799E-09
      31      1.46937064E-09      1.46961897E-09
      32      7.76230017E-10      7.76359766E-10
      33      4.09939029E-10      4.10006187E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.45611E-17  0.000E+00  5.761E-09  1.172E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.45611E-17 -1.352E-11  5.761E-09  1.172E-09  1.312E-18  2.265E-19  1.00E-07
  1.250E-04 3.45611E-17 -1.690E-11  5.761E-09  1.172E-09  1.640E-18  2.831E-19  1.00E-07
  1.500E-04 3.45611E-17 -2.028E-11  5.761E-09  1.172E-09  1.968E-18  3.397E-19  1.00E-07
  1.750E-04 3.45611E-17 -2.366E-11  5.761E-09  1.172E-09  2.296E-18  3.964E-19  1.00E-07
  2.000E-04 3.45611E-17 -2.703E-11  5.761E-09  1.172E-09  2.624E-18  4.530E-19  1.00E-07
  2.250E-04 3.45611E-17 -3.041E-11  5.761E-09  1.172E-09  2.953E-18  5.096E-19  1.00E-07
  2.500E-04 3.45611E-17 -3.379E-11  5.761E-09  1.172E-09  3.281E-18  5.662E-19  1.00E-07
  2.750E-04 3.45611E-17 -3.717E-11  5.761E-09  1.172E-09  3.609E-18  6.228E-19  1.00E-07
  3.000E-04 3.45611E-17 -4.055E-11  5.761E-09  1.172E-09  3.937E-18  6.795E-19  1.00E-07
  3.250E-04 3.45611E-17 -4.393E-11  5.761E-09  1.172E-09  4.265E-18  7.361E-19  1.00E-07
  3.500E-04 3.45611E-17 -4.731E-11  5.761E-09  1.172E-09  4.593E-18  7.927E-19  1.00E-07
  3.750E-04 3.45611E-17 -5.069E-11  5.761E-09  1.172E-09  4.921E-18  8.493E-19  1.00E-07
  4.000E-04 3.45611E-17 -5.407E-11  5.761E-09  1.172E-09  5.249E-18  9.060E-19  1.00E-07
