

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.32000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.83271935E-01      0.00000000E+00
       1      2.67823529E-01      2.67894556E-01
       2      1.36807196E-01      1.36834366E-01
       3      7.23846701E-02      7.23977059E-02
       4      3.89131777E-02      3.89198927E-02
       5      2.10885433E-02      2.10921086E-02
       6      1.14758403E-02      1.14777611E-02
       7      6.25700076E-03      6.25804325E-03
       8      3.41389917E-03      3.41446699E-03
       9      1.86262702E-03      1.86293679E-03
      10      1.01581527E-03      1.01598433E-03
      11      5.53631558E-04      5.53723805E-04
      12      3.01506183E-04      3.01556490E-04
      13      1.64067188E-04      1.64094603E-04
      14      8.92062136E-05      8.92211418E-05
      15      4.84644962E-05      4.84726182E-05
      16      2.63099562E-05      2.63143715E-05
      17      1.42724838E-05      1.42748821E-05
      18      7.73709964E-06      7.73840143E-06
      19      4.19152743E-06      4.19223350E-06
      20      2.26933062E-06      2.26971332E-06
      21      1.22791891E-06      1.22812621E-06
      22      6.64052484E-07      6.64164698E-07
      23      3.58929628E-07      3.58990336E-07
      24      1.93911150E-07      1.93943975E-07
      25      1.04711538E-07      1.04729278E-07
      26      5.65191546E-08      5.65287379E-08
      27      3.04940692E-08      3.04992432E-08
      28      1.64460901E-08      1.64488834E-08
      29      8.86642271E-09      8.86793164E-09
      30      4.77835961E-09      4.77917367E-09
      31      2.57430505E-09      2.57474243E-09
      32      1.38639424E-09      1.38663491E-09
      33      7.46419205E-10      7.46554534E-10
      34      4.01758493E-10      4.01832369E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.41727E-17  0.000E+00  5.736E-09  1.128E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.41727E-17 -1.327E-11  5.736E-09  1.128E-09  1.385E-18  2.329E-19  1.00E-07
  1.250E-04 3.41727E-17 -1.659E-11  5.736E-09  1.128E-09  1.731E-18  2.912E-19  1.00E-07
  1.500E-04 3.41727E-17 -1.990E-11  5.736E-09  1.128E-09  2.077E-18  3.494E-19  1.00E-07
  1.750E-04 3.41727E-17 -2.322E-11  5.736E-09  1.128E-09  2.424E-18  4.076E-19  1.00E-07
  2.000E-04 3.41727E-17 -2.654E-11  5.736E-09  1.128E-09  2.770E-18  4.658E-19  1.00E-07
  2.250E-04 3.41727E-17 -2.985E-11  5.736E-09  1.128E-09  3.116E-18  5.241E-19  1.00E-07
  2.500E-04 3.41727E-17 -3.317E-11  5.736E-09  1.128E-09  3.462E-18  5.823E-19  1.00E-07
  2.750E-04 3.41727E-17 -3.649E-11  5.736E-09  1.128E-09  3.809E-18  6.405E-19  1.00E-07
  3.000E-04 3.41727E-17 -3.981E-11  5.736E-09  1.128E-09  4.155E-18  6.988E-19  1.00E-07
  3.250E-04 3.41727E-17 -4.312E-11  5.736E-09  1.128E-09  4.501E-18  7.570E-19  1.00E-07
  3.500E-04 3.41727E-17 -4.644E-11  5.736E-09  1.128E-09  4.847E-18  8.152E-19  1.00E-07
  3.750E-04 3.41727E-17 -4.976E-11  5.736E-09  1.128E-09  5.193E-18  8.735E-19  1.00E-07
  4.000E-04 3.41727E-17 -5.307E-11  5.736E-09  1.128E-09  5.540E-18  9.317E-19  1.00E-07
  4.250E-04 3.41727E-17 -5.639E-11  5.736E-09  1.128E-09  5.886E-18  9.899E-19  1.00E-07
