

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.40000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.73301216E-01      0.00000000E+00
       1      2.66783071E-01      2.66856186E-01
       2      1.38389153E-01      1.38417524E-01
       3      7.44018925E-02      7.44157060E-02
       4      4.06530677E-02      4.06602926E-02
       5      2.23966569E-02      2.24005536E-02
       6      1.23917687E-02      1.23939019E-02
       7      6.87058758E-03      6.87176437E-03
       8      3.81256341E-03      3.81321509E-03
       9      2.11584061E-03      2.11620213E-03
      10      1.17383337E-03      1.17403404E-03
      11      6.50854498E-04      6.50965881E-04
      12      3.60629328E-04      3.60691124E-04
      13      1.99670282E-04      1.99704544E-04
      14      1.10467502E-04      1.10486484E-04
      15      6.10700492E-05      6.10805580E-05
      16      3.37368467E-05      3.37426600E-05
      17      1.86241371E-05      1.86273504E-05
      18      1.02744291E-05      1.02762040E-05
      19      5.66453064E-06      5.66551034E-06
      20      3.12111325E-06      3.12165365E-06
      21      1.71873389E-06      1.71903180E-06
      22      9.45964221E-07      9.46128345E-07
      23      5.20379883E-07      5.20470252E-07
      24      2.86126372E-07      2.86176108E-07
      25      1.57252653E-07      1.57280009E-07
      26      8.63875316E-08      8.64025733E-08
      27      4.74380947E-08      4.74463622E-08
      28      2.60396277E-08      2.60441690E-08
      29      1.42883211E-08      1.42908124E-08
      30      7.83748485E-09      7.83885151E-09
      31      4.29761832E-09      4.29837240E-09
      32      2.35576289E-09      2.35617794E-09
      33      1.29093547E-09      1.29116078E-09
      34      7.07201612E-10      7.07322989E-10
      35      3.87326079E-10      3.87400391E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.38280E-17  0.000E+00  5.713E-09  1.089E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.38280E-17 -1.304E-11  5.713E-09  1.089E-09  1.458E-18  2.392E-19  1.00E-07
  1.250E-04 3.38280E-17 -1.630E-11  5.713E-09  1.089E-09  1.822E-18  2.990E-19  1.00E-07
  1.500E-04 3.38280E-17 -1.956E-11  5.713E-09  1.089E-09  2.186E-18  3.588E-19  1.00E-07
  1.750E-04 3.38280E-17 -2.282E-11  5.713E-09  1.089E-09  2.551E-18  4.186E-19  1.00E-07
  2.000E-04 3.38280E-17 -2.608E-11  5.713E-09  1.089E-09  2.915E-18  4.784E-19  1.00E-07
  2.250E-04 3.38280E-17 -2.934E-11  5.713E-09  1.089E-09  3.280E-18  5.382E-19  1.00E-07
  2.500E-04 3.38280E-17 -3.259E-11  5.713E-09  1.089E-09  3.644E-18  5.980E-19  1.00E-07
  2.750E-04 3.38280E-17 -3.585E-11  5.713E-09  1.089E-09  4.008E-18  6.577E-19  1.00E-07
  3.000E-04 3.38280E-17 -3.911E-11  5.713E-09  1.089E-09  4.373E-18  7.175E-19  1.00E-07
  3.250E-04 3.38280E-17 -4.237E-11  5.713E-09  1.089E-09  4.737E-18  7.773E-19  1.00E-07
  3.500E-04 3.38280E-17 -4.563E-11  5.713E-09  1.089E-09  5.102E-18  8.371E-19  1.00E-07
  3.750E-04 3.38280E-17 -4.889E-11  5.713E-09  1.089E-09  5.466E-18  8.969E-19  1.00E-07
  4.000E-04 3.38280E-17 -5.215E-11  5.713E-09  1.089E-09  5.830E-18  9.567E-19  1.00E-07
  4.250E-04 3.38280E-17 -5.541E-11  5.713E-09  1.089E-09  6.195E-18  1.017E-18  1.00E-07
