

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.48000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.64032670E-01      0.00000000E+00
       1      2.65721547E-01      2.65796682E-01
       2      1.39798487E-01      1.39828024E-01
       3      7.62709830E-02      7.62855592E-02
       4      4.23012905E-02      4.23090217E-02
       5      2.36594324E-02      2.36636625E-02
       6      1.32917385E-02      1.32940886E-02
       7      7.48394887E-03      7.48526484E-03
       8      4.21791056E-03      4.21865048E-03
       9      2.37768624E-03      2.37810308E-03
      10      1.34001676E-03      1.34025177E-03
      11      7.54838773E-04      7.54971272E-04
      12      4.24938843E-04      4.25013522E-04
      13      2.39054917E-04      2.39096984E-04
      14      1.34387055E-04      1.34410736E-04
      15      7.54929521E-05      7.55062732E-05
      16      4.23791111E-05      4.23865991E-05
      17      2.37741294E-05      2.37783354E-05
      18      1.33283829E-05      1.33307438E-05
      19      7.46764756E-06      7.46897185E-06
      20      4.18154909E-06      4.18229145E-06
      21      2.34018852E-06      2.34060442E-06
      22      1.30899333E-06      1.30922619E-06
      23      7.31827895E-07      7.31958203E-07
      24      4.08956242E-07      4.09029125E-07
      25      2.28429252E-07      2.28469997E-07
      26      1.27539089E-07      1.27561855E-07
      27      7.11805519E-08      7.11932715E-08
      28      3.97113388E-08      3.97184392E-08
      29      2.21467724E-08      2.21507332E-08
      30      1.23468257E-08      1.23490412E-08
      31      6.88111445E-09      6.88234260E-09
      32      3.83378692E-09      3.83447822E-09
      33      2.13530379E-09      2.13568954E-09
      34      1.18891811E-09      1.18912947E-09
      35      6.61820257E-10      6.61943728E-10
      36      3.68319822E-10      3.68386199E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.35200E-17  0.000E+00  5.693E-09  1.053E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.35200E-17 -1.282E-11  5.693E-09  1.053E-09  1.530E-18  2.453E-19  1.00E-07
  1.250E-04 3.35200E-17 -1.603E-11  5.693E-09  1.053E-09  1.913E-18  3.066E-19  1.00E-07
  1.500E-04 3.35200E-17 -1.923E-11  5.693E-09  1.053E-09  2.295E-18  3.679E-19  1.00E-07
  1.750E-04 3.35200E-17 -2.244E-11  5.693E-09  1.053E-09  2.678E-18  4.292E-19  1.00E-07
  2.000E-04 3.35200E-17 -2.565E-11  5.693E-09  1.053E-09  3.060E-18  4.906E-19  1.00E-07
  2.250E-04 3.35200E-17 -2.885E-11  5.693E-09  1.053E-09  3.443E-18  5.519E-19  1.00E-07
  2.500E-04 3.35200E-17 -3.206E-11  5.693E-09  1.053E-09  3.826E-18  6.132E-19  1.00E-07
  2.750E-04 3.35200E-17 -3.526E-11  5.693E-09  1.053E-09  4.208E-18  6.745E-19  1.00E-07
  3.000E-04 3.35200E-17 -3.847E-11  5.693E-09  1.053E-09  4.591E-18  7.358E-19  1.00E-07
  3.250E-04 3.35200E-17 -4.167E-11  5.693E-09  1.053E-09  4.973E-18  7.972E-19  1.00E-07
  3.500E-04 3.35200E-17 -4.488E-11  5.693E-09  1.053E-09  5.356E-18  8.585E-19  1.00E-07
  3.750E-04 3.35200E-17 -4.809E-11  5.693E-09  1.053E-09  5.738E-18  9.198E-19  1.00E-07
  4.000E-04 3.35200E-17 -5.129E-11  5.693E-09  1.053E-09  6.121E-18  9.811E-19  1.00E-07
  4.250E-04 3.35200E-17 -5.450E-11  5.693E-09  1.053E-09  6.504E-18  1.042E-18  1.00E-07
