

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.64000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.47275925E-01      0.00000000E+00
       1      2.63565013E-01      2.63644012E-01
       2      1.42182389E-01      1.42214165E-01
       3      7.96202321E-02      7.96362909E-02
       4      4.53465688E-02      4.53553001E-02
       5      2.60532271E-02      2.60581277E-02
       6      1.50391987E-02      1.50419934E-02
       7      8.70297653E-03      8.70458362E-03
       8      5.04226885E-03      5.04319718E-03
       9      2.92254023E-03      2.92307771E-03
      10      1.69381973E-03      1.69413124E-03
      11      9.81351444E-04      9.81532040E-04
      12      5.68280308E-04      5.68384991E-04
      13      3.28884591E-04      3.28945246E-04
      14      1.90217161E-04      1.90252286E-04
      15      1.09945127E-04      1.09965455E-04
      16      6.35074815E-05      6.35192385E-05
      17      3.66609258E-05      3.66677211E-05
      18      2.11505258E-05      2.11544508E-05
      19      1.21952016E-05      1.21974673E-05
      20      7.02778211E-06      7.02908919E-06
      21      4.04781379E-06      4.04856741E-06
      22      2.33027348E-06      2.33070775E-06
      23      1.34087470E-06      1.34112482E-06
      24      7.71213688E-07      7.71357674E-07
      25      4.43380068E-07      4.43462917E-07
      26      2.54801384E-07      2.54849036E-07
      27      1.46372743E-07      1.46400138E-07
      28      8.40541609E-08      8.40699003E-08
      29      4.82510451E-08      4.82600864E-08
      30      2.76891919E-08      2.76943818E-08
      31      1.58845411E-08      1.58875214E-08
      32      9.10977380E-09      9.11148659E-09
      33      5.22292629E-09      5.22390500E-09
      34      2.99366125E-09      2.99422210E-09
      35      1.71541744E-09      1.71573762E-09
      36      9.82663002E-10      9.82853439E-10
      37      5.62773860E-10      5.62879194E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.29931E-17  0.000E+00  5.658E-09  9.905E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.29931E-17 -1.243E-11  5.658E-09  9.905E-10  1.675E-18  2.570E-19  1.00E-07
  1.250E-04 3.29931E-17 -1.554E-11  5.658E-09  9.905E-10  2.094E-18  3.213E-19  1.00E-07
  1.500E-04 3.29931E-17 -1.865E-11  5.658E-09  9.905E-10  2.513E-18  3.856E-19  1.00E-07
  1.750E-04 3.29931E-17 -2.176E-11  5.658E-09  9.905E-10  2.932E-18  4.498E-19  1.00E-07
  2.000E-04 3.29931E-17 -2.487E-11  5.658E-09  9.905E-10  3.351E-18  5.141E-19  1.00E-07
  2.250E-04 3.29931E-17 -2.797E-11  5.658E-09  9.905E-10  3.770E-18  5.784E-19  1.00E-07
  2.500E-04 3.29931E-17 -3.108E-11  5.658E-09  9.905E-10  4.189E-18  6.426E-19  1.00E-07
  2.750E-04 3.29931E-17 -3.419E-11  5.658E-09  9.905E-10  4.608E-18  7.069E-19  1.00E-07
  3.000E-04 3.29931E-17 -3.730E-11  5.658E-09  9.905E-10  5.026E-18  7.711E-19  1.00E-07
  3.250E-04 3.29931E-17 -4.041E-11  5.658E-09  9.905E-10  5.445E-18  8.354E-19  1.00E-07
  3.500E-04 3.29931E-17 -4.352E-11  5.658E-09  9.905E-10  5.864E-18  8.997E-19  1.00E-07
  3.750E-04 3.29931E-17 -4.662E-11  5.658E-09  9.905E-10  6.283E-18  9.639E-19  1.00E-07
  4.000E-04 3.29931E-17 -4.973E-11  5.658E-09  9.905E-10  6.702E-18  1.028E-18  1.00E-07
  4.250E-04 3.29931E-17 -5.284E-11  5.658E-09  9.905E-10  7.121E-18  1.092E-18  1.00E-07
  4.500E-04 3.29931E-17 -5.595E-11  5.658E-09  9.905E-10  7.540E-18  1.157E-18  1.00E-07
