

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.66000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.45327739E-01      0.00000000E+00
       1      2.63294034E-01      2.63373501E-01
       2      1.42444908E-01      1.42476956E-01
       3      8.00061077E-02      8.00223479E-02
       4      4.57053682E-02      4.57142232E-02
       5      2.63404898E-02      2.63454745E-02
       6      1.52524771E-02      1.52553282E-02
       7      8.85419948E-03      8.85584403E-03
       8      5.14617428E-03      5.14712719E-03
       9      2.99230505E-03      2.99285850E-03
      10      1.73983461E-03      1.74015640E-03
      11      1.01127211E-03      1.01145926E-03
      12      5.87509513E-04      5.87618344E-04
      13      3.41122071E-04      3.41185334E-04
      14      1.97940350E-04      1.97977105E-04
      15      1.14784339E-04      1.14805680E-04
      16      6.65206787E-05      6.65330618E-05
      17      3.85268050E-05      3.85339857E-05
      18      2.23003051E-05      2.23044665E-05
      19      1.29006227E-05      1.29030327E-05
      20      7.45888228E-06      7.46027721E-06
      21      4.31033758E-06      4.31114451E-06
      22      2.48962702E-06      2.49009355E-06
      23      1.43731982E-06      1.43758941E-06
      24      8.29428277E-07      8.29583989E-07
      25      4.78431903E-07      4.78521796E-07
      26      2.75858532E-07      2.75910406E-07
      27      1.58996060E-07      1.59025978E-07
      28      9.16067881E-08      9.16240384E-08
      29      5.27615879E-08      5.27715297E-08
      30      3.03783943E-08      3.03841235E-08
      31      1.74853275E-08      1.74886256E-08
      32      1.00612349E-08      1.00631362E-08
      33      5.78764004E-09      5.78873419E-09
      34      3.32839757E-09      3.32902399E-09
      35      1.91360022E-09      1.91396226E-09
      36      1.09985957E-09      1.10006954E-09
      37      6.31987820E-10      6.32107803E-10
      38      3.63084320E-10      3.63149195E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.29343E-17  0.000E+00  5.654E-09  9.834E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.29343E-17 -1.239E-11  5.654E-09  9.834E-10  1.694E-18  2.585E-19  1.00E-07
  1.250E-04 3.29343E-17 -1.548E-11  5.654E-09  9.834E-10  2.117E-18  3.231E-19  1.00E-07
  1.500E-04 3.29343E-17 -1.858E-11  5.654E-09  9.834E-10  2.540E-18  3.877E-19  1.00E-07
  1.750E-04 3.29343E-17 -2.168E-11  5.654E-09  9.834E-10  2.964E-18  4.523E-19  1.00E-07
  2.000E-04 3.29343E-17 -2.478E-11  5.654E-09  9.834E-10  3.387E-18  5.170E-19  1.00E-07
  2.250E-04 3.29343E-17 -2.787E-11  5.654E-09  9.834E-10  3.811E-18  5.816E-19  1.00E-07
  2.500E-04 3.29343E-17 -3.097E-11  5.654E-09  9.834E-10  4.234E-18  6.462E-19  1.00E-07
  2.750E-04 3.29343E-17 -3.407E-11  5.654E-09  9.834E-10  4.657E-18  7.108E-19  1.00E-07
  3.000E-04 3.29343E-17 -3.716E-11  5.654E-09  9.834E-10  5.081E-18  7.754E-19  1.00E-07
  3.250E-04 3.29343E-17 -4.026E-11  5.654E-09  9.834E-10  5.504E-18  8.401E-19  1.00E-07
  3.500E-04 3.29343E-17 -4.336E-11  5.654E-09  9.834E-10  5.928E-18  9.047E-19  1.00E-07
  3.750E-04 3.29343E-17 -4.645E-11  5.654E-09  9.834E-10  6.351E-18  9.693E-19  1.00E-07
  4.000E-04 3.29343E-17 -4.955E-11  5.654E-09  9.834E-10  6.774E-18  1.034E-18  1.00E-07
  4.250E-04 3.29343E-17 -5.265E-11  5.654E-09  9.834E-10  7.198E-18  1.099E-18  1.00E-07
  4.500E-04 3.29343E-17 -5.575E-11  5.654E-09  9.834E-10  7.621E-18  1.163E-18  1.00E-07
