

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.76000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.36014076E-01      0.00000000E+00
       1      2.61939122E-01      2.62020881E-01
       2      1.43655116E-01      1.43688498E-01
       3      8.18376933E-02      8.18548285E-02
       4      4.74320690E-02      4.74415383E-02
       5      2.77384845E-02      2.77438893E-02
       6      1.63011889E-02      1.63043244E-02
       7      9.60521999E-03      9.60705496E-03
       8      5.66728085E-03      5.66835984E-03
       9      3.34560965E-03      3.34624572E-03
      10      1.97513702E-03      1.97551244E-03
      11      1.16576752E-03      1.16598920E-03
      12      6.87769595E-04      6.87900490E-04
      13      4.05552352E-04      4.05629618E-04
      14      2.39001962E-04      2.39047550E-04
      15      1.40765929E-04      1.40792812E-04
      16      8.28580006E-05      8.28738438E-05
      17      4.87434804E-05      4.87528117E-05
      18      2.86583517E-05      2.86638443E-05
      19      1.68402123E-05      1.68434435E-05
      20      9.89043787E-06      9.89233760E-06
      21      5.80584321E-06      5.80695951E-06
      22      3.40648978E-06      3.40714539E-06
      23      1.99779434E-06      1.99817919E-06
      24      1.17113226E-06      1.17135807E-06
      25      6.86248947E-07      6.86381372E-07
      26      4.01963475E-07      4.02041105E-07
      27      2.35357913E-07      2.35403399E-07
      28      1.37757793E-07      1.37784434E-07
      29      8.06038228E-08      8.06194247E-08
      30      4.71469673E-08      4.71560965E-08
      31      2.75687995E-08      2.75741401E-08
      32      1.61158511E-08      1.61189721E-08
      33      9.41808591E-09      9.41991201E-09
      34      5.50242708E-09      5.50349189E-09
      35      3.21393703E-09      3.21456146E-09
      36      1.87677251E-09      1.87713874E-09
      37      1.09563227E-09      1.09584643E-09
      38      6.39440698E-10      6.39563471E-10
      39      3.73125196E-10      3.73196349E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.26601E-17  0.000E+00  5.635E-09  9.500E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.26601E-17 -1.217E-11  5.635E-09  9.500E-10  1.784E-18  2.655E-19  1.00E-07
  1.250E-04 3.26601E-17 -1.521E-11  5.635E-09  9.500E-10  2.230E-18  3.319E-19  1.00E-07
  1.500E-04 3.26601E-17 -1.826E-11  5.635E-09  9.500E-10  2.676E-18  3.983E-19  1.00E-07
  1.750E-04 3.26601E-17 -2.130E-11  5.635E-09  9.500E-10  3.123E-18  4.647E-19  1.00E-07
  2.000E-04 3.26601E-17 -2.434E-11  5.635E-09  9.500E-10  3.569E-18  5.311E-19  1.00E-07
  2.250E-04 3.26601E-17 -2.738E-11  5.635E-09  9.500E-10  4.015E-18  5.975E-19  1.00E-07
  2.500E-04 3.26601E-17 -3.043E-11  5.635E-09  9.500E-10  4.461E-18  6.638E-19  1.00E-07
  2.750E-04 3.26601E-17 -3.347E-11  5.635E-09  9.500E-10  4.907E-18  7.302E-19  1.00E-07
  3.000E-04 3.26601E-17 -3.651E-11  5.635E-09  9.500E-10  5.353E-18  7.966E-19  1.00E-07
  3.250E-04 3.26601E-17 -3.956E-11  5.635E-09  9.500E-10  5.799E-18  8.630E-19  1.00E-07
  3.500E-04 3.26601E-17 -4.260E-11  5.635E-09  9.500E-10  6.245E-18  9.294E-19  1.00E-07
  3.750E-04 3.26601E-17 -4.564E-11  5.635E-09  9.500E-10  6.691E-18  9.958E-19  1.00E-07
  4.000E-04 3.26601E-17 -4.868E-11  5.635E-09  9.500E-10  7.137E-18  1.062E-18  1.00E-07
  4.250E-04 3.26601E-17 -5.173E-11  5.635E-09  9.500E-10  7.583E-18  1.129E-18  1.00E-07
  4.500E-04 3.26601E-17 -5.477E-11  5.635E-09  9.500E-10  8.029E-18  1.195E-18  1.00E-07
