

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.92000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.22423990E-01      0.00000000E+00
       1      2.59782796E-01      2.59868077E-01
       2      1.45281034E-01      1.45316471E-01
       3      8.44629264E-02      8.44814522E-02
       4      4.99788811E-02      4.99893174E-02
       5      2.98481147E-02      2.98541908E-02
       6      1.79171704E-02      1.79207678E-02
       7      1.07859554E-02      1.07881047E-02
       8      6.50284710E-03      6.50413781E-03
       9      3.92327919E-03      3.92405647E-03
      10      2.36741995E-03      2.36788872E-03
      11      1.42838387E-03      1.42866675E-03
      12      8.61537514E-04      8.61708250E-04
      13      5.19413425E-04      5.19516455E-04
      14      3.12992508E-04      3.13054658E-04
      15      1.88504953E-04      1.88542427E-04
      16      1.13468422E-04      1.13491004E-04
      17      6.82640150E-05      6.82776167E-05
      18      4.10466715E-05      4.10548593E-05
      19      2.46683584E-05      2.46732845E-05
      20      1.48179060E-05      1.48208681E-05
      21      8.89664769E-06      8.89842791E-06
      22      5.33909684E-06      5.34016622E-06
      23      3.20272677E-06      3.20336884E-06
      24      1.92039816E-06      1.92078349E-06
      25      1.15103955E-06      1.15127071E-06
      26      6.89643722E-07      6.89782324E-07
      27      4.13049803E-07      4.13132880E-07
      28      2.47303464E-07      2.47353239E-07
      29      1.48018203E-07      1.48048015E-07
      30      8.85652917E-08      8.85831419E-08
      31      5.29762418E-08      5.29869265E-08
      32      3.16791373E-08      3.16855292E-08
      33      1.89385468E-08      1.89423723E-08
      34      1.13189276E-08      1.13212165E-08
      35      6.76317802E-09      6.76453865E-09
      36      4.04007725E-09      4.04089402E-09
      37      2.41286697E-09      2.41335178E-09
      38      1.44071710E-09      1.44101147E-09
      39      8.60031638E-10      8.60203241E-10
      40      5.13252406E-10      5.13354949E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.22804E-17  0.000E+00  5.609E-09  9.029E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.22804E-17 -1.185E-11  5.609E-09  9.029E-10  1.929E-18  2.764E-19  1.00E-07
  1.250E-04 3.22804E-17 -1.482E-11  5.609E-09  9.029E-10  2.412E-18  3.456E-19  1.00E-07
  1.500E-04 3.22804E-17 -1.778E-11  5.609E-09  9.029E-10  2.894E-18  4.147E-19  1.00E-07
  1.750E-04 3.22804E-17 -2.075E-11  5.609E-09  9.029E-10  3.376E-18  4.838E-19  1.00E-07
  2.000E-04 3.22804E-17 -2.371E-11  5.609E-09  9.029E-10  3.859E-18  5.529E-19  1.00E-07
  2.250E-04 3.22804E-17 -2.667E-11  5.609E-09  9.029E-10  4.341E-18  6.220E-19  1.00E-07
  2.500E-04 3.22804E-17 -2.964E-11  5.609E-09  9.029E-10  4.824E-18  6.911E-19  1.00E-07
  2.750E-04 3.22804E-17 -3.260E-11  5.609E-09  9.029E-10  5.306E-18  7.602E-19  1.00E-07
  3.000E-04 3.22804E-17 -3.556E-11  5.609E-09  9.029E-10  5.788E-18  8.293E-19  1.00E-07
  3.250E-04 3.22804E-17 -3.853E-11  5.609E-09  9.029E-10  6.271E-18  8.985E-19  1.00E-07
  3.500E-04 3.22804E-17 -4.149E-11  5.609E-09  9.029E-10  6.753E-18  9.676E-19  1.00E-07
  3.750E-04 3.22804E-17 -4.445E-11  5.609E-09  9.029E-10  7.235E-18  1.037E-18  1.00E-07
  4.000E-04 3.22804E-17 -4.742E-11  5.609E-09  9.029E-10  7.718E-18  1.106E-18  1.00E-07
  4.250E-04 3.22804E-17 -5.038E-11  5.609E-09  9.029E-10  8.200E-18  1.175E-18  1.00E-07
  4.500E-04 3.22804E-17 -5.334E-11  5.609E-09  9.029E-10  8.682E-18  1.244E-18  1.00E-07
  4.750E-04 3.22804E-17 -5.631E-11  5.609E-09  9.029E-10  9.165E-18  1.313E-18  1.00E-07
