

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.98000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.17691462E-01      0.00000000E+00
       1      2.58981089E-01      2.59067648E-01
       2      1.45806103E-01      1.45842286E-01
       3      8.53613208E-02      8.53803558E-02
       4      5.08712291E-02      5.08820228E-02
       5      3.06009564E-02      3.06072835E-02
       6      1.85034827E-02      1.85072548E-02
       7      1.12211676E-02      1.12234374E-02
       8      6.81560838E-03      6.81698135E-03
       9      4.14281243E-03      4.14364532E-03
      10      2.51875975E-03      2.51926579E-03
      11      1.53122647E-03      1.53153413E-03
      12      9.30608213E-04      9.30795308E-04
      13      5.65349463E-04      5.65463223E-04
      14      3.43289006E-04      3.43358153E-04
      15      2.08343642E-04      2.08385654E-04
      16      1.26378171E-04      1.26403683E-04
      17      7.66188006E-05      7.66342855E-05
      18      4.64273506E-05      4.64367441E-05
      19      2.81186086E-05      2.81243038E-05
      20      1.70216856E-05      1.70251368E-05
      21      1.02993131E-05      1.03014034E-05
      22      6.22901449E-06      6.23027991E-06
      23      3.76568715E-06      3.76645285E-06
      24      2.27557549E-06      2.27603860E-06
      25      1.37457477E-06      1.37485475E-06
      26      8.30009938E-07      8.30179130E-07
      27      5.01006569E-07      5.01108775E-07
      28      3.02312162E-07      3.02373878E-07
      29      1.82358692E-07      1.82395942E-07
      30      1.09967024E-07      1.09989504E-07
      31      6.62932622E-08      6.63068210E-08
      32      3.99532646E-08      3.99614394E-08
      33      2.40722344E-08      2.40771648E-08
      34      1.45000061E-08      1.45029777E-08
      35      8.73192507E-09      8.73371527E-09
      36      5.25706513E-09      5.25813887E-09
      37      3.16429716E-09      3.16494591E-09
      38      1.90422901E-09      1.90462384E-09
      39      1.14569365E-09      1.14592664E-09
      40      6.89128872E-10      6.89269085E-10
      41      4.14404817E-10      4.14489224E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.21537E-17  0.000E+00  5.601E-09  8.869E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.21537E-17 -1.174E-11  5.601E-09  8.869E-10  1.984E-18  2.804E-19  1.00E-07
  1.250E-04 3.21537E-17 -1.468E-11  5.601E-09  8.869E-10  2.480E-18  3.505E-19  1.00E-07
  1.500E-04 3.21537E-17 -1.762E-11  5.601E-09  8.869E-10  2.976E-18  4.206E-19  1.00E-07
  1.750E-04 3.21537E-17 -2.055E-11  5.601E-09  8.869E-10  3.472E-18  4.908E-19  1.00E-07
  2.000E-04 3.21537E-17 -2.349E-11  5.601E-09  8.869E-10  3.968E-18  5.609E-19  1.00E-07
  2.250E-04 3.21537E-17 -2.642E-11  5.601E-09  8.869E-10  4.464E-18  6.310E-19  1.00E-07
  2.500E-04 3.21537E-17 -2.936E-11  5.601E-09  8.869E-10  4.960E-18  7.011E-19  1.00E-07
  2.750E-04 3.21537E-17 -3.230E-11  5.601E-09  8.869E-10  5.455E-18  7.712E-19  1.00E-07
  3.000E-04 3.21537E-17 -3.523E-11  5.601E-09  8.869E-10  5.951E-18  8.413E-19  1.00E-07
  3.250E-04 3.21537E-17 -3.817E-11  5.601E-09  8.869E-10  6.447E-18  9.114E-19  1.00E-07
  3.500E-04 3.21537E-17 -4.110E-11  5.601E-09  8.869E-10  6.943E-18  9.815E-19  1.00E-07
  3.750E-04 3.21537E-17 -4.404E-11  5.601E-09  8.869E-10  7.439E-18  1.052E-18  1.00E-07
  4.000E-04 3.21537E-17 -4.698E-11  5.601E-09  8.869E-10  7.935E-18  1.122E-18  1.00E-07
  4.250E-04 3.21537E-17 -4.991E-11  5.601E-09  8.869E-10  8.431E-18  1.192E-18  1.00E-07
  4.500E-04 3.21537E-17 -5.285E-11  5.601E-09  8.869E-10  8.927E-18  1.262E-18  1.00E-07
  4.750E-04 3.21537E-17 -5.578E-11  5.601E-09  8.869E-10  9.423E-18  1.332E-18  1.00E-07
