

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.06000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.11655180E-01      0.00000000E+00
       1      2.57919905E-01      2.58008136E-01
       2      1.46443591E-01      1.46480752E-01
       3      8.64936058E-02      8.65133094E-02
       4      5.20120019E-02      5.20232678E-02
       5      3.15739147E-02      3.15805755E-02
       6      1.92686763E-02      1.92726825E-02
       7      1.17944797E-02      1.17969121E-02
       8      7.23137702E-03      7.23286185E-03
       9      4.43728012E-03      4.43818925E-03
      10      2.72357572E-03      2.72413328E-03
      11      1.67165160E-03      1.67199381E-03
      12      1.02576107E-03      1.02597116E-03
      13      6.29195877E-04      6.29324846E-04
      14      3.85773581E-04      3.85852731E-04
      15      2.36411521E-04      2.36460078E-04
      16      1.44806019E-04      1.44835793E-04
      17      8.86512743E-05      8.86695224E-05
      18      5.42458269E-05      5.42570051E-05
      19      3.31768974E-05      3.31837412E-05
      20      2.02814917E-05      2.02856797E-05
      21      1.23927059E-05      1.23952675E-05
      22      7.56906712E-06      7.57063312E-06
      23      4.62100524E-06      4.62196216E-06
      24      2.82004673E-06      2.82063122E-06
      25      1.72032126E-06      1.72067812E-06
      26      1.04906781E-06      1.04928560E-06
      27      6.39507130E-07      6.39639991E-07
      28      3.89710260E-07      3.89791285E-07
      29      2.37410078E-07      2.37459470E-07
      30      1.44585048E-07      1.44615151E-07
      31      8.80279562E-08      8.80462892E-08
      32      5.35791707E-08      5.35903382E-08
      33      3.26027319E-08      3.26095325E-08
      34      1.98335199E-08      1.98376607E-08
      35      1.20625613E-08      1.20650764E-08
      36      7.33456622E-09      7.33609745E-09
      37      4.45867359E-09      4.45960438E-09
      38      2.70984022E-09      2.71040567E-09
      39      1.64662690E-09      1.64697011E-09
      40      1.00032348E-09      1.00053554E-09
      41      6.07580414E-10      6.07707372E-10
      42      3.68930685E-10      3.69008116E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.19962E-17  0.000E+00  5.590E-09  8.668E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.19962E-17 -1.160E-11  5.590E-09  8.668E-10  2.056E-18  2.857E-19  1.00E-07
  1.250E-04 3.19962E-17 -1.450E-11  5.590E-09  8.668E-10  2.570E-18  3.571E-19  1.00E-07
  1.500E-04 3.19962E-17 -1.741E-11  5.590E-09  8.668E-10  3.084E-18  4.285E-19  1.00E-07
  1.750E-04 3.19962E-17 -2.031E-11  5.590E-09  8.668E-10  3.599E-18  4.999E-19  1.00E-07
  2.000E-04 3.19962E-17 -2.321E-11  5.590E-09  8.668E-10  4.113E-18  5.713E-19  1.00E-07
  2.250E-04 3.19962E-17 -2.611E-11  5.590E-09  8.668E-10  4.627E-18  6.427E-19  1.00E-07
  2.500E-04 3.19962E-17 -2.901E-11  5.590E-09  8.668E-10  5.141E-18  7.142E-19  1.00E-07
  2.750E-04 3.19962E-17 -3.191E-11  5.590E-09  8.668E-10  5.655E-18  7.856E-19  1.00E-07
  3.000E-04 3.19962E-17 -3.481E-11  5.590E-09  8.668E-10  6.169E-18  8.570E-19  1.00E-07
  3.250E-04 3.19962E-17 -3.771E-11  5.590E-09  8.668E-10  6.683E-18  9.284E-19  1.00E-07
  3.500E-04 3.19962E-17 -4.061E-11  5.590E-09  8.668E-10  7.197E-18  9.998E-19  1.00E-07
  3.750E-04 3.19962E-17 -4.351E-11  5.590E-09  8.668E-10  7.711E-18  1.071E-18  1.00E-07
  4.000E-04 3.19962E-17 -4.641E-11  5.590E-09  8.668E-10  8.225E-18  1.143E-18  1.00E-07
  4.250E-04 3.19962E-17 -4.931E-11  5.590E-09  8.668E-10  8.739E-18  1.214E-18  1.00E-07
  4.500E-04 3.19962E-17 -5.222E-11  5.590E-09  8.668E-10  9.253E-18  1.285E-18  1.00E-07
  4.750E-04 3.19962E-17 -5.512E-11  5.590E-09  8.668E-10  9.768E-18  1.357E-18  1.00E-07
