    
 E (eV)=   224.000000000000     
       0      4.99090242E-01      0.00000000E+00
       1      2.55570414E-01      2.55662276E-01
       2      1.47649967E-01      1.47689255E-01
       3      8.87954451E-02      8.88166133E-02
       4      5.43904471E-02      5.44027571E-02
       5      3.36413232E-02      3.36487302E-02
       6      2.09224088E-02      2.09269449E-02
       7      1.30536231E-02      1.30564284E-02
       8      8.15895184E-03      8.16069665E-03
       9      5.10448807E-03      5.10557684E-03
      10      3.19484924E-03      3.19552989E-03
      11      1.99976491E-03      2.00019084E-03
      12      1.25153214E-03      1.25179878E-03
      13      7.83031081E-04      7.83198013E-04
      14      4.89725528E-04      4.89830018E-04
      15      3.06155164E-04      3.06220550E-04
      16      1.91308489E-04      1.91349389E-04
      17      1.19488540E-04      1.19514112E-04
      18      7.45963710E-05      7.46123521E-05
      19      4.65491289E-05      4.65591116E-05
      20      2.90343870E-05      2.90406198E-05
      21      1.81020164E-05      1.81059061E-05
      22      1.12813482E-05      1.12837746E-05
      23      7.02783681E-06      7.02934969E-06
      24      4.37638871E-06      4.37733162E-06
      25      2.72427229E-06      2.72485973E-06
      26      1.69524408E-06      1.69560992E-06
      27      1.05455091E-06      1.05477866E-06
      28      6.55786720E-07      6.55928449E-07
      29      4.07683737E-07      4.07771909E-07
      30      2.53370239E-07      2.53425076E-07
      31      1.57421638E-07      1.57455726E-07
      32      9.77811110E-08      9.78022994E-08
      33      6.07201020E-08      6.07332687E-08
      34      3.76964819E-08      3.77046630E-08
      35      2.33971993E-08      2.34022735E-08
      36      1.45186892E-08      1.45218402E-08
      37      9.00732242E-09      9.00927538E-09
      38      5.58687661E-09      5.58809333E-09
      39      3.46455607E-09      3.46530786E-09
      40      2.14803313E-09      2.14850195E-09
      41      1.33155658E-09      1.33184328E-09
      42      8.25242940E-10      8.25422217E-10
      43      5.11311756E-10      5.11422670E-10

  TOTAL ELASTIC CROSS SECTION = 1.353619E-17 cm**2
               FROM DCS TABLE = 1.353580E-17  (REL. DIF. = 2.87E-05)

  1ST TRANSPORT CROSS SECTION = 2.144335E-18 cm**2
               FROM DCS TABLE = 2.144305E-18  (REL. DIF. = 1.42E-05)

  2ND TRANSPORT CROSS SECTION = 4.461964E-18 cm**2
