

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.28000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      4.96469764E-01      0.00000000E+00
       1      2.55056231E-01      2.55148878E-01
       2      1.47880311E-01      1.47920059E-01
       3      8.92651608E-02      8.92866474E-02
       4      5.48862577E-02      5.48987962E-02
       5      3.40790605E-02      3.40866323E-02
       6      2.12773988E-02      2.12820531E-02
       7      1.33274262E-02      1.33303155E-02
       8      8.36319356E-03      8.36499754E-03
       9      5.25321443E-03      5.25434452E-03
      10      3.30118274E-03      3.30189203E-03
      11      2.07469428E-03      2.07513990E-03
      12      1.30371171E-03      1.30399180E-03
      13      8.19011930E-04      8.19187993E-04
      14      5.14330053E-04      5.14440709E-04
      15      3.22859875E-04      3.22929402E-04
      16      2.02579131E-04      2.02622800E-04
      17      1.27051185E-04      1.27078601E-04
      18      7.96463103E-05      7.96635146E-05
      19      4.99066095E-05      4.99174007E-05
      20      3.12579427E-05      3.12647082E-05
      21      1.95694339E-05      1.95736736E-05
      22      1.22466690E-05      1.22493248E-05
      23      7.66101263E-06      7.66267542E-06
      24      4.79059656E-06      4.79163723E-06
      25      2.99457315E-06      2.99522420E-06
      26      1.87123657E-06      1.87164372E-06
      27      1.16889979E-06      1.16915432E-06
      28      7.29939323E-07      7.30098378E-07
      29      4.55683102E-07      4.55782471E-07
      30      2.84388124E-07      2.84450175E-07
      31      1.77434292E-07      1.77473034E-07
      32      1.10674120E-07      1.10698297E-07
      33      6.90147840E-08      6.90298730E-08
      34      4.30259267E-08      4.30353348E-08
      35      2.68172015E-08      2.68230653E-08
      36      1.67107825E-08      1.67144413E-08
      37      1.04108424E-08      1.04131241E-08
      38      6.48458477E-09      6.48601059E-09
      39      4.03817283E-09      4.03905874E-09
      40      2.51419212E-09      2.51474152E-09
      41      1.56508007E-09      1.56541907E-09
      42      9.74076567E-10      9.74291420E-10
      43      6.06093187E-10      6.06220145E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.16197E-17  0.000E+00  5.563E-09  8.177E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.16197E-17 -1.125E-11  5.563E-09  8.177E-10  2.256E-18  2.996E-19  1.00E-07
  1.250E-04 3.16197E-17 -1.406E-11  5.563E-09  8.177E-10  2.820E-18  3.745E-19  1.00E-07
  1.500E-04 3.16197E-17 -1.687E-11  5.563E-09  8.177E-10  3.384E-18  4.494E-19  1.00E-07
  1.750E-04 3.16197E-17 -1.969E-11  5.563E-09  8.177E-10  3.947E-18  5.243E-19  1.00E-07
  2.000E-04 3.16197E-17 -2.250E-11  5.563E-09  8.177E-10  4.511E-18  5.991E-19  1.00E-07
  2.250E-04 3.16197E-17 -2.531E-11  5.563E-09  8.177E-10  5.075E-18  6.740E-19  1.00E-07
  2.500E-04 3.16197E-17 -2.812E-11  5.563E-09  8.177E-10  5.639E-18  7.489E-19  1.00E-07
  2.750E-04 3.16197E-17 -3.094E-11  5.563E-09  8.177E-10  6.203E-18  8.238E-19  1.00E-07
  3.000E-04 3.16197E-17 -3.375E-11  5.563E-09  8.177E-10  6.767E-18  8.987E-19  1.00E-07
  3.250E-04 3.16197E-17 -3.656E-11  5.563E-09  8.177E-10  7.331E-18  9.736E-19  1.00E-07
  3.500E-04 3.16197E-17 -3.937E-11  5.563E-09  8.177E-10  7.895E-18  1.049E-18  1.00E-07
  3.750E-04 3.16197E-17 -4.219E-11  5.563E-09  8.177E-10  8.459E-18  1.123E-18  1.00E-07
  4.000E-04 3.16197E-17 -4.500E-11  5.563E-09  8.177E-10  9.023E-18  1.198E-18  1.00E-07
  4.250E-04 3.16197E-17 -4.781E-11  5.563E-09  8.177E-10  9.587E-18  1.273E-18  1.00E-07
  4.500E-04 3.16197E-17 -5.062E-11  5.563E-09  8.177E-10  1.015E-17  1.348E-18  1.00E-07
  4.750E-04 3.16197E-17 -5.344E-11  5.563E-09  8.177E-10  1.071E-17  1.423E-18  1.00E-07
  5.000E-04 3.16197E-17 -5.625E-11  5.563E-09  8.177E-10  1.128E-17  1.498E-18  1.00E-07
