 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 2.46000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.54512E-09  7.83105E-10  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  5.54512E-09  7.83105E-10  2.41875E-18  3.10504E-19
  1.250E-04  1.18994E-12  5.54512E-09  7.83105E-10  3.02344E-18  3.88130E-19
  1.500E-04  1.71346E-12  5.54512E-09  7.83105E-10  3.62813E-18  4.65756E-19
  1.750E-04  2.33225E-12  5.54512E-09  7.83105E-10  4.23281E-18  5.43381E-19
  2.000E-04  3.04617E-12  5.54512E-09  7.83105E-10  4.83750E-18  6.21007E-19
  2.250E-04  3.85530E-12  5.54512E-09  7.83105E-10  5.44219E-18  6.98633E-19
  2.500E-04  4.75964E-12  5.54512E-09  7.83105E-10  6.04688E-18  7.76259E-19
  2.750E-04  5.75917E-12  5.54512E-09  7.83105E-10  6.65157E-18  8.53885E-19
  3.000E-04  6.85391E-12  5.54512E-09  7.83105E-10  7.25625E-18  9.31511E-19
  3.250E-04  8.04379E-12  5.54512E-09  7.83105E-10  7.86094E-18  1.00914E-18
  3.500E-04  9.32893E-12  5.54512E-09  7.83105E-10  8.46563E-18  1.08676E-18
  3.750E-04  1.07092E-11  5.54512E-09  7.83105E-10  9.07032E-18  1.16439E-18
  4.000E-04  1.21847E-11  5.54512E-09  7.83105E-10  9.67501E-18  1.24201E-18
  4.250E-04  1.37554E-11  5.54512E-09  7.83105E-10  1.02797E-17  1.31964E-18
  4.500E-04  1.54213E-11  5.54512E-09  7.83105E-10  1.08844E-17  1.39727E-18
  4.750E-04  1.71823E-11  5.54512E-09  7.83105E-10  1.14891E-17  1.47489E-18
  5.000E-04  1.90386E-11  5.54512E-09  7.83105E-10  1.20938E-17  1.55252E-18
  5.250E-04  2.09900E-11  5.54512E-09  7.83105E-10  1.26984E-17  1.63014E-18
  5.500E-04  2.30367E-11  5.54512E-09  7.83105E-10  1.33031E-17  1.70777E-18
  5.750E-04  2.51785E-11  5.54512E-09  7.83105E-10  1.39078E-17  1.78540E-18
  6.000E-04  2.74156E-11  5.54512E-09  7.83105E-10  1.45125E-17  1.86302E-18
  6.250E-04  2.97478E-11  5.54512E-09  7.83105E-10  1.51172E-17  1.94065E-18
  6.500E-04  3.21752E-11  5.54512E-09  7.83105E-10  1.57219E-17  2.01827E-18
  6.750E-04  3.46979E-11  5.54512E-09  7.83105E-10  1.63266E-17  2.09590E-18
  7.000E-04  3.73157E-11  5.54512E-09  7.83105E-10  1.69313E-17  2.17353E-18
  7.250E-04  4.00286E-11  5.54512E-09  7.83105E-10  1.75359E-17  2.25115E-18
  7.500E-04  4.28368E-11  5.54512E-09  7.83105E-10  1.81406E-17  2.32878E-18
  7.750E-04  4.57402E-11  5.54512E-09  7.83105E-10  1.87453E-17  2.40640E-18
  8.000E-04  4.87388E-11  5.54512E-09  7.83105E-10  1.93500E-17  2.48403E-18
  8.250E-04  5.18325E-11  5.54512E-09  7.83105E-10  1.99547E-17  2.56166E-18
  8.500E-04  5.50215E-11  5.54512E-09  7.83105E-10  2.05594E-17  2.63928E-18
  8.750E-04  5.83057E-11  5.54512E-09  7.83105E-10  2.11641E-17  2.71691E-18
  9.000E-04  6.16850E-11  5.54512E-09  7.83105E-10  2.17688E-17  2.79453E-18
  9.250E-04  6.51595E-11  5.54512E-09  7.83105E-10  2.23734E-17  2.87216E-18
  9.500E-04  6.87293E-11  5.54512E-09  7.83105E-10  2.29781E-17  2.94978E-18
  9.750E-04  7.23943E-11  5.54512E-09  7.83105E-10  2.35828E-17  3.02741E-18
  1.000E-03  7.61544E-11  5.54512E-09  7.83105E-10  2.41875E-17  3.10504E-18
  1.250E-03  1.18991E-10  5.54512E-09  7.83105E-10  3.02344E-17  3.88130E-18
  1.500E-03  1.71347E-10  5.54512E-09  7.83105E-10  3.62813E-17  4.65756E-18
  1.750E-03  2.33223E-10  5.54512E-09  7.83105E-10  4.23281E-17  5.43381E-18
  2.000E-03  3.04617E-10  5.54512E-09  7.83105E-10  4.83750E-17  6.21007E-18
  2.250E-03  3.85531E-10  5.54512E-09  7.83105E-10  5.44219E-17  6.98633E-18
  2.500E-03  4.75965E-10  5.54512E-09  7.83105E-10  6.04688E-17  7.76259E-18
  2.750E-03  5.75917E-10  5.54512E-09  7.83105E-10  6.65157E-17  8.53885E-18
  3.000E-03  6.85389E-10  5.54512E-09  7.83105E-10  7.25625E-17  9.31511E-18
  3.250E-03  8.04380E-10  5.54512E-09  7.83105E-10  7.86094E-17  1.00914E-17
  3.500E-03  9.32891E-10  5.54512E-09  7.83105E-10  8.46563E-17  1.08676E-17
  3.750E-03  1.07092E-09  5.54512E-09  7.83105E-10  9.07032E-17  1.16439E-17
  4.000E-03  1.21847E-09  5.54512E-09  7.83105E-10  9.67500E-17  1.24201E-17
  4.250E-03  1.37554E-09  5.54512E-09  7.83105E-10  1.02797E-16  1.31964E-17
  4.500E-03  1.54213E-09  5.54512E-09  7.83105E-10  1.08844E-16  1.39727E-17
  4.750E-03  1.71823E-09  5.54512E-09  7.83105E-10  1.14891E-16  1.47489E-17
  5.000E-03  1.90386E-09  5.54512E-09  7.83105E-10  1.20938E-16  1.55252E-17
  5.250E-03  2.09900E-09  5.54512E-09  7.83105E-10  1.26984E-16  1.63014E-17
  5.500E-03  2.30367E-09  5.54512E-09  7.83105E-10  1.33031E-16  1.70777E-17
  5.750E-03  2.51785E-09  5.54512E-09  7.83105E-10  1.39078E-16  1.78540E-17
  6.000E-03  2.74156E-09  5.54512E-09  7.83105E-10  1.45125E-16  1.86302E-17
  6.250E-03  2.97478E-09  5.54512E-09  7.83105E-10  1.51172E-16  1.94065E-17
  6.500E-03  3.21752E-09  5.54512E-09  7.83105E-10  1.57219E-16  2.01827E-17
  6.750E-03  3.46978E-09  5.54512E-09  7.83105E-10  1.63266E-16  2.09590E-17
  7.000E-03  3.73156E-09  5.54512E-09  7.83105E-10  1.69313E-16  2.17353E-17
  7.250E-03  4.00286E-09  5.54512E-09  7.83105E-10  1.75359E-16  2.25115E-17
  7.500E-03  4.28368E-09  5.54512E-09  7.83105E-10  1.81406E-16  2.32878E-17
  7.750E-03  4.57402E-09  5.54512E-09  7.83105E-10  1.87453E-16  2.40640E-17
  8.000E-03  4.87388E-09  5.54512E-09  7.83105E-10  1.93500E-16  2.48403E-17
  8.250E-03  5.18326E-09  5.54512E-09  7.83105E-10  1.99547E-16  2.56166E-17
  8.500E-03  5.50215E-09  5.54512E-09  7.83105E-10  2.05594E-16  2.63928E-17
  8.750E-03  5.83057E-09  5.54512E-09  7.83105E-10  2.11641E-16  2.71691E-17
  9.000E-03  6.16850E-09  5.54512E-09  7.83105E-10  2.17688E-16  2.79453E-17
  9.250E-03  6.51596E-09  5.54512E-09  7.83105E-10  2.23734E-16  2.87216E-17
  9.500E-03  6.87293E-09  5.54512E-09  7.83105E-10  2.29781E-16  2.94978E-17
  9.750E-03  7.23942E-09  5.54512E-09  7.83105E-10  2.35828E-16  3.02741E-17
  1.000E-02  7.61544E-09  5.54512E-09  7.83105E-10  2.41875E-16  3.10504E-17
  1.250E-02  1.18991E-08  5.54512E-09  7.83105E-10  3.02344E-16  3.88130E-17
  1.500E-02  1.71347E-08  5.54512E-09  7.83105E-10  3.62813E-16  4.65755E-17
  1.750E-02  2.33223E-08  5.54511E-09  7.83105E-10  4.23281E-16  5.43381E-17
  2.000E-02  3.04617E-08  5.54511E-09  7.83105E-10  4.83750E-16  6.21007E-17
  2.250E-02  3.85531E-08  5.54511E-09  7.83105E-10  5.44218E-16  6.98633E-17
  2.500E-02  4.75965E-08  5.54511E-09  7.83105E-10  6.04687E-16  7.76259E-17
  2.750E-02  5.75917E-08  5.54511E-09  7.83105E-10  6.65156E-16  8.53885E-17
  3.000E-02  6.85389E-08  5.54511E-09  7.83104E-10  7.25624E-16  9.31511E-17
  3.250E-02  8.04380E-08  5.54511E-09  7.83104E-10  7.86092E-16  1.00914E-16
  3.500E-02  9.32891E-08  5.54510E-09  7.83104E-10  8.46561E-16  1.08676E-16
  3.750E-02  1.07092E-07  5.54510E-09  7.83104E-10  9.07029E-16  1.16439E-16
