

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.60000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      4.77388788E-01      0.00000000E+00
       1      2.51056670E-01      2.51155338E-01
       2      1.49324673E-01      1.49367952E-01
       3      9.25613863E-02      9.25853327E-02
       4      5.84785638E-02      5.84928868E-02
       5      3.73234742E-02      3.73323488E-02
       6      2.39613778E-02      2.39669790E-02
       7      1.54367138E-02      1.54402862E-02
       8      9.96548360E-03      9.96777622E-03
       9      6.44109498E-03      6.44257178E-03
      10      4.16574408E-03      4.16669749E-03
      11      2.69485790E-03      2.69547421E-03
      12      1.74334515E-03      1.74374381E-03
      13      1.12762659E-03      1.12788454E-03
      14      7.29182651E-04      7.29349551E-04
      15      4.71376259E-04      4.71484234E-04
      16      3.04608531E-04      3.04678367E-04
      17      1.96765872E-04      1.96811025E-04
      18      1.27053466E-04      1.27082649E-04
      19      8.20071199E-05      8.20259743E-05
      20      5.29110755E-05      5.29232518E-05
      21      3.41251750E-05      3.41330354E-05
      22      2.20009158E-05      2.20059880E-05
      23      1.41791150E-05      1.41823868E-05
      24      9.13493093E-06      9.13704055E-06
      25      5.88321352E-06      5.88457329E-06
      26      3.78776132E-06      3.78863746E-06
      27      2.43789309E-06      2.43845741E-06
      28      1.56861370E-06      1.56897706E-06
      29      1.00900137E-06      1.00923527E-06
      30      6.48853844E-07      6.49004355E-07
      31      4.17143998E-07      4.17240820E-07
      32      2.68110444E-07      2.68172711E-07
      33      1.72279788E-07      1.72319823E-07
      34      1.10675630E-07      1.10701362E-07
      35      7.10837335E-08      7.11002672E-08
      36      4.56449884E-08      4.56556113E-08
      37      2.93038431E-08      2.93106647E-08
      38      1.88090430E-08      1.88134251E-08
      39      1.20704114E-08      1.20732240E-08
      40      7.74456643E-09      7.74637524E-09
      41      4.96812586E-09      4.96928555E-09
      42      3.18641936E-09      3.18716501E-09
      43      2.04336206E-09      2.04384167E-09
      44      1.31011832E-09      1.31041968E-09
      45      8.39876641E-10      8.40073357E-10
      46      5.38314834E-10      5.38437607E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.11855E-17  0.000E+00  5.533E-09  7.590E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.11855E-17 -1.081E-11  5.533E-09  7.590E-10  2.546E-18  3.187E-19  1.00E-07
  1.250E-04 3.11855E-17 -1.351E-11  5.533E-09  7.590E-10  3.182E-18  3.984E-19  1.00E-07
  1.500E-04 3.11855E-17 -1.621E-11  5.533E-09  7.590E-10  3.818E-18  4.781E-19  1.00E-07
  1.750E-04 3.11855E-17 -1.891E-11  5.533E-09  7.590E-10  4.455E-18  5.578E-19  1.00E-07
  2.000E-04 3.11855E-17 -2.161E-11  5.533E-09  7.590E-10  5.091E-18  6.375E-19  1.00E-07
  2.250E-04 3.11855E-17 -2.432E-11  5.533E-09  7.590E-10  5.727E-18  7.172E-19  1.00E-07
  2.500E-04 3.11855E-17 -2.702E-11  5.533E-09  7.590E-10  6.364E-18  7.969E-19  1.00E-07
  2.750E-04 3.11855E-17 -2.972E-11  5.533E-09  7.590E-10  7.000E-18  8.766E-19  1.00E-07
  3.000E-04 3.11855E-17 -3.242E-11  5.533E-09  7.590E-10  7.637E-18  9.562E-19  1.00E-07
  3.250E-04 3.11855E-17 -3.512E-11  5.533E-09  7.590E-10  8.273E-18  1.036E-18  1.00E-07
  3.500E-04 3.11855E-17 -3.782E-11  5.533E-09  7.590E-10  8.909E-18  1.116E-18  1.00E-07
  3.750E-04 3.11855E-17 -4.053E-11  5.533E-09  7.590E-10  9.546E-18  1.195E-18  1.00E-07
  4.000E-04 3.11855E-17 -4.323E-11  5.533E-09  7.590E-10  1.018E-17  1.275E-18  1.00E-07
  4.250E-04 3.11855E-17 -4.593E-11  5.533E-09  7.590E-10  1.082E-17  1.355E-18  1.00E-07
  4.500E-04 3.11855E-17 -4.863E-11  5.533E-09  7.590E-10  1.145E-17  1.434E-18  1.00E-07
  4.750E-04 3.11855E-17 -5.133E-11  5.533E-09  7.590E-10  1.209E-17  1.514E-18  1.00E-07
  5.000E-04 3.11855E-17 -5.403E-11  5.533E-09  7.590E-10  1.273E-17  1.594E-18  1.00E-07
  5.250E-04 3.11855E-17 -5.674E-11  5.533E-09  7.590E-10  1.336E-17  1.673E-18  1.00E-07
