

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.74000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      4.69944110E-01      0.00000000E+00
       1      2.49372903E-01      2.49474074E-01
       2      1.49772547E-01      1.49817296E-01
       3      9.37816379E-02      9.38066156E-02
       4      5.98649717E-02      5.98800516E-02
       5      3.86114375E-02      3.86208724E-02
       6      2.50528761E-02      2.50588910E-02
       7      1.63139036E-02      1.63177795E-02
       8      1.06462871E-02      1.06488007E-02
       9      6.95650623E-03      6.95814261E-03
      10      4.54869304E-03      4.54976088E-03
      11      2.97522425E-03      2.97592205E-03
      12      1.94617044E-03      1.94662678E-03
      13      1.27290886E-03      1.27320740E-03
      14      8.32378768E-04      8.32574086E-04
      15      5.44152767E-04      5.44280542E-04
      16      3.55612834E-04      3.55696405E-04
      17      2.32316130E-04      2.32370773E-04
      18      1.51712310E-04      1.51748028E-04
      19      9.90375269E-05      9.90608645E-05
      20      6.46274246E-05      6.46426677E-05
      21      4.21574523E-05      4.21674046E-05
      22      2.74900680E-05      2.74965634E-05
      23      1.79194825E-05      1.79237202E-05
      24      1.16769115E-05      1.16796752E-05
      25      7.60656024E-06      7.60836201E-06
      26      4.95349170E-06      4.95466595E-06
      27      3.22479695E-06      3.22556197E-06
      28      2.09877585E-06      2.09927410E-06
      29      1.36554899E-06      1.36587339E-06
      30      8.88240732E-07      8.88451885E-07
      31      5.77618124E-07      5.77755525E-07
      32      3.75527646E-07      3.75617026E-07
      33      2.44083285E-07      2.44141411E-07
      34      1.58611016E-07      1.58648812E-07
      35      1.03046075E-07      1.03070647E-07
      36      6.69323448E-08      6.69483091E-08
      37      4.34660305E-08      4.34764026E-08
      38      2.82213343E-08      2.82280743E-08
      39      1.83198129E-08      1.83241916E-08
      40      1.18899972E-08      1.18928426E-08
      41      7.71551389E-09      7.71735688E-09
      42      5.00581476E-09      5.00701295E-09
      43      3.24717828E-09      3.24796015E-09
      44      2.10600149E-09      2.10650361E-09
      45      1.36567991E-09      1.36600469E-09
      46      8.85481417E-10      8.85691212E-10
      47      5.74038280E-10      5.74176400E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.10274E-17  0.000E+00  5.521E-09  7.369E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.10274E-17 -1.063E-11  5.521E-09  7.369E-10  2.672E-18  3.268E-19  1.00E-07
  1.250E-04 3.10274E-17 -1.329E-11  5.521E-09  7.369E-10  3.340E-18  4.085E-19  1.00E-07
  1.500E-04 3.10274E-17 -1.595E-11  5.521E-09  7.369E-10  4.009E-18  4.902E-19  1.00E-07
  1.750E-04 3.10274E-17 -1.861E-11  5.521E-09  7.369E-10  4.677E-18  5.719E-19  1.00E-07
  2.000E-04 3.10274E-17 -2.127E-11  5.521E-09  7.369E-10  5.345E-18  6.536E-19  1.00E-07
  2.250E-04 3.10274E-17 -2.393E-11  5.521E-09  7.369E-10  6.013E-18  7.353E-19  1.00E-07
  2.500E-04 3.10274E-17 -2.659E-11  5.521E-09  7.369E-10  6.681E-18  8.170E-19  1.00E-07
  2.750E-04 3.10274E-17 -2.924E-11  5.521E-09  7.369E-10  7.349E-18  8.987E-19  1.00E-07
  3.000E-04 3.10274E-17 -3.190E-11  5.521E-09  7.369E-10  8.017E-18  9.804E-19  1.00E-07
  3.250E-04 3.10274E-17 -3.456E-11  5.521E-09  7.369E-10  8.685E-18  1.062E-18  1.00E-07
  3.500E-04 3.10274E-17 -3.722E-11  5.521E-09  7.369E-10  9.353E-18  1.144E-18  1.00E-07
  3.750E-04 3.10274E-17 -3.988E-11  5.521E-09  7.369E-10  1.002E-17  1.225E-18  1.00E-07
  4.000E-04 3.10274E-17 -4.254E-11  5.521E-09  7.369E-10  1.069E-17  1.307E-18  1.00E-07
  4.250E-04 3.10274E-17 -4.520E-11  5.521E-09  7.369E-10  1.136E-17  1.389E-18  1.00E-07
  4.500E-04 3.10274E-17 -4.785E-11  5.521E-09  7.369E-10  1.203E-17  1.471E-18  1.00E-07
  4.750E-04 3.10274E-17 -5.051E-11  5.521E-09  7.369E-10  1.269E-17  1.552E-18  1.00E-07
  5.000E-04 3.10274E-17 -5.317E-11  5.521E-09  7.369E-10  1.336E-17  1.634E-18  1.00E-07
  5.250E-04 3.10274E-17 -5.583E-11  5.521E-09  7.369E-10  1.403E-17  1.716E-18  1.00E-07
