

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.76235250E-01      0.00000000E+00
       1      2.71112347E-01      2.71155642E-01
       2      9.95863834E-02      9.95984489E-02
       3      3.75651359E-02      3.75693549E-02
       4      1.43424670E-02      1.43440389E-02
       5      5.49884477E-03      5.49944325E-03
       6      2.10880156E-03      2.10903100E-03
       7      8.07541262E-04      8.07629312E-04
       8      3.08585235E-04      3.08618981E-04
       9      1.17653084E-04      1.17665990E-04
      10      4.47590656E-05      4.47639898E-05
      11      1.69932407E-05      1.69951153E-05
      12      6.43970926E-06      6.44042139E-06
      13      2.43627606E-06      2.43654607E-06
      14      9.20292704E-07      9.20394904E-07
      15      3.47157431E-07      3.47196053E-07
      16      1.30792375E-07      1.30806950E-07
      17      4.92199861E-08      4.92254732E-08
      18      1.85031862E-08      1.85052580E-08
      19      6.94921020E-09      6.94998794E-09
      20      2.60757136E-09      2.60786077E-09
      21      9.77600069E-10      9.77712262E-10
      22      3.66236039E-10      3.66277285E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.37377E-17  0.000E+00  6.265E-09  2.119E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.37377E-17 -1.751E-11  6.265E-09  2.119E-09  6.363E-19  1.541E-19  1.00E-07
  1.250E-04 4.37377E-17 -2.188E-11  6.265E-09  2.119E-09  7.953E-19  1.926E-19  1.00E-07
  1.500E-04 4.37377E-17 -2.626E-11  6.265E-09  2.119E-09  9.544E-19  2.311E-19  1.00E-07
  1.750E-04 4.37377E-17 -3.064E-11  6.265E-09  2.119E-09  1.113E-18  2.696E-19  1.00E-07
  2.000E-04 4.37377E-17 -3.501E-11  6.265E-09  2.119E-09  1.273E-18  3.082E-19  1.00E-07
  2.250E-04 4.37377E-17 -3.939E-11  6.265E-09  2.119E-09  1.432E-18  3.467E-19  1.00E-07
  2.500E-04 4.37377E-17 -4.377E-11  6.265E-09  2.119E-09  1.591E-18  3.852E-19  1.00E-07
  2.750E-04 4.37377E-17 -4.814E-11  6.265E-09  2.119E-09  1.750E-18  4.237E-19  1.00E-07
  3.000E-04 4.37377E-17 -5.252E-11  6.265E-09  2.119E-09  1.909E-18  4.622E-19  1.00E-07
