

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.40000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.58600884E-01      0.00000000E+00
       1      2.71878345E-01      2.71923438E-01
       2      1.03112102E-01      1.03125067E-01
       3      4.01754940E-02      4.01801672E-02
       4      1.58488795E-02      1.58506754E-02
       5      6.28100782E-03      6.28171383E-03
       6      2.49088650E-03      2.49116618E-03
       7      9.86703508E-04      9.86814481E-04
       8      3.90129375E-04      3.90173369E-04
       9      1.53931510E-04      1.53948919E-04
      10      6.06113828E-05      6.06182569E-05
      11      2.38200149E-05      2.38227235E-05
      12      9.34454703E-06      9.34561216E-06
      13      3.65991564E-06      3.66033372E-06
      14      1.43134530E-06      1.43150913E-06
      15      5.59031342E-07      5.59095440E-07
      16      2.18071046E-07      2.18096094E-07
      17      8.49719579E-08      8.49817316E-08
      18      3.30756945E-08      3.30795046E-08
      19      1.28627776E-08      1.28642614E-08
      20      4.99788309E-09      4.99845796E-09
      21      1.94036768E-09      1.94059088E-09
      22      7.52724023E-10      7.52812525E-10
      23      2.91793272E-10      2.91824697E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.26345E-17  0.000E+00  6.213E-09  2.010E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.26345E-17 -1.714E-11  6.213E-09  2.010E-09  6.731E-19  1.589E-19  1.00E-07
  1.250E-04 4.26345E-17 -2.143E-11  6.213E-09  2.010E-09  8.414E-19  1.987E-19  1.00E-07
  1.500E-04 4.26345E-17 -2.571E-11  6.213E-09  2.010E-09  1.010E-18  2.384E-19  1.00E-07
  1.750E-04 4.26345E-17 -3.000E-11  6.213E-09  2.010E-09  1.178E-18  2.781E-19  1.00E-07
  2.000E-04 4.26345E-17 -3.429E-11  6.213E-09  2.010E-09  1.346E-18  3.179E-19  1.00E-07
  2.250E-04 4.26345E-17 -3.857E-11  6.213E-09  2.010E-09  1.515E-18  3.576E-19  1.00E-07
  2.500E-04 4.26345E-17 -4.286E-11  6.213E-09  2.010E-09  1.683E-18  3.974E-19  1.00E-07
  2.750E-04 4.26345E-17 -4.714E-11  6.213E-09  2.010E-09  1.851E-18  4.371E-19  1.00E-07
  3.000E-04 4.26345E-17 -5.143E-11  6.213E-09  2.010E-09  2.019E-18  4.768E-19  1.00E-07
  3.250E-04 4.26345E-17 -5.571E-11  6.213E-09  2.010E-09  2.188E-18  5.166E-19  1.00E-07
