

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.80000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.42644811E-01      0.00000000E+00
       1      2.72423301E-01      2.72470117E-01
       2      1.06328331E-01      1.06342174E-01
       3      4.26548109E-02      4.26599389E-02
       4      1.73296771E-02      1.73317037E-02
       5      7.07564528E-03      7.07646516E-03
       6      2.89195881E-03      2.89229332E-03
       7      1.18101677E-03      1.18115354E-03
       8      4.81513893E-04      4.81569788E-04
       9      1.95944292E-04      1.95967099E-04
      10      7.95828177E-05      7.95921058E-05
      11      3.22632953E-05      3.22670704E-05
      12      1.30574541E-05      1.30589855E-05
      13      5.27630738E-06      5.27692753E-06
      14      2.12903349E-06      2.12928423E-06
      15      8.57965745E-07      8.58066967E-07
      16      3.45335597E-07      3.45376404E-07
      17      1.38848237E-07      1.38864673E-07
      18      5.57706389E-08      5.57772484E-08
      19      2.23805554E-08      2.23832125E-08
      20      8.97363130E-09      8.97469510E-09
      21      3.59521871E-09      3.59564737E-09
      22      1.43932707E-09      1.43950046E-09
      23      5.75795798E-10      5.75866098E-10
      24      2.30193334E-10      2.30218564E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.16747E-17  0.000E+00  6.165E-09  1.914E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.16747E-17 -1.681E-11  6.165E-09  1.914E-09  7.099E-19  1.636E-19  1.00E-07
  1.250E-04 4.16747E-17 -2.101E-11  6.165E-09  1.914E-09  8.874E-19  2.045E-19  1.00E-07
  1.500E-04 4.16747E-17 -2.521E-11  6.165E-09  1.914E-09  1.065E-18  2.455E-19  1.00E-07
  1.750E-04 4.16747E-17 -2.942E-11  6.165E-09  1.914E-09  1.242E-18  2.864E-19  1.00E-07
  2.000E-04 4.16747E-17 -3.362E-11  6.165E-09  1.914E-09  1.420E-18  3.273E-19  1.00E-07
  2.250E-04 4.16747E-17 -3.782E-11  6.165E-09  1.914E-09  1.597E-18  3.682E-19  1.00E-07
  2.500E-04 4.16747E-17 -4.202E-11  6.165E-09  1.914E-09  1.775E-18  4.091E-19  1.00E-07
  2.750E-04 4.16747E-17 -4.623E-11  6.165E-09  1.914E-09  1.952E-18  4.500E-19  1.00E-07
  3.000E-04 4.16747E-17 -5.043E-11  6.165E-09  1.914E-09  2.130E-18  4.909E-19  1.00E-07
  3.250E-04 4.16747E-17 -5.463E-11  6.165E-09  1.914E-09  2.307E-18  5.318E-19  1.00E-07
