

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 6.60000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.14762626E-01      0.00000000E+00
       1      2.73008096E-01      2.73058167E-01
       2      1.11974547E-01      1.11990084E-01
       3      4.72493289E-02      4.72553642E-02
       4      2.02014321E-02      2.02039355E-02
       5      8.68530531E-03      8.68636977E-03
       6      3.74026821E-03      3.74072521E-03
       7      1.61021466E-03      1.61041147E-03
       8      6.92358504E-04      6.92443285E-04
       9      2.97224188E-04      2.97260669E-04
      10      1.27380167E-04      1.27395841E-04
      11      5.45003745E-05      5.45070964E-05
      12      2.32818409E-05      2.32847188E-05
      13      9.93125516E-06      9.93248536E-06
      14      4.23067635E-06      4.23120140E-06
      15      1.80003828E-06      1.80026207E-06
      16      7.65003863E-07      7.65099129E-07
      17      3.24784258E-07      3.24824759E-07
      18      1.37756301E-07      1.37773508E-07
      19      5.83774515E-08      5.83847481E-08
      20      2.47185797E-08      2.47216734E-08
      21      1.04585871E-08      1.04599006E-08
      22      4.42198734E-09      4.42254540E-09
      23      1.86843340E-09      1.86866669E-09
      24      7.88942311E-10      7.89042424E-10
      25      3.32929236E-10      3.32965932E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.00873E-17  0.000E+00  6.083E-09  1.755E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.00873E-17 -1.622E-11  6.083E-09  1.755E-09  7.834E-19  1.726E-19  1.00E-07
  1.250E-04 4.00873E-17 -2.027E-11  6.083E-09  1.755E-09  9.792E-19  2.157E-19  1.00E-07
  1.500E-04 4.00873E-17 -2.432E-11  6.083E-09  1.755E-09  1.175E-18  2.589E-19  1.00E-07
  1.750E-04 4.00873E-17 -2.838E-11  6.083E-09  1.755E-09  1.371E-18  3.020E-19  1.00E-07
  2.000E-04 4.00873E-17 -3.243E-11  6.083E-09  1.755E-09  1.567E-18  3.452E-19  1.00E-07
  2.250E-04 4.00873E-17 -3.649E-11  6.083E-09  1.755E-09  1.763E-18  3.883E-19  1.00E-07
  2.500E-04 4.00873E-17 -4.054E-11  6.083E-09  1.755E-09  1.958E-18  4.314E-19  1.00E-07
  2.750E-04 4.00873E-17 -4.459E-11  6.083E-09  1.755E-09  2.154E-18  4.746E-19  1.00E-07
  3.000E-04 4.00873E-17 -4.865E-11  6.083E-09  1.755E-09  2.350E-18  5.177E-19  1.00E-07
  3.250E-04 4.00873E-17 -5.270E-11  6.083E-09  1.755E-09  2.546E-18  5.609E-19  1.00E-07
