

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 7.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.02459529E-01      0.00000000E+00
       1      2.73105868E-01      2.73157484E-01
       2      1.14462398E-01      1.14478753E-01
       3      4.93787294E-02      4.93852156E-02
       4      2.15884093E-02      2.15911574E-02
       5      9.49354069E-03      9.49473485E-03
       6      4.18276043E-03      4.18328464E-03
       7      1.84272085E-03      1.84295179E-03
       8      8.10964064E-04      8.11065857E-04
       9      3.56378024E-04      3.56422854E-04
      10      1.56362171E-04      1.56381887E-04
      11      6.84965155E-05      6.85051721E-05
      12      2.99608008E-05      2.99645956E-05
      13      1.30866808E-05      1.30883417E-05
      14      5.70876683E-06      5.70949274E-06
      15      2.48734504E-06      2.48766187E-06
      16      1.08255990E-06      1.08269801E-06
      17      4.70682077E-07      4.70742215E-07
      18      2.04454763E-07      2.04480918E-07
      19      8.87343069E-08      8.87456739E-08
      20      3.84802757E-08      3.84852103E-08
      21      1.66747912E-08      1.66769320E-08
      22      7.22075207E-09      7.22168472E-09
      23      3.12482463E-09      3.12522504E-09
      24      1.35146130E-09      1.35163992E-09
      25      5.84123574E-10      5.84196918E-10
      26      2.52303807E-10      2.52333246E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.94237E-17  0.000E+00  6.048E-09  1.688E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.94237E-17 -1.595E-11  6.048E-09  1.688E-09  8.200E-19  1.769E-19  1.00E-07
  1.250E-04 3.94237E-17 -1.994E-11  6.048E-09  1.688E-09  1.025E-18  2.211E-19  1.00E-07
  1.500E-04 3.94237E-17 -2.393E-11  6.048E-09  1.688E-09  1.230E-18  2.653E-19  1.00E-07
  1.750E-04 3.94237E-17 -2.791E-11  6.048E-09  1.688E-09  1.435E-18  3.095E-19  1.00E-07
  2.000E-04 3.94237E-17 -3.190E-11  6.048E-09  1.688E-09  1.640E-18  3.537E-19  1.00E-07
  2.250E-04 3.94237E-17 -3.589E-11  6.048E-09  1.688E-09  1.845E-18  3.979E-19  1.00E-07
  2.500E-04 3.94237E-17 -3.988E-11  6.048E-09  1.688E-09  2.050E-18  4.422E-19  1.00E-07
  2.750E-04 3.94237E-17 -4.386E-11  6.048E-09  1.688E-09  2.255E-18  4.864E-19  1.00E-07
  3.000E-04 3.94237E-17 -4.785E-11  6.048E-09  1.688E-09  2.460E-18  5.306E-19  1.00E-07
  3.250E-04 3.94237E-17 -5.184E-11  6.048E-09  1.688E-09  2.665E-18  5.748E-19  1.00E-07
  3.500E-04 3.94237E-17 -5.583E-11  6.048E-09  1.688E-09  2.870E-18  6.190E-19  1.00E-07
