

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 7.60000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      6.85656403E-01      0.00000000E+00
       1      2.73068572E-01      2.73122414E-01
       2      1.17840734E-01      1.17858283E-01
       3      5.23818742E-02      5.23890322E-02
       4      2.36048868E-02      2.36080077E-02
       5      1.07027541E-02      1.07041508E-02
       6      4.86368823E-03      4.86432010E-03
       7      2.21070363E-03      2.21099067E-03
       8      1.00403671E-03      1.00416723E-03
       9      4.55429671E-04      4.55488987E-04
      10      2.06286363E-04      2.06313289E-04
      11      9.33010970E-05      9.33133021E-05
      12      4.21396565E-05      4.21451806E-05
      13      1.90071939E-05      1.90096906E-05
      14      8.56263166E-06      8.56375847E-06
      15      3.85299467E-06      3.85350257E-06
      16      1.73192536E-06      1.73215402E-06
      17      7.77740192E-07      7.77843031E-07
      18      3.48936541E-07      3.48982736E-07
      19      1.56420532E-07      1.56441266E-07
      20      7.00652841E-08      7.00745814E-08
      21      3.13615585E-08      3.13657237E-08
      22      1.40280654E-08      1.40299321E-08
      23      6.27079202E-09      6.27162562E-09
      24      2.80152032E-09      2.80189573E-09
      25      1.25091242E-09      1.25107888E-09
      26      5.58218674E-10      5.58296885E-10
      27      2.48949884E-10      2.48981734E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.85542E-17  0.000E+00  6.000E-09  1.599E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.85542E-17 -1.558E-11  6.000E-09  1.599E-09  8.749E-19  1.831E-19  1.00E-07
  1.250E-04 3.85542E-17 -1.948E-11  6.000E-09  1.599E-09  1.094E-18  2.289E-19  1.00E-07
  1.500E-04 3.85542E-17 -2.337E-11  6.000E-09  1.599E-09  1.312E-18  2.746E-19  1.00E-07
  1.750E-04 3.85542E-17 -2.727E-11  6.000E-09  1.599E-09  1.531E-18  3.204E-19  1.00E-07
  2.000E-04 3.85542E-17 -3.117E-11  6.000E-09  1.599E-09  1.750E-18  3.662E-19  1.00E-07
  2.250E-04 3.85542E-17 -3.506E-11  6.000E-09  1.599E-09  1.969E-18  4.119E-19  1.00E-07
  2.500E-04 3.85542E-17 -3.896E-11  6.000E-09  1.599E-09  2.187E-18  4.577E-19  1.00E-07
  2.750E-04 3.85542E-17 -4.285E-11  6.000E-09  1.599E-09  2.406E-18  5.035E-19  1.00E-07
  3.000E-04 3.85542E-17 -4.675E-11  6.000E-09  1.599E-09  2.625E-18  5.492E-19  1.00E-07
  3.250E-04 3.85542E-17 -5.065E-11  6.000E-09  1.599E-09  2.843E-18  5.950E-19  1.00E-07
  3.500E-04 3.85542E-17 -5.454E-11  6.000E-09  1.599E-09  3.062E-18  6.408E-19  1.00E-07
