

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 8.20000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      6.70520695E-01      0.00000000E+00
       1      2.72856305E-01      2.72912275E-01
       2      1.20850971E-01      1.20869676E-01
       3      5.51743719E-02      5.51821949E-02
       4      2.55436919E-02      2.55471912E-02
       5      1.19022745E-02      1.19038822E-02
       6      5.56010626E-03      5.56085335E-03
       7      2.59865463E-03      2.59900341E-03
       8      1.21385389E-03      1.21401694E-03
       9      5.66389454E-04      5.66465662E-04
      10      2.63938396E-04      2.63973980E-04
      11      1.22830085E-04      1.22846679E-04
      12      5.70863726E-05      5.70941009E-05
      13      2.64979809E-05      2.65015751E-05
      14      1.22851228E-05      1.22867922E-05
      15      5.68941943E-06      5.69019384E-06
      16      2.63216169E-06      2.63252052E-06
      17      1.21659412E-06      1.21676021E-06
      18      5.61820199E-07      5.61897001E-07
      19      2.59235675E-07      2.59271155E-07
      20      1.19526088E-07      1.19542462E-07
      21      5.50711539E-08      5.50787053E-08
      22      2.53571044E-08      2.53605853E-08
      23      1.16682622E-08      1.16698652E-08
      24      5.36610590E-09      5.36684324E-09
      25      2.46649434E-09      2.46683336E-09
      26      1.13312716E-09      1.13328231E-09
      27      5.20301137E-10      5.20372970E-10
      28      2.38759130E-10      2.38794688E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.78076E-17  0.000E+00  5.958E-09  1.522E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.78076E-17 -1.525E-11  5.958E-09  1.522E-09  9.297E-19  1.891E-19  1.00E-07
  1.250E-04 3.78076E-17 -1.906E-11  5.958E-09  1.522E-09  1.162E-18  2.363E-19  1.00E-07
  1.500E-04 3.78076E-17 -2.287E-11  5.958E-09  1.522E-09  1.395E-18  2.836E-19  1.00E-07
  1.750E-04 3.78076E-17 -2.669E-11  5.958E-09  1.522E-09  1.627E-18  3.309E-19  1.00E-07
  2.000E-04 3.78076E-17 -3.050E-11  5.958E-09  1.522E-09  1.859E-18  3.782E-19  1.00E-07
  2.250E-04 3.78076E-17 -3.431E-11  5.958E-09  1.522E-09  2.092E-18  4.254E-19  1.00E-07
  2.500E-04 3.78076E-17 -3.812E-11  5.958E-09  1.522E-09  2.324E-18  4.727E-19  1.00E-07
  2.750E-04 3.78076E-17 -4.194E-11  5.958E-09  1.522E-09  2.557E-18  5.200E-19  1.00E-07
  3.000E-04 3.78076E-17 -4.575E-11  5.958E-09  1.522E-09  2.789E-18  5.672E-19  1.00E-07
  3.250E-04 3.78076E-17 -4.956E-11  5.958E-09  1.522E-09  3.022E-18  6.145E-19  1.00E-07
  3.500E-04 3.78076E-17 -5.337E-11  5.958E-09  1.522E-09  3.254E-18  6.618E-19  1.00E-07
