

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 9.40000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      6.44206429E-01      0.00000000E+00
       1      2.72054127E-01      2.72114103E-01
       2      1.25966098E-01      1.25987013E-01
       3      6.02016874E-02      6.02108168E-02
       4      2.91912467E-02      2.91955134E-02
       5      1.42531558E-02      1.42552060E-02
       6      6.98061002E-03      6.98160752E-03
       7      3.42205910E-03      3.42254708E-03
       8      1.67727298E-03      1.67751219E-03
       9      8.21464804E-04      8.21582099E-04
      10      4.01904304E-04      4.01961788E-04
      11      1.96407409E-04      1.96435553E-04
      12      9.58710238E-05      9.58847874E-05
      13      4.67438586E-05      4.67505816E-05
      14      2.27663185E-05      2.27695986E-05
      15      1.10769331E-05      1.10785316E-05
      16      5.38434741E-06      5.38512561E-06
      17      2.61493603E-06      2.61531450E-06
      18      1.26890655E-06      1.26909045E-06
      19      6.15266213E-07      6.15355493E-07
      20      2.98115013E-07      2.98158320E-07
      21      1.44348565E-07      1.44369558E-07
      22      6.98501716E-08      6.98603380E-08
      23      3.37805332E-08      3.37854562E-08
      24      1.63277217E-08      1.63301019E-08
      25      7.88779436E-09      7.88894257E-09
      26      3.80866241E-09      3.80921768E-09
      27      1.83818134E-09      1.83844781E-09
      28      8.86788052E-10      8.86915096E-10
      29      4.27598114E-10      4.27663317E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.65919E-17  0.000E+00  5.886E-09  1.394E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.65919E-17 -1.466E-11  5.886E-09  1.394E-09  1.039E-18  2.005E-19  1.00E-07
  1.250E-04 3.65919E-17 -1.833E-11  5.886E-09  1.394E-09  1.299E-18  2.506E-19  1.00E-07
  1.500E-04 3.65919E-17 -2.199E-11  5.886E-09  1.394E-09  1.559E-18  3.008E-19  1.00E-07
  1.750E-04 3.65919E-17 -2.566E-11  5.886E-09  1.394E-09  1.819E-18  3.509E-19  1.00E-07
  2.000E-04 3.65919E-17 -2.932E-11  5.886E-09  1.394E-09  2.078E-18  4.010E-19  1.00E-07
  2.250E-04 3.65919E-17 -3.299E-11  5.886E-09  1.394E-09  2.338E-18  4.511E-19  1.00E-07
  2.500E-04 3.65919E-17 -3.665E-11  5.886E-09  1.394E-09  2.598E-18  5.013E-19  1.00E-07
  2.750E-04 3.65919E-17 -4.032E-11  5.886E-09  1.394E-09  2.858E-18  5.514E-19  1.00E-07
  3.000E-04 3.65919E-17 -4.398E-11  5.886E-09  1.394E-09  3.118E-18  6.015E-19  1.00E-07
  3.250E-04 3.65919E-17 -4.765E-11  5.886E-09  1.394E-09  3.377E-18  6.516E-19  1.00E-07
  3.500E-04 3.65919E-17 -5.131E-11  5.886E-09  1.394E-09  3.637E-18  7.018E-19  1.00E-07
  3.750E-04 3.65919E-17 -5.498E-11  5.886E-09  1.394E-09  3.897E-18  7.519E-19  1.00E-07
