

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.04000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      3.82762006E-01      0.00000000E+00
       1     -1.32155047E+00     -1.31960045E+00
       2      6.69641378E-01      6.69913676E-01
       3      2.39439538E-01      2.39503745E-01
       4      9.22339857E-02      9.22548854E-02
       5      3.73929306E-02      3.74007460E-02
       6      1.56555523E-02      1.56586761E-02
       7      6.69832669E-03      6.69962310E-03
       8      2.91086653E-03      2.91141772E-03
       9      1.27977864E-03      1.28001702E-03
      10      5.67709520E-04      5.67813922E-04
      11      2.53591215E-04      2.53637386E-04
      12      1.13895424E-04      1.13915999E-04
      13      5.13734862E-05      5.13827088E-05
      14      2.32509484E-05      2.32551019E-05
      15      1.05512735E-05      1.05531510E-05
      16      4.79834775E-06      4.79919890E-06
      17      2.18581269E-06      2.18619946E-06
      18      9.97058597E-07      9.97234670E-07
      19      4.55300972E-07      4.55381247E-07
      20      2.08091649E-07      2.08128291E-07
      21      9.51735298E-08      9.51902685E-08
      22      4.35537718E-08      4.35614270E-08
      23      1.99405438E-08      1.99440449E-08
      24      9.13294318E-09      9.13454620E-09
      25      4.18424795E-09      4.18498179E-09
      26      1.91751151E-09      1.91785080E-09
      27      8.78904912E-10      8.79060118E-10
      28      4.02905000E-10      4.02977207E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.09072E-16  0.000E+00  1.017E-08  1.028E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.09072E-16  2.631E-10  1.017E-08  1.028E-08 -2.388E-18  2.901E-19  1.00E-07
  1.250E-04 2.09072E-16  3.289E-10  1.017E-08  1.028E-08 -2.985E-18  3.626E-19  1.00E-07
  1.500E-04 2.09072E-16  3.946E-10  1.017E-08  1.028E-08 -3.582E-18  4.351E-19  1.00E-07
  1.750E-04 2.09072E-16  4.604E-10  1.017E-08  1.028E-08 -4.179E-18  5.076E-19  1.00E-07
  2.000E-04 2.09072E-16  5.262E-10  1.017E-08  1.028E-08 -4.776E-18  5.801E-19  1.00E-07
  2.250E-04 2.09072E-16  5.919E-10  1.017E-08  1.028E-08 -5.373E-18  6.526E-19  1.00E-07
  2.500E-04 2.09072E-16  6.577E-10  1.017E-08  1.028E-08 -5.970E-18  7.251E-19  1.00E-07
  2.750E-04 2.09072E-16  7.235E-10  1.017E-08  1.028E-08 -6.567E-18  7.977E-19  1.00E-07
  3.000E-04 2.09072E-16  7.893E-10  1.017E-08  1.028E-08 -7.164E-18  8.702E-19  1.00E-07
  3.250E-04 2.09072E-16  8.550E-10  1.017E-08  1.028E-08 -7.761E-18  9.427E-19  1.00E-07
  3.500E-04 2.09072E-16  9.208E-10  1.017E-08  1.028E-08 -8.358E-18  1.015E-18  1.00E-07
