

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.14000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      3.19537390E-01      0.00000000E+00
       1     -1.34754844E+00     -1.34559291E+00
       2      6.89745869E-01      6.90036254E-01
       3      2.58002860E-01      2.58075459E-01
       4      1.03021465E-01      1.03045976E-01
       5      4.31673509E-02      4.31768108E-02
       6      1.86626615E-02      1.86665613E-02
       7      8.24293840E-03      8.24460766E-03
       8      3.69752600E-03      3.69825811E-03
       9      1.67803952E-03      1.67836617E-03
      10      7.68425885E-04      7.68573501E-04
      11      3.54375899E-04      3.54443269E-04
      12      1.64340645E-04      1.64371629E-04
      13      7.65499258E-05      7.65642634E-05
      14      3.57825812E-05      3.57892479E-05
      15      1.67732311E-05      1.67763430E-05
      16      7.88017482E-06      7.88163186E-06
      17      3.70882106E-06      3.70950496E-06
      18      1.74809005E-06      1.74841169E-06
      19      8.24894118E-07      8.25045624E-07
      20      3.89621278E-07      3.89692736E-07
      21      1.84170570E-07      1.84204308E-07
      22      8.71102393E-08      8.71261791E-08
      23      4.12230993E-08      4.12306385E-08
      24      1.95161832E-08      1.95197492E-08
      25      9.24269663E-09      9.24438685E-09
      26      4.37848106E-09      4.37927979E-09
      27      2.07468114E-09      2.07505783E-09
      28      9.83265325E-10      9.83439943E-10
      29      4.66045803E-10      4.66133136E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.12353E-16  0.000E+00  1.045E-08  1.015E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.12353E-16  2.888E-10  1.045E-08  1.015E-08 -2.071E-18  9.217E-19  1.00E-07
  1.250E-04 2.12353E-16  3.610E-10  1.045E-08  1.015E-08 -2.589E-18  1.152E-18  1.00E-07
  1.500E-04 2.12353E-16  4.332E-10  1.045E-08  1.015E-08 -3.107E-18  1.383E-18  1.00E-07
  1.750E-04 2.12353E-16  5.054E-10  1.045E-08  1.015E-08 -3.625E-18  1.613E-18  1.00E-07
  2.000E-04 2.12353E-16  5.776E-10  1.045E-08  1.015E-08 -4.143E-18  1.843E-18  1.00E-07
  2.250E-04 2.12353E-16  6.498E-10  1.045E-08  1.015E-08 -4.660E-18  2.074E-18  1.00E-07
  2.500E-04 2.12353E-16  7.220E-10  1.045E-08  1.015E-08 -5.178E-18  2.304E-18  1.00E-07
  2.750E-04 2.12353E-16  7.942E-10  1.045E-08  1.015E-08 -5.696E-18  2.535E-18  1.00E-07
  3.000E-04 2.12353E-16  8.664E-10  1.045E-08  1.015E-08 -6.214E-18  2.765E-18  1.00E-07
  3.250E-04 2.12353E-16  9.386E-10  1.045E-08  1.015E-08 -6.732E-18  2.995E-18  1.00E-07
  3.500E-04 2.12353E-16  1.011E-09  1.045E-08  1.015E-08 -7.250E-18  3.226E-18  1.00E-07
  3.750E-04 2.12353E-16  1.083E-09  1.045E-08  1.015E-08 -7.767E-18  3.456E-18  1.00E-07
