

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.28000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      2.39887752E-01      0.00000000E+00
       1     -1.38015659E+00     -1.37819216E+00
       2      7.12996606E-01      7.13310226E-01
       3      2.81744077E-01      2.81828276E-01
       4      1.17594579E-01      1.17624342E-01
       5      5.13004831E-02      5.13124265E-02
       6      2.30600182E-02      2.30651302E-02
       7      1.05844980E-02      1.05867696E-02
       8      4.93311003E-03      4.93414435E-03
       9      2.32603676E-03      2.32651591E-03
      10      1.10673040E-03      1.10695525E-03
      11      5.30363565E-04      5.30470140E-04
      12      2.55612873E-04      2.55663787E-04
      13      1.23759015E-04      1.23783492E-04
      14      6.01404307E-05      6.01522574E-05
      15      2.93117378E-05      2.93174755E-05
      16      1.43203677E-05      1.43231603E-05
      17      7.00980843E-06      7.01117130E-06
      18      3.43667809E-06      3.43734461E-06
      19      1.68703910E-06      1.68736564E-06
      20      8.29016151E-07      8.29176348E-07
      21      4.07727809E-07      4.07806490E-07
      22      2.00669398E-07      2.00708087E-07
      23      9.88193354E-08      9.88383659E-08
      24      4.86865457E-08      4.86959160E-08
      25      2.39964845E-08      2.40011014E-08
      26      1.18312105E-08      1.18334846E-08
      27      5.83480009E-09      5.83591970E-09
      28      2.87817792E-09      2.87873598E-09
      29      1.42003404E-09      1.42030818E-09
      30      7.00731154E-10      7.00866335E-10
      31      3.45804838E-10      3.45871068E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.16512E-16  0.000E+00  1.080E-08  9.991E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.16512E-16  3.168E-10  1.080E-08  9.991E-09 -1.607E-18  1.689E-18  1.00E-07
  1.250E-04 2.16512E-16  3.961E-10  1.080E-08  9.991E-09 -2.009E-18  2.111E-18  1.00E-07
  1.500E-04 2.16512E-16  4.753E-10  1.080E-08  9.991E-09 -2.411E-18  2.533E-18  1.00E-07
  1.750E-04 2.16512E-16  5.545E-10  1.080E-08  9.991E-09 -2.812E-18  2.955E-18  1.00E-07
  2.000E-04 2.16512E-16  6.337E-10  1.080E-08  9.991E-09 -3.214E-18  3.378E-18  1.00E-07
  2.250E-04 2.16512E-16  7.129E-10  1.080E-08  9.991E-09 -3.616E-18  3.800E-18  1.00E-07
  2.500E-04 2.16512E-16  7.921E-10  1.080E-08  9.991E-09 -4.018E-18  4.222E-18  1.00E-07
  2.750E-04 2.16512E-16  8.713E-10  1.080E-08  9.991E-09 -4.419E-18  4.644E-18  1.00E-07
  3.000E-04 2.16512E-16  9.505E-10  1.080E-08  9.991E-09 -4.821E-18  5.067E-18  1.00E-07
  3.250E-04 2.16512E-16  1.030E-09  1.080E-08  9.991E-09 -5.223E-18  5.489E-18  1.00E-07
  3.500E-04 2.16512E-16  1.109E-09  1.080E-08  9.991E-09 -5.625E-18  5.911E-18  1.00E-07
  3.750E-04 2.16512E-16  1.188E-09  1.080E-08  9.991E-09 -6.027E-18  6.333E-18  1.00E-07
  4.000E-04 2.16512E-16  1.267E-09  1.080E-08  9.991E-09 -6.428E-18  6.755E-18  1.00E-07
