

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.34000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      2.08426247E-01      0.00000000E+00
       1     -1.39300065E+00     -1.39103207E+00
       2      7.21531304E-01      7.21854247E-01
       3      2.91178494E-01      2.91267593E-01
       4      1.23637865E-01      1.23669935E-01
       5      5.47822854E-02      5.47953508E-02
       6      2.49961871E-02      2.50018608E-02
       7      1.16433164E-02      1.16458739E-02
       8      5.50651724E-03      5.50769856E-03
       9      2.63456350E-03      2.63511865E-03
      10      1.27195702E-03      1.27222131E-03
      11      6.18523020E-04      6.18650103E-04
      12      3.02507564E-04      3.02569161E-04
      13      1.48636428E-04      1.48666474E-04
      14      7.33052528E-05      7.33199838E-05
      15      3.62623262E-05      3.62695785E-05
      16      1.79820104E-05      1.79855928E-05
      17      8.93476395E-06      8.93653830E-06
      18      4.44661544E-06      4.44749622E-06
      19      2.21589156E-06      2.21632955E-06
      20      1.10544157E-06      1.10565970E-06
      21      5.51959751E-07      5.52068509E-07
      22      2.75800808E-07      2.75855085E-07
      23      1.37893924E-07      1.37921038E-07
      24      6.89781021E-08      6.89916555E-08
      25      3.45189094E-08      3.45256879E-08
      26      1.72803885E-08      1.72837827E-08
      27      8.65317501E-09      8.65487290E-09
      28      4.33408957E-09      4.33493851E-09
      29      2.17122186E-09      2.17164877E-09
      30      1.08790943E-09      1.08812359E-09
      31      5.45187089E-10      5.45288879E-10
      32      2.73214784E-10      2.73266936E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.18183E-16  0.000E+00  1.094E-08  9.928E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.18183E-16  3.266E-10  1.094E-08  9.928E-09 -1.403E-18  1.984E-18  1.00E-07
  1.250E-04 2.18183E-16  4.082E-10  1.094E-08  9.928E-09 -1.754E-18  2.480E-18  1.00E-07
  1.500E-04 2.18183E-16  4.899E-10  1.094E-08  9.928E-09 -2.104E-18  2.976E-18  1.00E-07
  1.750E-04 2.18183E-16  5.715E-10  1.094E-08  9.928E-09 -2.455E-18  3.472E-18  1.00E-07
  2.000E-04 2.18183E-16  6.532E-10  1.094E-08  9.928E-09 -2.806E-18  3.968E-18  1.00E-07
  2.250E-04 2.18183E-16  7.348E-10  1.094E-08  9.928E-09 -3.156E-18  4.465E-18  1.00E-07
  2.500E-04 2.18183E-16  8.165E-10  1.094E-08  9.928E-09 -3.507E-18  4.961E-18  1.00E-07
  2.750E-04 2.18183E-16  8.981E-10  1.094E-08  9.928E-09 -3.858E-18  5.457E-18  1.00E-07
  3.000E-04 2.18183E-16  9.798E-10  1.094E-08  9.928E-09 -4.208E-18  5.953E-18  1.00E-07
  3.250E-04 2.18183E-16  1.061E-09  1.094E-08  9.928E-09 -4.559E-18  6.449E-18  1.00E-07
  3.500E-04 2.18183E-16  1.143E-09  1.094E-08  9.928E-09 -4.910E-18  6.945E-18  1.00E-07
  3.750E-04 2.18183E-16  1.225E-09  1.094E-08  9.928E-09 -5.261E-18  7.441E-18  1.00E-07
  4.000E-04 2.18183E-16  1.306E-09  1.094E-08  9.928E-09 -5.611E-18  7.937E-18  1.00E-07
