

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.50000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      1.31057760E-01      0.00000000E+00
       1     -1.42451914E+00     -1.42253876E+00
       2      7.40942792E-01      7.41289030E-01
       3      3.14375390E-01      3.14477302E-01
       4      1.39138465E-01      1.39176804E-01
       5      6.39992987E-02      6.40155028E-02
       6      3.02657533E-02      3.02730385E-02
       7      1.46016926E-02      1.46050909E-02
       8      7.15025692E-03      7.15188094E-03
       9      3.54176009E-03      3.54254973E-03
      10      1.77027708E-03      1.77066604E-03
      11      8.91259418E-04      8.91452961E-04
      12      4.51339851E-04      4.51436935E-04
      13      2.29648173E-04      2.29697190E-04
      14      1.17300586E-04      1.17325465E-04
      15      6.01045080E-05      6.01171897E-05
      16      3.08769159E-05      3.08834031E-05
      17      1.58956454E-05      1.58989734E-05
      18      8.19738324E-06      8.19909454E-06
      19      4.23342044E-06      4.23430212E-06
      20      2.18885951E-06      2.18931448E-06
      21      1.13283374E-06      1.13306883E-06
      22      5.86764838E-07      5.86886441E-07
      23      3.04125302E-07      3.04188256E-07
      24      1.57718781E-07      1.57751405E-07
      25      8.18308544E-08      8.18477612E-08
      26      4.24737075E-08      4.24824800E-08
      27      2.20529408E-08      2.20574956E-08
      28      1.14533780E-08      1.14557425E-08
      29      5.94980209E-09      5.95103540E-09
      30      3.09137807E-09      3.09201774E-09
      31      1.60645642E-09      1.60678638E-09
      32      8.34936424E-10      8.35108028E-10
      33      4.34001360E-10      4.34094349E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.22408E-16  0.000E+00  1.126E-08  9.778E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.22408E-16  3.475E-10  1.126E-08  9.778E-09 -8.478E-19  2.695E-18  1.00E-07
  1.250E-04 2.22408E-16  4.343E-10  1.126E-08  9.778E-09 -1.060E-18  3.369E-18  1.00E-07
  1.500E-04 2.22408E-16  5.212E-10  1.126E-08  9.778E-09 -1.272E-18  4.043E-18  1.00E-07
  1.750E-04 2.22408E-16  6.081E-10  1.126E-08  9.778E-09 -1.484E-18  4.717E-18  1.00E-07
  2.000E-04 2.22408E-16  6.949E-10  1.126E-08  9.778E-09 -1.696E-18  5.390E-18  1.00E-07
  2.250E-04 2.22408E-16  7.818E-10  1.126E-08  9.778E-09 -1.907E-18  6.064E-18  1.00E-07
  2.500E-04 2.22408E-16  8.687E-10  1.126E-08  9.778E-09 -2.119E-18  6.738E-18  1.00E-07
  2.750E-04 2.22408E-16  9.555E-10  1.126E-08  9.778E-09 -2.331E-18  7.412E-18  1.00E-07
  3.000E-04 2.22408E-16  1.042E-09  1.126E-08  9.778E-09 -2.543E-18  8.086E-18  1.00E-07
  3.250E-04 2.22408E-16  1.129E-09  1.126E-08  9.778E-09 -2.755E-18  8.759E-18  1.00E-07
  3.500E-04 2.22408E-16  1.216E-09  1.126E-08  9.778E-09 -2.967E-18  9.433E-18  1.00E-07
  3.750E-04 2.22408E-16  1.303E-09  1.126E-08  9.778E-09 -3.179E-18  1.011E-17  1.00E-07
  4.000E-04 2.22408E-16  1.390E-09  1.126E-08  9.778E-09 -3.391E-18  1.078E-17  1.00E-07
