

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.58000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      9.54668974E-02      0.00000000E+00
       1     -1.43899328E+00     -1.43700668E+00
       2      7.49119826E-01      7.49476969E-01
       3      3.24993155E-01      3.25101324E-01
       4      1.46551340E-01      1.46592861E-01
       5      6.85513564E-02      6.85692007E-02
       6      3.29415807E-02      3.29497293E-02
       7      1.61433759E-02      1.61472353E-02
       8      8.02857486E-03      8.03044747E-03
       9      4.03858027E-03      4.03950467E-03
      10      2.04990326E-03      2.05036554E-03
      11      1.04805252E-03      1.04828606E-03
      12      5.38993152E-04      5.39112094E-04
      13      2.78524388E-04      2.78585363E-04
      14      1.44492290E-04      1.44523716E-04
      15      7.52005483E-05      7.52168162E-05
      16      3.92412425E-05      3.92496939E-05
      17      2.05213771E-05      2.05257806E-05
      18      1.07509361E-05      1.07532361E-05
      19      5.64061674E-06      5.64182046E-06
      20      2.96303480E-06      2.96366582E-06
      21      1.55806748E-06      1.55839872E-06
      22      8.19975897E-07      8.20149968E-07
      23      4.31837636E-07      4.31929200E-07
      24      2.27559243E-07      2.27607446E-07
      25      1.19972616E-07      1.19998008E-07
      26      6.32775251E-08      6.32909103E-08
      27      3.33862549E-08      3.33933126E-08
      28      1.76203123E-08      1.76240348E-08
      29      9.30185473E-09      9.30381857E-09
      30      4.91153340E-09      4.91257488E-09
      31      2.59380433E-09      2.59434844E-09
      32      1.36998522E-09      1.37027541E-09
      33      7.23702020E-10      7.23854091E-10
      34      3.82344810E-10      3.82426741E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.24420E-16  0.000E+00  1.141E-08  9.710E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.24420E-16  3.556E-10  1.141E-08  9.710E-09 -5.662E-19  3.016E-18  1.00E-07
  1.250E-04 2.24420E-16  4.445E-10  1.141E-08  9.710E-09 -7.078E-19  3.770E-18  1.00E-07
  1.500E-04 2.24420E-16  5.334E-10  1.141E-08  9.710E-09 -8.493E-19  4.524E-18  1.00E-07
  1.750E-04 2.24420E-16  6.223E-10  1.141E-08  9.710E-09 -9.909E-19  5.278E-18  1.00E-07
  2.000E-04 2.24420E-16  7.113E-10  1.141E-08  9.710E-09 -1.132E-18  6.032E-18  1.00E-07
  2.250E-04 2.24420E-16  8.002E-10  1.141E-08  9.710E-09 -1.274E-18  6.786E-18  1.00E-07
  2.500E-04 2.24420E-16  8.891E-10  1.141E-08  9.710E-09 -1.416E-18  7.540E-18  1.00E-07
  2.750E-04 2.24420E-16  9.780E-10  1.141E-08  9.710E-09 -1.557E-18  8.294E-18  1.00E-07
  3.000E-04 2.24420E-16  1.067E-09  1.141E-08  9.710E-09 -1.699E-18  9.048E-18  1.00E-07
  3.250E-04 2.24420E-16  1.156E-09  1.141E-08  9.710E-09 -1.840E-18  9.802E-18  1.00E-07
  3.500E-04 2.24420E-16  1.245E-09  1.141E-08  9.710E-09 -1.982E-18  1.056E-17  1.00E-07
  3.750E-04 2.24420E-16  1.334E-09  1.141E-08  9.710E-09 -2.123E-18  1.131E-17  1.00E-07
  4.000E-04 2.24420E-16  1.423E-09  1.141E-08  9.710E-09 -2.265E-18  1.206E-17  1.00E-07
  4.250E-04 2.24420E-16  1.511E-09  1.141E-08  9.710E-09 -2.406E-18  1.282E-17  1.00E-07
