

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.66000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      6.16647819E-02      0.00000000E+00
       1     -1.45272949E+00     -1.45073650E+00
       2      7.56448861E-01      7.56816478E-01
       3      3.35016101E-01      3.35130422E-01
       4      1.53741046E-01      1.53785772E-01
       5      7.30549562E-02      7.30744816E-02
       6      3.56344318E-02      3.56434793E-02
       7      1.77196396E-02      1.77239861E-02
       8      8.94042088E-03      8.94255984E-03
       9      4.56216263E-03      4.56323347E-03
      10      2.34900647E-03      2.34954957E-03
      11      1.21826979E-03      1.21854805E-03
      12      6.35570494E-04      6.35714224E-04
      13      3.33181291E-04      3.33256025E-04
      14      1.75355611E-04      1.75394679E-04
      15      9.25926042E-05      9.26131189E-05
      16      4.90231928E-05      4.90340045E-05
      17      2.60130766E-05      2.60187917E-05
      18      1.38286447E-05      1.38316732E-05
      19      7.36255077E-06      7.36415901E-06
      20      3.92487129E-06      3.92572676E-06
      21      2.09449212E-06      2.09494781E-06
      22      1.11869692E-06      1.11893994E-06
      23      5.97949125E-07      5.98078855E-07
      24      3.19803119E-07      3.19872428E-07
      25      1.71129644E-07      1.71166696E-07
      26      9.16129596E-08      9.16327825E-08
      27      4.90623659E-08      4.90729750E-08
      28      2.62829846E-08      2.62886651E-08
      29      1.40836629E-08      1.40867040E-08
      30      7.54842266E-09      7.55005010E-09
      31      4.04650714E-09      4.04738050E-09
      32      2.16954419E-09      2.17001296E-09
      33      1.16334366E-09      1.16359409E-09
      34      6.23892477E-10      6.24027807E-10
      35      3.34629669E-10      3.34698966E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.26379E-16  0.000E+00  1.155E-08  9.646E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.26379E-16  3.626E-10  1.155E-08  9.646E-09 -2.829E-19  3.318E-18  1.00E-07
  1.250E-04 2.26379E-16  4.532E-10  1.155E-08  9.646E-09 -3.536E-19  4.147E-18  1.00E-07
  1.500E-04 2.26379E-16  5.438E-10  1.155E-08  9.646E-09 -4.243E-19  4.977E-18  1.00E-07
  1.750E-04 2.26379E-16  6.345E-10  1.155E-08  9.646E-09 -4.950E-19  5.806E-18  1.00E-07
  2.000E-04 2.26379E-16  7.251E-10  1.155E-08  9.646E-09 -5.657E-19  6.635E-18  1.00E-07
  2.250E-04 2.26379E-16  8.158E-10  1.155E-08  9.646E-09 -6.365E-19  7.465E-18  1.00E-07
  2.500E-04 2.26379E-16  9.064E-10  1.155E-08  9.646E-09 -7.072E-19  8.294E-18  1.00E-07
  2.750E-04 2.26379E-16  9.971E-10  1.155E-08  9.646E-09 -7.779E-19  9.124E-18  1.00E-07
  3.000E-04 2.26379E-16  1.088E-09  1.155E-08  9.646E-09 -8.486E-19  9.953E-18  1.00E-07
  3.250E-04 2.26379E-16  1.178E-09  1.155E-08  9.646E-09 -9.193E-19  1.078E-17  1.00E-07
  3.500E-04 2.26379E-16  1.269E-09  1.155E-08  9.646E-09 -9.901E-19  1.161E-17  1.00E-07
  3.750E-04 2.26379E-16  1.360E-09  1.155E-08  9.646E-09 -1.061E-18  1.244E-17  1.00E-07
  4.000E-04 2.26379E-16  1.450E-09  1.155E-08  9.646E-09 -1.131E-18  1.327E-17  1.00E-07
  4.250E-04 2.26379E-16  1.541E-09  1.155E-08  9.646E-09 -1.202E-18  1.410E-17  1.00E-07
