 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 1.74000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.16791E-08  9.58585E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.16791E-08  9.58585E-09  1.82853E-21  3.60261E-18
  1.250E-04  1.18994E-12  1.16791E-08  9.58585E-09  2.28567E-21  4.50326E-18
  1.500E-04  1.71346E-12  1.16791E-08  9.58585E-09  2.74280E-21  5.40391E-18
  1.750E-04  2.33225E-12  1.16791E-08  9.58585E-09  3.19994E-21  6.30456E-18
  2.000E-04  3.04617E-12  1.16791E-08  9.58585E-09  3.65707E-21  7.20521E-18
  2.250E-04  3.85530E-12  1.16791E-08  9.58585E-09  4.11420E-21  8.10586E-18
  2.500E-04  4.75964E-12  1.16791E-08  9.58585E-09  4.57134E-21  9.00652E-18
  2.750E-04  5.75917E-12  1.16791E-08  9.58585E-09  5.02847E-21  9.90717E-18
  3.000E-04  6.85391E-12  1.16791E-08  9.58585E-09  5.48560E-21  1.08078E-17
  3.250E-04  8.04379E-12  1.16791E-08  9.58585E-09  5.94274E-21  1.17085E-17
  3.500E-04  9.32893E-12  1.16791E-08  9.58585E-09  6.39987E-21  1.26091E-17
  3.750E-04  1.07092E-11  1.16791E-08  9.58585E-09  6.85700E-21  1.35098E-17
  4.000E-04  1.21847E-11  1.16791E-08  9.58585E-09  7.31414E-21  1.44104E-17
  4.250E-04  1.37554E-11  1.16791E-08  9.58585E-09  7.77127E-21  1.53111E-17
  4.500E-04  1.54213E-11  1.16791E-08  9.58585E-09  8.22840E-21  1.62117E-17
  4.750E-04  1.71823E-11  1.16791E-08  9.58585E-09  8.68553E-21  1.71124E-17
  5.000E-04  1.90386E-11  1.16791E-08  9.58585E-09  9.14267E-21  1.80130E-17
  5.250E-04  2.09900E-11  1.16791E-08  9.58585E-09  9.59980E-21  1.89137E-17
  5.500E-04  2.30367E-11  1.16791E-08  9.58585E-09  1.00569E-20  1.98143E-17
  5.750E-04  2.51785E-11  1.16791E-08  9.58585E-09  1.05141E-20  2.07150E-17
  6.000E-04  2.74156E-11  1.16791E-08  9.58585E-09  1.09712E-20  2.16156E-17
  6.250E-04  2.97478E-11  1.16791E-08  9.58585E-09  1.14283E-20  2.25163E-17
  6.500E-04  3.21752E-11  1.16791E-08  9.58585E-09  1.18855E-20  2.34169E-17
  6.750E-04  3.46979E-11  1.16791E-08  9.58585E-09  1.23426E-20  2.43176E-17
