

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.56000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.33234974E-01      0.00000000E+00
       1      1.56906731E+00     -1.57045505E+00
       2      8.02899013E-01      8.03363977E-01
       3      4.17096601E-01      4.17273019E-01
       4      2.20705638E-01      2.20786442E-01
       5      1.19238889E-01      1.19279125E-01
       6      6.56290898E-02      6.56501085E-02
       7      3.66787182E-02      3.66900455E-02
       8      2.07542153E-02      2.07604542E-02
       9      1.18625662E-02      1.18660581E-02
      10      6.83697462E-03      6.83895348E-03
      11      3.96791903E-03      3.96905160E-03
      12      2.31630958E-03      2.31696306E-03
      13      1.35886199E-03      1.35924158E-03
      14      8.00526766E-04      8.00748523E-04
      15      4.73289837E-04      4.73420009E-04
      16      2.80672890E-04      2.80749614E-04
      17      1.66878965E-04      1.66924345E-04
      18      9.94410186E-05      9.94679384E-05
      19      5.93679402E-05      5.93839502E-05
      20      3.55010676E-05      3.55106098E-05
      21      2.12584826E-05      2.12641805E-05
      22      1.27449500E-05      1.27483577E-05
      23      7.64866394E-06      7.65070479E-06
      24      4.59422367E-06      4.59544733E-06
      25      2.76162495E-06      2.76235936E-06
      26      1.66110872E-06      1.66154989E-06
      27      9.99709237E-07      9.99974437E-07
      28      6.01947853E-07      6.02107378E-07
      29      3.62598079E-07      3.62694086E-07
      30      2.18499095E-07      2.18556909E-07
      31      1.31707551E-07      1.31742379E-07
      32      7.94129396E-08      7.94339282E-08
      33      4.78934256E-08      4.79060754E-08
      34      2.88902335E-08      2.88978629E-08
      35      1.74303730E-08      1.74349728E-08
      36      1.05179875E-08      1.05207601E-08
      37      6.34770236E-09      6.34938027E-09
      38      3.83135831E-09      3.83236928E-09
      39      2.31281955E-09      2.31342784E-09
      40      1.39628235E-09      1.39665276E-09
      41      8.43005259E-10      8.43231971E-10
      42      5.08967908E-10      5.09101842E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.45822E-16  0.000E+00  1.276E-08  9.107E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.45822E-16  3.933E-10  1.276E-08  9.107E-09  2.943E-18  5.888E-18  1.00E-07
  1.250E-04 2.45822E-16  4.916E-10  1.276E-08  9.107E-09  3.679E-18  7.360E-18  1.00E-07
  1.500E-04 2.45822E-16  5.899E-10  1.276E-08  9.107E-09  4.415E-18  8.831E-18  1.00E-07
  1.750E-04 2.45822E-16  6.883E-10  1.276E-08  9.107E-09  5.150E-18  1.030E-17  1.00E-07
  2.000E-04 2.45822E-16  7.866E-10  1.276E-08  9.107E-09  5.886E-18  1.178E-17  1.00E-07
  2.250E-04 2.45822E-16  8.849E-10  1.276E-08  9.107E-09  6.622E-18  1.325E-17  1.00E-07
  2.500E-04 2.45822E-16  9.832E-10  1.276E-08  9.107E-09  7.358E-18  1.472E-17  1.00E-07
  2.750E-04 2.45822E-16  1.082E-09  1.276E-08  9.107E-09  8.093E-18  1.619E-17  1.00E-07
  3.000E-04 2.45822E-16  1.180E-09  1.276E-08  9.107E-09  8.829E-18  1.766E-17  1.00E-07
  3.250E-04 2.45822E-16  1.278E-09  1.276E-08  9.107E-09  9.565E-18  1.913E-17  1.00E-07
  3.500E-04 2.45822E-16  1.377E-09  1.276E-08  9.107E-09  1.030E-17  2.061E-17  1.00E-07
  3.750E-04 2.45822E-16  1.475E-09  1.276E-08  9.107E-09  1.104E-17  2.208E-17  1.00E-07
  4.000E-04 2.45822E-16  1.573E-09  1.276E-08  9.107E-09  1.177E-17  2.355E-17  1.00E-07
  4.250E-04 2.45822E-16  1.672E-09  1.276E-08  9.107E-09  1.251E-17  2.502E-17  1.00E-07
  4.500E-04 2.45822E-16  1.770E-09  1.276E-08  9.107E-09  1.324E-17  2.649E-17  1.00E-07
  4.750E-04 2.45822E-16  1.868E-09  1.276E-08  9.107E-09  1.398E-17  2.797E-17  1.00E-07
  5.000E-04 2.45822E-16  1.966E-09  1.276E-08  9.107E-09  1.472E-17  2.944E-17  1.00E-07
  5.250E-04 2.45822E-16  2.065E-09  1.276E-08  9.107E-09  1.545E-17  3.091E-17  1.00E-07
  5.500E-04 2.45822E-16  2.163E-09  1.276E-08  9.107E-09  1.619E-17  3.238E-17  1.00E-07
  5.750E-04 2.45822E-16  2.261E-09  1.276E-08  9.107E-09  1.692E-17  3.385E-17  1.00E-07
  6.000E-04 2.45822E-16  2.360E-09  1.276E-08  9.107E-09  1.766E-17  3.533E-17  1.00E-07
  6.250E-04 2.45822E-16  2.458E-09  1.276E-08  9.107E-09  1.839E-17  3.680E-17  1.00E-07
  6.500E-04 2.45822E-16  2.556E-09  1.276E-08  9.107E-09  1.913E-17  3.827E-17  1.00E-07
  6.750E-04 2.45822E-16  2.655E-09  1.276E-08  9.107E-09  1.987E-17  3.974E-17  1.00E-07
  7.000E-04 2.45822E-16  2.753E-09  1.276E-08  9.107E-09  2.060E-17  4.121E-17  1.00E-07
  7.250E-04 2.45822E-16  2.851E-09  1.276E-08  9.107E-09  2.134E-17  4.269E-17  1.00E-07
  7.500E-04 2.45822E-16  2.950E-09  1.276E-08  9.107E-09  2.207E-17  4.416E-17  1.00E-07
