 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 2.64000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.28500E-08  9.06869E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.28500E-08  9.06869E-09  3.22974E-18  6.06871E-18
  1.250E-04  1.18994E-12  1.28500E-08  9.06869E-09  4.03718E-18  7.58588E-18
  1.500E-04  1.71346E-12  1.28500E-08  9.06869E-09  4.84462E-18  9.10306E-18
  1.750E-04  2.33225E-12  1.28500E-08  9.06869E-09  5.65205E-18  1.06202E-17
  2.000E-04  3.04617E-12  1.28500E-08  9.06869E-09  6.45949E-18  1.21374E-17
  2.250E-04  3.85530E-12  1.28500E-08  9.06869E-09  7.26693E-18  1.36546E-17
  2.500E-04  4.75964E-12  1.28500E-08  9.06869E-09  8.07436E-18  1.51718E-17
  2.750E-04  5.75917E-12  1.28500E-08  9.06869E-09  8.88180E-18  1.66889E-17
  3.000E-04  6.85391E-12  1.28500E-08  9.06869E-09  9.68923E-18  1.82061E-17
  3.250E-04  8.04379E-12  1.28500E-08  9.06869E-09  1.04967E-17  1.97233E-17
  3.500E-04  9.32893E-12  1.28500E-08  9.06869E-09  1.13041E-17  2.12405E-17
  3.750E-04  1.07092E-11  1.28500E-08  9.06869E-09  1.21115E-17  2.27577E-17
  4.000E-04  1.21847E-11  1.28500E-08  9.06869E-09  1.29190E-17  2.42748E-17
  4.250E-04  1.37554E-11  1.28500E-08  9.06869E-09  1.37264E-17  2.57920E-17
  4.500E-04  1.54213E-11  1.28500E-08  9.06869E-09  1.45339E-17  2.73092E-17
  4.750E-04  1.71823E-11  1.28500E-08  9.06869E-09  1.53413E-17  2.88264E-17
  5.000E-04  1.90386E-11  1.28500E-08  9.06869E-09  1.61487E-17  3.03435E-17
  5.250E-04  2.09900E-11  1.28500E-08  9.06869E-09  1.69562E-17  3.18607E-17
  5.500E-04  2.30367E-11  1.28500E-08  9.06869E-09  1.77636E-17  3.33779E-17
  5.750E-04  2.51785E-11  1.28500E-08  9.06869E-09  1.85710E-17  3.48951E-17
  6.000E-04  2.74156E-11  1.28500E-08  9.06869E-09  1.93785E-17  3.64122E-17
  6.250E-04  2.97478E-11  1.28500E-08  9.06869E-09  2.01859E-17  3.79294E-17
  6.500E-04  3.21752E-11  1.28500E-08  9.06869E-09  2.09933E-17  3.94466E-17
  6.750E-04  3.46979E-11  1.28500E-08  9.06869E-09  2.18008E-17  4.09638E-17
  7.000E-04  3.73157E-11  1.28500E-08  9.06869E-09  2.26082E-17  4.24810E-17
  7.250E-04  4.00286E-11  1.28500E-08  9.06869E-09  2.34156E-17  4.39981E-17
  7.500E-04  4.28368E-11  1.28500E-08  9.06869E-09  2.42231E-17  4.55153E-17
  7.750E-04  4.57402E-11  1.28500E-08  9.06869E-09  2.50305E-17  4.70325E-17
  8.000E-04  4.87388E-11  1.28500E-08  9.06869E-09  2.58380E-17  4.85497E-17
  8.250E-04  5.18325E-11  1.28500E-08  9.06869E-09  2.66454E-17  5.00668E-17
  8.500E-04  5.50215E-11  1.28500E-08  9.06869E-09  2.74528E-17  5.15840E-17
  8.750E-04  5.83057E-11  1.28500E-08  9.06869E-09  2.82603E-17  5.31012E-17
  9.000E-04  6.16850E-11  1.28500E-08  9.06869E-09  2.90677E-17  5.46184E-17
  9.250E-04  6.51595E-11  1.28500E-08  9.06869E-09  2.98751E-17  5.61355E-17
  9.500E-04  6.87293E-11  1.28500E-08  9.06869E-09  3.06826E-17  5.76527E-17
  9.750E-04  7.23943E-11  1.28500E-08  9.06869E-09  3.14900E-17  5.91699E-17
  1.000E-03  7.61544E-11  1.28500E-08  9.06869E-09  3.22974E-17  6.06871E-17
  1.250E-03  1.18991E-10  1.28500E-08  9.06869E-09  4.03718E-17  7.58588E-17
  1.500E-03  1.71347E-10  1.28500E-08  9.06869E-09  4.84462E-17  9.10306E-17
  1.750E-03  2.33223E-10  1.28500E-08  9.06869E-09  5.65205E-17  1.06202E-16
  2.000E-03  3.04617E-10  1.28500E-08  9.06869E-09  6.45949E-17  1.21374E-16
  2.250E-03  3.85531E-10  1.28500E-08  9.06869E-09  7.26692E-17  1.36546E-16
  2.500E-03  4.75965E-10  1.28500E-08  9.06869E-09  8.07436E-17  1.51718E-16
