 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.70000E+02 eV = 9.92232E+00 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.34937E-16 cm**2 = 4.81867E+00 a0**2
 # 1st transport cross section = 4.45349E-17 cm**2 = 1.59037E+00 a0**2
 # 2nd transport cross section = 6.13706E-17 cm**2 = 2.19158E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.48501E-16  8.87414E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.48501E-16  8.87414E+00  3.93863E-10  1.0E-07
  1.250E-04  1.18994E-12  2.48501E-16  8.87414E+00  4.92328E-10  1.0E-07
  1.500E-04  1.71346E-12  2.48501E-16  8.87414E+00  5.90794E-10  1.0E-07
  1.750E-04  2.33225E-12  2.48501E-16  8.87414E+00  6.89259E-10  1.0E-07
  2.000E-04  3.04617E-12  2.48501E-16  8.87414E+00  7.87725E-10  1.0E-07
  2.250E-04  3.85530E-12  2.48501E-16  8.87414E+00  8.86191E-10  1.0E-07
  2.500E-04  4.75964E-12  2.48501E-16  8.87414E+00  9.84656E-10  1.0E-07
  2.750E-04  5.75917E-12  2.48501E-16  8.87414E+00  1.08312E-09  1.0E-07
  3.000E-04  6.85391E-12  2.48501E-16  8.87414E+00  1.18159E-09  1.0E-07
  3.250E-04  8.04379E-12  2.48501E-16  8.87414E+00  1.28005E-09  1.0E-07
  3.500E-04  9.32893E-12  2.48501E-16  8.87414E+00  1.37852E-09  1.0E-07
  3.750E-04  1.07092E-11  2.48501E-16  8.87414E+00  1.47698E-09  1.0E-07
  4.000E-04  1.21847E-11  2.48501E-16  8.87414E+00  1.57545E-09  1.0E-07
  4.250E-04  1.37554E-11  2.48501E-16  8.87414E+00  1.67392E-09  1.0E-07
  4.500E-04  1.54213E-11  2.48501E-16  8.87414E+00  1.77238E-09  1.0E-07
  4.750E-04  1.71823E-11  2.48501E-16  8.87414E+00  1.87085E-09  1.0E-07
  5.000E-04  1.90386E-11  2.48501E-16  8.87414E+00  1.96931E-09  1.0E-07
  5.250E-04  2.09900E-11  2.48501E-16  8.87414E+00  2.06778E-09  1.0E-07
  5.500E-04  2.30367E-11  2.48501E-16  8.87414E+00  2.16624E-09  1.0E-07
  5.750E-04  2.51785E-11  2.48501E-16  8.87414E+00  2.26471E-09  1.0E-07
  6.000E-04  2.74156E-11  2.48501E-16  8.87414E+00  2.36318E-09  1.0E-07
  6.250E-04  2.97478E-11  2.48501E-16  8.87414E+00  2.46164E-09  1.0E-07
  6.500E-04  3.21752E-11  2.48501E-16  8.87414E+00  2.56011E-09  1.0E-07
  6.750E-04  3.46979E-11  2.48501E-16  8.87414E+00  2.65857E-09  1.0E-07
  7.000E-04  3.73157E-11  2.48501E-16  8.87414E+00  2.75704E-09  1.0E-07
  7.250E-04  4.00286E-11  2.48501E-16  8.87414E+00  2.85550E-09  1.0E-07
  7.500E-04  4.28368E-11  2.48501E-16  8.87414E+00  2.95397E-09  1.0E-07
  7.750E-04  4.57402E-11  2.48501E-16  8.87414E+00  3.05243E-09  1.0E-07
  8.000E-04  4.87388E-11  2.48501E-16  8.87414E+00  3.15090E-09  1.0E-07
  8.250E-04  5.18325E-11  2.48501E-16  8.87414E+00  3.24937E-09  1.0E-07
  8.500E-04  5.50215E-11  2.48501E-16  8.87414E+00  3.34783E-09  1.0E-07
  8.750E-04  5.83057E-11  2.48501E-16  8.87414E+00  3.44630E-09  1.0E-07
  9.000E-04  6.16850E-11  2.48501E-16  8.87414E+00  3.54476E-09  1.0E-07
  9.250E-04  6.51595E-11  2.48501E-16  8.87414E+00  3.64323E-09  1.0E-07
  9.500E-04  6.87293E-11  2.48501E-16  8.87414E+00  3.74169E-09  1.0E-07
  9.750E-04  7.23943E-11  2.48501E-16  8.87414E+00  3.84016E-09  1.0E-07
  1.000E-03  7.61544E-11  2.48501E-16  8.87414E+00  3.93863E-09  1.0E-07
  1.250E-03  1.18991E-10  2.48501E-16  8.87414E+00  4.92328E-09  1.0E-07
  1.500E-03  1.71347E-10  2.48501E-16  8.87414E+00  5.90794E-09  1.0E-07
  1.750E-03  2.33223E-10  2.48501E-16  8.87414E+00  6.89259E-09  1.0E-07
  2.000E-03  3.04617E-10  2.48501E-16  8.87414E+00  7.87725E-09  1.0E-07
  2.250E-03  3.85531E-10  2.48501E-16  8.87414E+00  8.86191E-09  1.0E-07
  2.500E-03  4.75965E-10  2.48501E-16  8.87414E+00  9.84656E-09  1.0E-07
  2.750E-03  5.75917E-10  2.48501E-16  8.87414E+00  1.08312E-08  1.0E-07
  3.000E-03  6.85389E-10  2.48501E-16  8.87414E+00  1.18159E-08  1.0E-07
  3.250E-03  8.04380E-10  2.48501E-16  8.87414E+00  1.28005E-08  1.0E-07
  3.500E-03  9.32891E-10  2.48501E-16  8.87414E+00  1.37852E-08  1.0E-07
  3.750E-03  1.07092E-09  2.48501E-16  8.87414E+00  1.47698E-08  1.0E-07
  4.000E-03  1.21847E-09  2.48501E-16  8.87414E+00  1.57545E-08  1.0E-07
  4.250E-03  1.37554E-09  2.48501E-16  8.87414E+00  1.67392E-08  1.0E-07
  4.500E-03  1.54213E-09  2.48501E-16  8.87414E+00  1.77238E-08  1.0E-07
  4.750E-03  1.71823E-09  2.48501E-16  8.87414E+00  1.87085E-08  1.0E-07
  5.000E-03  1.90386E-09  2.48501E-16  8.87414E+00  1.96931E-08  1.0E-07
  5.250E-03  2.09900E-09  2.48501E-16  8.87414E+00  2.06778E-08  1.0E-07
  5.500E-03  2.30367E-09  2.48501E-16  8.87414E+00  2.16624E-08  1.0E-07
  5.750E-03  2.51785E-09  2.48501E-16  8.87414E+00  2.26471E-08  1.0E-07
  6.000E-03  2.74156E-09  2.48501E-16  8.87414E+00  2.36318E-08  1.0E-07
  6.250E-03  2.97478E-09  2.48501E-16  8.87414E+00  2.46164E-08  1.0E-07
  6.500E-03  3.21752E-09  2.48501E-16  8.87414E+00  2.56011E-08  1.0E-07
  6.750E-03  3.46978E-09  2.48501E-16  8.87414E+00  2.65857E-08  1.0E-07
  7.000E-03  3.73156E-09  2.48501E-16  8.87414E+00  2.75704E-08  1.0E-07
  7.250E-03  4.00286E-09  2.48501E-16  8.87414E+00  2.85550E-08  1.0E-07
  7.500E-03  4.28368E-09  2.48501E-16  8.87414E+00  2.95397E-08  1.0E-07
  7.750E-03  4.57402E-09  2.48501E-16  8.87414E+00  3.05244E-08  1.0E-07
  8.000E-03  4.87388E-09  2.48501E-16  8.87414E+00  3.15090E-08  1.0E-07
  8.250E-03  5.18326E-09  2.48501E-16  8.87414E+00  3.24937E-08  1.0E-07
  8.500E-03  5.50215E-09  2.48501E-16  8.87414E+00  3.34783E-08  1.0E-07
  8.750E-03  5.83057E-09  2.48501E-16  8.87414E+00  3.44630E-08  1.0E-07
  9.000E-03  6.16850E-09  2.48501E-16  8.87414E+00  3.54476E-08  1.0E-07
  9.250E-03  6.51596E-09  2.48501E-16  8.87414E+00  3.64323E-08  1.0E-07
  9.500E-03  6.87293E-09  2.48501E-16  8.87414E+00  3.74169E-08  1.0E-07
  9.750E-03  7.23942E-09  2.48501E-16  8.87414E+00  3.84016E-08  1.0E-07
  1.000E-02  7.61544E-09  2.48501E-16  8.87414E+00  3.93863E-08  1.0E-07
  1.250E-02  1.18991E-08  2.48501E-16  8.87413E+00  4.92328E-08  1.0E-07
  1.500E-02  1.71347E-08  2.48501E-16  8.87413E+00  5.90794E-08  1.0E-07
  1.750E-02  2.33223E-08  2.48501E-16  8.87413E+00  6.89260E-08  1.0E-07
  2.000E-02  3.04617E-08  2.48501E-16  8.87413E+00  7.87726E-08  1.0E-07
  2.250E-02  3.85531E-08  2.48501E-16  8.87412E+00  8.86192E-08  1.0E-07
  2.500E-02  4.75965E-08  2.48501E-16  8.87412E+00  9.84658E-08  1.0E-07
  2.750E-02  5.75917E-08  2.48501E-16  8.87412E+00  1.08312E-07  1.0E-07
  3.000E-02  6.85389E-08  2.48500E-16  8.87411E+00  1.18159E-07  1.0E-07
  3.250E-02  8.04380E-08  2.48500E-16  8.87411E+00  1.28006E-07  1.0E-07
  3.500E-02  9.32891E-08  2.48500E-16  8.87410E+00  1.37852E-07  1.0E-07
  3.750E-02  1.07092E-07  2.48500E-16  8.87410E+00  1.47699E-07  1.0E-07
  4.000E-02  1.21847E-07  2.48500E-16  8.87409E+00  1.57546E-07  1.0E-07
  4.250E-02  1.37554E-07  2.48500E-16  8.87409E+00  1.67392E-07  1.0E-07
  4.500E-02  1.54213E-07  2.48500E-16  8.87408E+00  1.77239E-07  1.0E-07
  4.750E-02  1.71823E-07  2.48499E-16  8.87407E+00  1.87086E-07  1.0E-07
  5.000E-02  1.90386E-07  2.48499E-16  8.87406E+00  1.96932E-07  1.0E-07
  5.250E-02  2.09900E-07  2.48499E-16  8.87406E+00  2.06779E-07  1.0E-07
  5.500E-02  2.30367E-07  2.48499E-16  8.87405E+00  2.16626E-07  1.0E-07
  5.750E-02  2.51785E-07  2.48498E-16  8.87404E+00  2.26472E-07  1.0E-07
  6.000E-02  2.74156E-07  2.48498E-16  8.87403E+00  2.36319E-07  1.0E-07
  6.250E-02  2.97478E-07  2.48498E-16  8.87402E+00  2.46166E-07  1.0E-07
  6.500E-02  3.21752E-07  2.48498E-16  8.87401E+00  2.56013E-07  1.0E-07
  6.750E-02  3.46978E-07  2.48497E-16  8.87400E+00  2.65860E-07  1.0E-07
  7.000E-02  3.73156E-07  2.48497E-16  8.87399E+00  2.75706E-07  1.0E-07
  7.250E-02  4.00286E-07  2.48497E-16  8.87398E+00  2.85553E-07  1.0E-07
