    
 E (eV)=   292.000000000000     
       0     -3.22077248E-01      0.00000000E+00
       1      1.53284253E+00      1.53494450E+00
       2      8.11064190E-01      8.11561121E-01
       3      4.38958257E-01      4.39156273E-01
       4      2.41490217E-01      2.41584933E-01
       5      1.35197812E-01      1.35246777E-01
       6      7.69345722E-02      7.69610311E-02
       7      4.43923704E-02      4.44070909E-02
       8      2.59120588E-02      2.59204198E-02
       9      1.52702777E-02      1.52751009E-02
      10      9.07112395E-03      9.07393990E-03
      11      5.42500735E-03      5.42666743E-03
      12      3.26305603E-03      3.26404252E-03
      13      1.97229341E-03      1.97288356E-03
      14      1.19712268E-03      1.19747773E-03
      15      7.29239291E-04      7.29453931E-04
      16      4.45602565E-04      4.45732861E-04
      17      2.73013924E-04      2.73093302E-04
      18      1.67656763E-04      1.67705271E-04
      19      1.03161751E-04      1.03191473E-04
      20      6.35856600E-05      6.36039122E-05
      21      3.92500884E-05      3.92613194E-05
      22      2.42591479E-05      2.42660704E-05
      23      1.50102772E-05      1.50145503E-05
      24      9.29641692E-06      9.29905797E-06
      25      5.76236493E-06      5.76399906E-06
      26      3.57434629E-06      3.57535836E-06
      27      2.21851465E-06      2.21914197E-06
      28      1.37772542E-06      1.37811454E-06
      29      8.55987681E-07      8.56229195E-07
      30      5.32047932E-07      5.32197909E-07
      31      3.30818697E-07      3.30911877E-07
      32      2.05762391E-07      2.05820311E-07
      33      1.28015228E-07      1.28051239E-07
      34      7.96641109E-08      7.96865096E-08
      35      4.95857386E-08      4.95996748E-08
      36      3.08697168E-08      3.08783890E-08
      37      1.92211667E-08      1.92265618E-08
      38      1.19699056E-08      1.19732700E-08
      39      7.45520717E-09      7.45729759E-09
      40      4.64382606E-09      4.64512968E-09
      41      2.89288318E-09      2.89369478E-09
      42      1.80230976E-09      1.80281751E-09
      43      1.12296740E-09      1.12328479E-09
      44      6.99704090E-10      6.99903596E-10
      45      4.36009372E-10      4.36132145E-10

  TOTAL ELASTIC CROSS SECTION = 1.283474E-16 cm**2
               FROM DCS TABLE = 1.283449E-16  (REL. DIF. = 1.92E-05)

  1ST TRANSPORT CROSS SECTION = 3.990418E-17 cm**2
               FROM DCS TABLE = 3.990421E-17  (REL. DIF. = 5.35E-07)

  2ND TRANSPORT CROSS SECTION = 5.674098E-17 cm**2
