

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      8.89042173E-01      0.00000000E+00
       1     -1.10694870E+00     -1.10500385E+00
       2      4.66327493E-01      4.66468521E-01
       3      1.12597899E-01      1.12618352E-01
       4      3.16614271E-02      3.16663782E-02
       5      9.48647247E-03      9.48786733E-03
       6      2.93913410E-03      2.93955152E-03
       7      9.30074631E-04      9.30203671E-04
       8      2.98648684E-04      2.98689428E-04
       9      9.69055839E-05      9.69186421E-05
      10      3.16838860E-05      3.16881168E-05
      11      1.04169335E-05      1.04183153E-05
      12      3.43882316E-06      3.43927706E-06
      13      1.13862714E-06      1.13877688E-06
      14      3.77846734E-07      3.77896288E-07
      15      1.25592859E-07      1.25609298E-07
      16      4.17973494E-08      4.18028093E-08
      17      1.39230482E-08      1.39248585E-08
      18      4.64110339E-09      4.64170925E-09
      19      1.54784781E-09      1.54805100E-09
      20      5.16424820E-10      5.16492094E-10
      21      1.72359300E-10      1.72383017E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 1.77382E-16  0.000E+00  6.975E-09  1.135E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 1.77382E-16 -1.458E-11  6.975E-09  1.135E-08 -3.404E-18 -5.722E-18  1.00E-07
  1.250E-04 1.77382E-16 -1.823E-11  6.975E-09  1.135E-08 -4.255E-18 -7.153E-18  1.00E-07
  1.500E-04 1.77382E-16 -2.187E-11  6.975E-09  1.135E-08 -5.106E-18 -8.583E-18  1.00E-07
  1.750E-04 1.77382E-16 -2.552E-11  6.975E-09  1.135E-08 -5.957E-18 -1.001E-17  1.00E-07
  2.000E-04 1.77382E-16 -2.916E-11  6.975E-09  1.135E-08 -6.808E-18 -1.144E-17  1.00E-07
  2.250E-04 1.77382E-16 -3.281E-11  6.975E-09  1.135E-08 -7.658E-18 -1.288E-17  1.00E-07
  2.500E-04 1.77382E-16 -3.645E-11  6.975E-09  1.135E-08 -8.509E-18 -1.431E-17  1.00E-07
  2.750E-04 1.77382E-16 -4.010E-11  6.975E-09  1.135E-08 -9.360E-18 -1.574E-17  1.00E-07
  3.000E-04 1.77382E-16 -4.374E-11  6.975E-09  1.135E-08 -1.021E-17 -1.717E-17  1.00E-07
  3.250E-04 1.77382E-16 -4.739E-11  6.975E-09  1.135E-08 -1.106E-17 -1.860E-17  1.00E-07
  3.500E-04 1.77382E-16 -5.103E-11  6.975E-09  1.135E-08 -1.191E-17 -2.003E-17  1.00E-07
  3.750E-04 1.77382E-16 -5.468E-11  6.975E-09  1.135E-08 -1.276E-17 -2.146E-17  1.00E-07
  4.000E-04 1.77382E-16 -5.832E-11  6.975E-09  1.135E-08 -1.362E-17 -2.289E-17  1.00E-07
  4.250E-04 1.77382E-16 -6.197E-11  6.975E-09  1.135E-08 -1.447E-17 -2.432E-17  1.00E-07
  4.500E-04 1.77382E-16 -6.561E-11  6.975E-09  1.135E-08 -1.532E-17 -2.575E-17  1.00E-07
  4.750E-04 1.77382E-16 -6.926E-11  6.975E-09  1.135E-08 -1.617E-17 -2.718E-17  1.00E-07
  5.000E-04 1.77382E-16 -7.290E-11  6.975E-09  1.135E-08 -1.702E-17 -2.861E-17  1.00E-07
  5.250E-04 1.77382E-16 -7.655E-11  6.975E-09  1.135E-08 -1.787E-17 -3.004E-17  1.00E-07
  5.500E-04 1.77382E-16 -8.020E-11  6.975E-09  1.135E-08 -1.872E-17 -3.147E-17  1.00E-07
  5.750E-04 1.77382E-16 -8.384E-11  6.975E-09  1.135E-08 -1.957E-17 -3.290E-17  1.00E-07
  6.000E-04 1.77382E-16 -8.749E-11  6.975E-09  1.135E-08 -2.042E-17 -3.433E-17  1.00E-07
  6.250E-04 1.77382E-16 -9.113E-11  6.975E-09  1.135E-08 -2.127E-17 -3.576E-17  1.00E-07
  6.500E-04 1.77382E-16 -9.478E-11  6.975E-09  1.135E-08 -2.212E-17 -3.720E-17  1.00E-07
  6.750E-04 1.77382E-16 -9.842E-11  6.975E-09  1.135E-08 -2.298E-17 -3.863E-17  1.00E-07
  7.000E-04 1.77382E-16 -1.021E-10  6.975E-09  1.135E-08 -2.383E-17 -4.006E-17  1.00E-07
  7.250E-04 1.77382E-16 -1.057E-10  6.975E-09  1.135E-08 -2.468E-17 -4.149E-17  1.00E-07
  7.500E-04 1.77382E-16 -1.094E-10  6.975E-09  1.135E-08 -2.553E-17 -4.292E-17  1.00E-07
  7.750E-04 1.77382E-16 -1.130E-10  6.975E-09  1.135E-08 -2.638E-17 -4.435E-17  1.00E-07
  8.000E-04 1.77382E-16 -1.166E-10  6.975E-09  1.135E-08 -2.723E-17 -4.578E-17  1.00E-07
  8.250E-04 1.77382E-16 -1.203E-10  6.975E-09  1.135E-08 -2.808E-17 -4.721E-17  1.00E-07
  8.500E-04 1.77382E-16 -1.239E-10  6.975E-09  1.135E-08 -2.893E-17 -4.864E-17  1.00E-07
  8.750E-04 1.77382E-16 -1.276E-10  6.975E-09  1.135E-08 -2.978E-17 -5.007E-17  1.00E-07
  9.000E-04 1.77382E-16 -1.312E-10  6.975E-09  1.135E-08 -3.063E-17 -5.150E-17  1.00E-07
