 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.80000E+01 eV = 2.13146E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 3.58666E-16 cm**2 = 1.28082E+01 a0**2
 # 1st transport cross section = 2.72563E-16 cm**2 = 9.73342E+00 a0**2
 # 2nd transport cross section = 1.91189E-16 cm**2 = 6.82748E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.84933E-16  6.60407E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.84933E-16  6.60407E+00  4.33232E-11  1.0E-07
  1.250E-04  1.18994E-12  1.84933E-16  6.60407E+00  5.41539E-11  1.0E-07
  1.500E-04  1.71346E-12  1.84933E-16  6.60407E+00  6.49847E-11  1.0E-07
  1.750E-04  2.33225E-12  1.84933E-16  6.60407E+00  7.58155E-11  1.0E-07
  2.000E-04  3.04617E-12  1.84933E-16  6.60407E+00  8.66463E-11  1.0E-07
  2.250E-04  3.85530E-12  1.84933E-16  6.60407E+00  9.74771E-11  1.0E-07
  2.500E-04  4.75964E-12  1.84933E-16  6.60407E+00  1.08308E-10  1.0E-07
  2.750E-04  5.75917E-12  1.84933E-16  6.60407E+00  1.19139E-10  1.0E-07
  3.000E-04  6.85391E-12  1.84933E-16  6.60407E+00  1.29969E-10  1.0E-07
  3.250E-04  8.04379E-12  1.84933E-16  6.60407E+00  1.40800E-10  1.0E-07
  3.500E-04  9.32893E-12  1.84933E-16  6.60407E+00  1.51631E-10  1.0E-07
  3.750E-04  1.07092E-11  1.84933E-16  6.60407E+00  1.62462E-10  1.0E-07
